Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,J Anderson,J Anderson3,GC Wilson,GC Wilson4,KJ O'Brien,KJ O'Brien5,SP Terry,SP Terry6,SW Poynter,SW Poynter7,GH Dockrell,GH Dockrell8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,PKD Chase,PKD Chase11
lost,EC Joyce,EC Joyce1,PR Stirling,PR Stirling2,WTS Porterfield,WTS Porterfield3,NJ O'Brien,NJ O'Brien4,KJ O'Brien,KJ O'Brien5,GC Wilson,GC Wilson6,SR Thompson,SR Thompson7,GH Dockrell,GH Dockrell8,TJ Murtagh,TJ Murtagh9,J Mulder,J Mulder10,PKD Chase,PKD Chase11
lost,EC Joyce,EC Joyce1,PR Stirling,PR Stirling2,WTS Porterfield,WTS Porterfield3,NJ O'Brien,NJ O'Brien4,A Balbirnie,A Balbirnie5,GC Wilson,GC Wilson6,SR Thompson,SR Thompson7,AR McBrine,AR McBrine8,GH Dockrell,GH Dockrell9,TJ Murtagh,TJ Murtagh10,PKD Chase,PKD Chase11
won,EC Joyce,EC Joyce1,PR Stirling,PR Stirling2,WTS Porterfield,WTS Porterfield3,NJ O'Brien,NJ O'Brien4,A Balbirnie,A Balbirnie5,GC Wilson,GC Wilson6,SR Thompson,SR Thompson7,AR McBrine,AR McBrine8,GH Dockrell,GH Dockrell9,TJ Murtagh,TJ Murtagh10,PKD Chase,PKD Chase11
won,EC Joyce,EC Joyce1,PR Stirling,PR Stirling2,WTS Porterfield,WTS Porterfield3,A Balbirnie,A Balbirnie4,KJ O'Brien,KJ O'Brien5,GC Wilson,GC Wilson6,SR Thompson,SR Thompson7,AR McBrine,AR McBrine8,GH Dockrell,GH Dockrell9,TJ Murtagh,TJ Murtagh10,J Mulder,J Mulder11
lost,EC Joyce,EC Joyce1,PR Stirling,PR Stirling2,WTS Porterfield,WTS Porterfield3,NJ O'Brien,NJ O'Brien4,A Balbirnie,A Balbirnie5,GC Wilson,GC Wilson6,SR Thompson,SR Thompson7,AR McBrine,AR McBrine8,GH Dockrell,GH Dockrell9,TJ Murtagh,TJ Murtagh10,J Mulder,J Mulder11
lost,EC Joyce,EC Joyce1,PR Stirling,PR Stirling2,WTS Porterfield,WTS Porterfield3,A Balbirnie,A Balbirnie4,NJ O'Brien,NJ O'Brien5,GC Wilson,GC Wilson6,KJ O'Brien,KJ O'Brien7,SR Thompson,SR Thompson8,GH Dockrell,GH Dockrell9,TJ Murtagh,TJ Murtagh10,PKD Chase,PKD Chase11
lost,EC Joyce,EC Joyce1,PR Stirling,PR Stirling2,WTS Porterfield,WTS Porterfield3,A Balbirnie,A Balbirnie4,NJ O'Brien,NJ O'Brien5,GC Wilson,GC Wilson6,KJ O'Brien,KJ O'Brien7,GH Dockrell,GH Dockrell8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,PKD Chase,PKD Chase11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,NJ O'Brien,NJ O'Brien3,A Balbirnie,A Balbirnie4,KJ O'Brien,KJ O'Brien5,GC Wilson,GC Wilson6,Simi Singh,Simi Singh7,GH Dockrell,GH Dockrell8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,PKD Chase,PKD Chase11
lost,EC Joyce,EC Joyce1,PR Stirling,PR Stirling2,WTS Porterfield,WTS Porterfield3,A Balbirnie,A Balbirnie4,NJ O'Brien,NJ O'Brien5,KJ O'Brien,KJ O'Brien6,GC Wilson,GC Wilson7,GH Dockrell,GH Dockrell8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,PKD Chase,PKD Chase11
lost,EC Joyce,EC Joyce1,PR Stirling,PR Stirling2,WTS Porterfield,WTS Porterfield3,A Balbirnie,A Balbirnie4,NJ O'Brien,NJ O'Brien5,GC Wilson,GC Wilson6,Simi Singh,Simi Singh7,GH Dockrell,GH Dockrell8,BJ McCarthy,BJ McCarthy9,CA Young,CA Young10,PKD Chase,PKD Chase11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,NJ O'Brien,NJ O'Brien4,GC Wilson,GC Wilson5,KJ O'Brien,KJ O'Brien6,Simi Singh,Simi Singh7,SW Poynter,SW Poynter8,GH Dockrell,GH Dockrell9,WB Rankin,WB Rankin10,TJ Murtagh,TJ Murtagh11
