,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
421,"frozenset({'A Balbirnie3', ""KJ O'Brien5""})",frozenset({'won'}),0.3448275862068966,0.3103448275862069,0.13793103448275862,0.39999999999999997,1.2888888888888888,0.030915576694411404,1.1494252873563218
1461,"frozenset({'TJ Murtagh10', ""KJ O'Brien5""})",frozenset({'won'}),0.3275862068965517,0.3103448275862069,0.1206896551724138,0.368421052631579,1.1871345029239766,0.01902497027348396,1.0919540229885059
726,"frozenset({'AR McBrine8', ""KJ O'Brien5""})",frozenset({'won'}),0.1724137931034483,0.3103448275862069,0.10344827586206896,0.6,1.9333333333333331,0.049940546967895356,1.7241379310344829
1482,"frozenset({'WTS Porterfield1', ""KJ O'Brien5""})",frozenset({'won'}),0.3103448275862069,0.3103448275862069,0.10344827586206896,0.3333333333333333,1.074074074074074,0.0071343638525564745,1.0344827586206895
