player-1,player-2,player-3,avg
Nazmul Islam,Mosharraf Hossain,Mohammad Saifuddin,0
Nazmul Islam,Mosharraf Hossain,Najmul Hossain Shanto,0
Nasir Hossain,Mosharraf Hossain,Taskin Ahmed,0
Nasir Hossain,Mosharraf Hossain,Mohammad Mithun,0
Mominul Haque,Nasir Hossain,Mosharraf Hossain,0
Nasir Hossain,Mosharraf Hossain,Mushfiqur Rahim,0
Al-Amin Hossain,Nasir Hossain,Mosharraf Hossain,0
Tanbir Hayder,Nasir Hossain,Mosharraf Hossain,0
Mashrafe Mortaza,Nasir Hossain,Mosharraf Hossain,0
Sunzamul Islam,Nasir Hossain,Mosharraf Hossain,0
Nasir Hossain,Mosharraf Hossain,Mosaddek Hossain,0
Ariful Haque,Nasir Hossain,Mosharraf Hossain,0
Fazle Mahmud,Nasir Hossain,Mosharraf Hossain,0
Nasir Hossain,Mosharraf Hossain,Arafat Sunny,0
Nasir Hossain,Mosharraf Hossain,Rubel Hossain,0
Mehidy Hasan Miraz,Nasir Hossain,Mosharraf Hossain,0
Nasir Hossain,Mosharraf Hossain,Taijul Islam,0
Mahmudullah,Nasir Hossain,Mosharraf Hossain,0
Nasir Hossain,Mosharraf Hossain,Tamim Iqbal,0
Nasir Hossain,Mosharraf Hossain,Soumya Sarkar,0
Nasir Hossain,Mosharraf Hossain,Subashis Roy,0
Nasir Hossain,Mosharraf Hossain,Liton Das,0
Nasir Hossain,Mosharraf Hossain,Shakib Al Hasan,0
Mustafizur Rahman,Nasir Hossain,Mosharraf Hossain,0
Nasir Hossain,Mosharraf Hossain,Anamul Haque,0
Nasir Hossain,Mosharraf Hossain,Mohammad Naim,0
Nasir Hossain,Mosharraf Hossain,Sabbir Rahman,0
Nasir Hossain,Mosharraf Hossain,Shafiul Islam,0
Abul Hasan,Nasir Hossain,Mosharraf Hossain,0
Jubair Hossain,Nasir Hossain,Mosharraf Hossain,0
Nasir Hossain,Mosharraf Hossain,Abu Jayed,0
Nasir Hossain,Mosharraf Hossain,Afif Hossain,0
Nasir Hossain,Mosharraf Hossain,Imrul Kayes,0
Nasir Hossain,Mosharraf Hossain,Mohammad Saifuddin,0
Nasir Hossain,Mosharraf Hossain,Najmul Hossain Shanto,0
Mohammad Mithun,Mosharraf Hossain,Taskin Ahmed,0
Mominul Haque,Mosharraf Hossain,Taskin Ahmed,0
Mosharraf Hossain,Mushfiqur Rahim,Taskin Ahmed,18
Al-Amin Hossain,Mosharraf Hossain,Taskin Ahmed,0
Tanbir Hayder,Mosharraf Hossain,Taskin Ahmed,0
Mashrafe Mortaza,Mosharraf Hossain,Taskin Ahmed,7.5
Sunzamul Islam,Mosharraf Hossain,Taskin Ahmed,0
Mosharraf Hossain,Mosaddek Hossain,Taskin Ahmed,8
Ariful Haque,Mosharraf Hossain,Taskin Ahmed,0
Fazle Mahmud,Mosharraf Hossain,Taskin Ahmed,0
