p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
Tamim Iqbal,38,Imrul Kayes,16,Soumya Sarkar,1,Mahmudullah,0,Shakib Al Hasan,59,Mushfiqur Rahim,42,Sabbir Rahman,16,Mosaddek Hossain,50,Mashrafe Mortaza,14,Taskin Ahmed,2,Mustafizur Rahman,0
Tamim Iqbal,16,Imrul Kayes,59,Sabbir Rahman,38,Mahmudullah,1,Shakib Al Hasan,7,Mosaddek Hossain,3,Tanbir Hayder,2,Nurul Hasan,24,Mashrafe Mortaza,17,Taskin Ahmed,0,Subashis Roy,1
Tamim Iqbal,59,Imrul Kayes,44,Sabbir Rahman,19,Mahmudullah,3,Shakib Al Hasan,18,Mosaddek Hossain,11,Nurul Hasan,44,Tanbir Hayder,3,Mashrafe Mortaza,14,Taskin Ahmed,4,Mustafizur Rahman,0
Tamim Iqbal,127,Soumya Sarkar,10,Sabbir Rahman,54,Mushfiqur Rahim,1,Shakib Al Hasan,72,Mosaddek Hossain,24,Mahmudullah,13,Mehidy Hasan Miraz,0,Mashrafe Mortaza,0,Taskin Ahmed,0,Mustafizur Rahman,0
Tamim Iqbal,4,Soumya Sarkar,38,Sabbir Rahman,0,Mushfiqur Rahim,0,Shakib Al Hasan,54,Mosaddek Hossain,9,Mahmudullah,7,Mehidy Hasan Miraz,51,Mashrafe Mortaza,16,Taskin Ahmed,14,Mustafizur Rahman,1
Tamim Iqbal,23,Soumya Sarkar,61,Sabbir Rahman,1,Mushfiqur Rahim,55,Shakib Al Hasan,6,Mahmudullah,51,Mosaddek Hossain,41,Mehidy Hasan Miraz,6,Mashrafe Mortaza,1,Rubel Hossain,0,Mustafizur Rahman,0
Tamim Iqbal,47,Soumya Sarkar,87,Sabbir Rahman,35,Mushfiqur Rahim,3,Shakib Al Hasan,0,Mahmudullah,0,Sunzamul Islam,0,Mosaddek Hossain,0,Rubel Hossain,0,Mashrafe Mortaza,0,Mustafizur Rahman,0
Tamim Iqbal,65,Soumya Sarkar,0,Sabbir Rahman,65,Mosaddek Hossain,10,Mushfiqur Rahim,45,Shakib Al Hasan,19,Mahmudullah,46,Nasir Hossain,0,Mashrafe Mortaza,0,Mustafizur Rahman,0,Rubel Hossain,0
Tamim Iqbal,128,Soumya Sarkar,28,Imrul Kayes,19,Mushfiqur Rahim,79,Shakib Al Hasan,10,Sabbir Rahman,24,Mahmudullah,6,Mosaddek Hossain,2,Mashrafe Mortaza,0,Mustafizur Rahman,0,Rubel Hossain,0
Tamim Iqbal,0,Soumya Sarkar,3,Sabbir Rahman,8,Mushfiqur Rahim,14,Shakib Al Hasan,114,Mahmudullah,102,Mosaddek Hossain,7,Taskin Ahmed,0,Mashrafe Mortaza,0,Rubel Hossain,0,Mustafizur Rahman,0
Tamim Iqbal,70,Soumya Sarkar,0,Sabbir Rahman,19,Mushfiqur Rahim,61,Shakib Al Hasan,15,Mahmudullah,21,Mosaddek Hossain,15,Mashrafe Mortaza,30,Taskin Ahmed,10,Rubel Hossain,0,Mustafizur Rahman,0
Imrul Kayes,31,Liton Das,21,Shakib Al Hasan,29,Mushfiqur Rahim,110,Mahmudullah,26,Sabbir Rahman,19,Nasir Hossain,11,Mohammad Saifuddin,16,Mashrafe Mortaza,0,Taskin Ahmed,0,Rubel Hossain,0
Tamim Iqbal,23,Imrul Kayes,68,Liton Das,14,Mushfiqur Rahim,60,Shakib Al Hasan,5,Mahmudullah,35,Sabbir Rahman,17,Nasir Hossain,3,Mashrafe Mortaza,0,Taskin Ahmed,3,Rubel Hossain,8
Imrul Kayes,1,Soumya Sarkar,8,Liton Das,6,Mushfiqur Rahim,8,Shakib Al Hasan,63,Mahmudullah,2,Sabbir Rahman,39,Mehidy Hasan Miraz,15,Mashrafe Mortaza,17,Taskin Ahmed,2,Rubel Hossain,0
Tamim Iqbal,84,Anamul Haque,19,Shakib Al Hasan,37,Mushfiqur Rahim,14,Mahmudullah,0,Nasir Hossain,0,Sabbir Rahman,0,Mashrafe Mortaza,0,Sunzamul Islam,0,Mustafizur Rahman,0,Rubel Hossain,0
Tamim Iqbal,84,Anamul Haque,35,Shakib Al Hasan,67,Mushfiqur Rahim,62,Mahmudullah,24,Sabbir Rahman,24,Mashrafe Mortaza,6,Nasir Hossain,0,Mohammad Saifuddin,6,Rubel Hossain,0,Mustafizur Rahman,0
Tamim Iqbal,76,Anamul Haque,1,Shakib Al Hasan,51,Mushfiqur Rahim,18,Mahmudullah,2,Sabbir Rahman,6,Nasir Hossain,2,Mashrafe Mortaza,0,Sunzamul Islam,19,Mustafizur Rahman,18,Rubel Hossain,8
Tamim Iqbal,5,Anamul Haque,0,Shakib Al Hasan,8,Mushfiqur Rahim,26,Mahmudullah,7,Sabbir Rahman,10,Abul Hasan,7,Nasir Hossain,3,Mashrafe Mortaza,1,Rubel Hossain,0,Mustafizur Rahman,1
Tamim Iqbal,3,Mohammad Mithun,10,Sabbir Rahman,2,Mushfiqur Rahim,22,Mahmudullah,76,Mehidy Hasan Miraz,5,Mohammad Saifuddin,8,Mashrafe Mortaza,5,Rubel Hossain,0,Mustafizur Rahman,0,Shakib Al Hasan,0
Tamim Iqbal,130,Anamul Haque,0,Shakib Al Hasan,97,Sabbir Rahman,3,Mushfiqur Rahim,30,Mahmudullah,4,Mosaddek Hossain,0,Mehidy Hasan Miraz,0,Mashrafe Mortaza,0,Rubel Hossain,0,Mustafizur Rahman,0
Tamim Iqbal,54,Anamul Haque,23,Shakib Al Hasan,56,Mushfiqur Rahim,68,Mahmudullah,39,Sabbir Rahman,12,Mosaddek Hossain,3,Mashrafe Mortaza,1,Mehidy Hasan Miraz,0,Rubel Hossain,0,Mustafizur Rahman,0
Tamim Iqbal,103,Anamul Haque,10,Shakib Al Hasan,37,Mushfiqur Rahim,12,Mahmudullah,67,Mashrafe Mortaza,36,Sabbir Rahman,12,Mosaddek Hossain,11,Mehidy Hasan Miraz,0,Rubel Hossain,0,Mustafizur Rahman,0
Tamim Iqbal,2,Liton Das,0,Shakib Al Hasan,0,Mushfiqur Rahim,144,Mohammad Mithun,63,Mahmudullah,1,Mosaddek Hossain,1,Mehidy Hasan Miraz,15,Mashrafe Mortaza,11,Rubel Hossain,2,Mustafizur Rahman,10
Liton Das,6,Najmul Hossain Shanto,7,Shakib Al Hasan,2,Mominul Haque,9,Mohammad Mithun,2,Mahmudullah,27,Mosaddek Hossain,26,Mehidy Hasan Miraz,4,Mashrafe Mortaza,0,Abu Hider,1,Rubel Hossain,0
Liton Das,7,Najmul Hossain Shanto,7,Shakib Al Hasan,17,Mushfiqur Rahim,21,Mohammad Mithun,9,Mahmudullah,25,Mosaddek Hossain,12,Mashrafe Mortaza,26,Mehidy Hasan Miraz,42,Mustafizur Rahman,3,Rubel Hossain,1
Liton Das,41,Najmul Hossain Shanto,6,Mohammad Mithun,1,Mushfiqur Rahim,33,Shakib Al Hasan,0,Imrul Kayes,72,Mahmudullah,74,Mashrafe Mortaza,10,Mehidy Hasan Miraz,5,Mustafizur Rahman,0,Nazmul Islam,0
Liton Das,6,Soumya Sarkar,0,Mominul Haque,5,Mushfiqur Rahim,99,Mohammad Mithun,60,Imrul Kayes,9,Mahmudullah,25,Mehidy Hasan Miraz,12,Mashrafe Mortaza,13,Rubel Hossain,1,Mustafizur Rahman,0
