,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
1950,Mashrafe Mortaza,Imrul Kayes,Mosaddek Hossain,Mahmudullah,92.28571429,90.58000000000001
1951,Mashrafe Mortaza,Mosaddek Hossain,Najmul Hossain Shanto,Mahmudullah,65.0,58.33
1952,Mashrafe Mortaza,Shakib Al Hasan,Tamim Iqbal,Mosaddek Hossain,116.42857140000001,102.86999999999999
1953,Mashrafe Mortaza,Mustafizur Rahman,Tamim Iqbal,Mosaddek Hossain,70.77272727,67.86
1954,Mashrafe Mortaza,Tamim Iqbal,Mosaddek Hossain,Anamul Haque,123.66666670000001,82.46000000000001
1955,Mashrafe Mortaza,Sabbir Rahman,Tamim Iqbal,Mosaddek Hossain,100.90909090000001,87.51
1956,Mashrafe Mortaza,Shafiul Islam,Tamim Iqbal,Mosaddek Hossain,78.5,67.71000000000001
1957,Mashrafe Mortaza,Abu Jayed,Tamim Iqbal,Mosaddek Hossain,71.0,66.46000000000001
1958,Mashrafe Mortaza,Imrul Kayes,Tamim Iqbal,Mosaddek Hossain,121.0,109.71
1959,Mashrafe Mortaza,Shakib Al Hasan,Mosaddek Hossain,Soumya Sarkar,98.88888889,93.05
1960,Mashrafe Mortaza,Sabbir Rahman,Mosaddek Hossain,Soumya Sarkar,78.46153846,77.69
1961,Mashrafe Mortaza,Subashis Roy,Sabbir Rahman,Mosaddek Hossain,59.0,44.730000000000004
1962,Mashrafe Mortaza,Subashis Roy,Mosaddek Hossain,Imrul Kayes,80.0,66.93
1963,Mashrafe Mortaza,Shakib Al Hasan,Liton Das,Mosaddek Hossain,99.25,89.05999999999999
1964,Mashrafe Mortaza,Sabbir Rahman,Liton Das,Mosaddek Hossain,83.0,73.7
1965,Mashrafe Mortaza,Abu Jayed,Liton Das,Mosaddek Hossain,90.0,52.65
1966,Mashrafe Mortaza,Mohammad Saifuddin,Liton Das,Mosaddek Hossain,76.8,65.83
1967,Mashrafe Mortaza,Mustafizur Rahman,Shakib Al Hasan,Mosaddek Hossain,74.72727273,60.489999999999995
1968,Mashrafe Mortaza,Shakib Al Hasan,Mosaddek Hossain,Anamul Haque,91.33333333,75.09
1969,Mashrafe Mortaza,Shakib Al Hasan,Sabbir Rahman,Mosaddek Hossain,85.38095238,80.14
1970,Mashrafe Mortaza,Shakib Al Hasan,Abu Jayed,Mosaddek Hossain,64.0,59.089999999999996
1971,Mashrafe Mortaza,Shakib Al Hasan,Mohammad Saifuddin,Mosaddek Hossain,107.625,72.27
1972,Mashrafe Mortaza,Mustafizur Rahman,Mosaddek Hossain,Najmul Hossain Shanto,48.0,35.08
1973,Mashrafe Mortaza,Sabbir Rahman,Mosaddek Hossain,Shafiul Islam,63.75,44.980000000000004
1974,Mashrafe Mortaza,Imrul Kayes,Sabbir Rahman,Mosaddek Hossain,99.57142857,86.98
1975,Mashrafe Mortaza,Sabbir Rahman,Mosaddek Hossain,Mohammad Saifuddin,57.0,56.910000000000004
1976,Mashrafe Mortaza,Imrul Kayes,Shafiul Islam,Mosaddek Hossain,93.66666667,67.18
1977,Mashrafe Mortaza,Ariful Haque,Soumya Sarkar,Mahmudullah,117.0,64.65
1978,Mashrafe Mortaza,Ariful Haque,Imrul Kayes,Mahmudullah,115.0,73.94
1979,Mashrafe Mortaza,Ariful Haque,Liton Das,Soumya Sarkar,117.0,69.97
1980,Mashrafe Mortaza,Ariful Haque,Imrul Kayes,Soumya Sarkar,232.0,83.25
1981,Mashrafe Mortaza,Ariful Haque,Mohammad Saifuddin,Soumya Sarkar,117.0,53.18
1982,Mashrafe Mortaza,Ariful Haque,Imrul Kayes,Liton Das,115.0,79.25999999999999
1983,Mashrafe Mortaza,Ariful Haque,Imrul Kayes,Mohammad Saifuddin,115.0,62.47
1984,Mashrafe Mortaza,Mehidy Hasan Miraz,Fazle Mahmud,Imrul Kayes,118.5,59.260000000000005
1985,Mashrafe Mortaza,Fazle Mahmud,Imrul Kayes,Mahmudullah,118.0,73.94
1986,Mashrafe Mortaza,Mustafizur Rahman,Fazle Mahmud,Liton Das,45.0,37.41
1987,Mashrafe Mortaza,Fazle Mahmud,Liton Das,Imrul Kayes,161.5,79.25999999999999
1988,Mashrafe Mortaza,Fazle Mahmud,Mohammad Saifuddin,Liton Das,69.5,49.19
1989,Mashrafe Mortaza,Mustafizur Rahman,Fazle Mahmud,Imrul Kayes,118.5,50.69
1990,Mashrafe Mortaza,Mustafizur Rahman,Fazle Mahmud,Mohammad Saifuddin,26.5,20.619999999999997
