Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,SS Iyer,SS Iyer3,MS Dhoni,MS Dhoni4,HH Pandya,HH Pandya5,KD Karthik,KD Karthik6,MK Pandey,MK Pandey7,B Kumar,B Kumar8,Washington Sundar,Washington Sundar9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,SS Iyer,SS Iyer3,KD Karthik,KD Karthik4,MS Dhoni,MS Dhoni5,HH Pandya,HH Pandya6,MK Pandey,MK Pandey7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,HH Pandya,HH Pandya5,MS Dhoni,MS Dhoni6,KM Jadhav,KM Jadhav7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,HH Pandya,HH Pandya5,MS Dhoni,MS Dhoni6,KM Jadhav,KM Jadhav7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,SS Iyer,SS Iyer5,MS Dhoni,MS Dhoni6,HH Pandya,HH Pandya7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,S Dhawan,S Dhawan1,RG Sharma,RG Sharma2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,SS Iyer,SS Iyer5,HH Pandya,HH Pandya6,MS Dhoni,MS Dhoni7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,S Dhawan,S Dhawan1,RG Sharma,RG Sharma2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,SS Iyer,SS Iyer5,MS Dhoni,MS Dhoni6,HH Pandya,HH Pandya7,Kuldeep Yadav,Kuldeep Yadav8,SN Thakur,SN Thakur9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,KL Rahul,KL Rahul4,SK Raina,SK Raina5,MS Dhoni,MS Dhoni6,HH Pandya,HH Pandya7,S Kaul,S Kaul8,Kuldeep Yadav,Kuldeep Yadav9,UT Yadav,UT Yadav*,YS Chahal,YS Chahal#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,KL Rahul,KL Rahul4,SK Raina,SK Raina5,MS Dhoni,MS Dhoni6,HH Pandya,HH Pandya7,UT Yadav,UT Yadav8,Kuldeep Yadav,Kuldeep Yadav9,S Kaul,S Kaul*,YS Chahal,YS Chahal#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,KD Karthik,KD Karthik4,MS Dhoni,MS Dhoni5,SK Raina,SK Raina6,HH Pandya,HH Pandya7,B Kumar,B Kumar8,SN Thakur,SN Thakur9,Kuldeep Yadav,Kuldeep Yadav*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,AT Rayudu,AT Rayudu3,KD Karthik,KD Karthik4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,YS Chahal,YS Chahal*,JJ Bumrah,JJ Bumrah#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,AT Rayudu,AT Rayudu3,MS Dhoni,MS Dhoni4,KD Karthik,KD Karthik5,KM Jadhav,KM Jadhav6,RA Jadeja,RA Jadeja7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,YS Chahal,YS Chahal*,JJ Bumrah,JJ Bumrah#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,AT Rayudu,AT Rayudu3,KM Jadhav,KM Jadhav4,MS Dhoni,MS Dhoni5,KD Karthik,KD Karthik6,Kuldeep Yadav,Kuldeep Yadav7,RA Jadeja,RA Jadeja8,YS Chahal,YS Chahal9,B Kumar,B Kumar*,JJ Bumrah,JJ Bumrah#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,AT Rayudu,AT Rayudu3,KD Karthik,KD Karthik4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,RA Jadeja,RA Jadeja7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AT Rayudu,AT Rayudu4,RR Pant,RR Pant5,MS Dhoni,MS Dhoni6,RA Jadeja,RA Jadeja7,YS Chahal,YS Chahal8,UT Yadav,UT Yadav9,Mohammed Shami,Mohammed Shami*,KK Ahmed,KK Ahmed#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AT Rayudu,AT Rayudu4,RR Pant,RR Pant5,MS Dhoni,MS Dhoni6,B Kumar,B Kumar7,Kuldeep Yadav,Kuldeep Yadav8,YS Chahal,YS Chahal9,KK Ahmed,KK Ahmed*,JJ Bumrah,JJ Bumrah#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AT Rayudu,AT Rayudu4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,RA Jadeja,RA Jadeja7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,KK Ahmed,KK Ahmed*,JJ Bumrah,JJ Bumrah#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AT Rayudu,AT Rayudu4,KM Jadhav,KM Jadhav5,MS Dhoni,MS Dhoni6,RA Jadeja,RA Jadeja7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,KK Ahmed,KK Ahmed*,JJ Bumrah,JJ Bumrah#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AT Rayudu,AT Rayudu4,MS Dhoni,MS Dhoni5,KD Karthik,KD Karthik6,RA Jadeja,RA Jadeja7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,Mohammed Shami,Mohammed Shami*,KK Ahmed,KK Ahmed#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AT Rayudu,AT Rayudu4,MS Dhoni,MS Dhoni5,KD Karthik,KD Karthik6,RA Jadeja,RA Jadeja7,Kuldeep Yadav,Kuldeep Yadav8,B Kumar,B Kumar9,Mohammed Shami,Mohammed Shami*,Mohammed Siraj,Mohammed Siraj#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,MS Dhoni,MS Dhoni4,KM Jadhav,KM Jadhav5,KD Karthik,KD Karthik6,V Shankar,V Shankar7,RA Jadeja,RA Jadeja8,B Kumar,B Kumar9,Mohammed Shami,Mohammed Shami*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AT Rayudu,AT Rayudu4,KM Jadhav,KM Jadhav5,MS Dhoni,MS Dhoni6,V Shankar,V Shankar7,Kuldeep Yadav,Kuldeep Yadav8,YS Chahal,YS Chahal9,B Kumar,B Kumar*,Mohammed Shami,Mohammed Shami#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AT Rayudu,AT Rayudu4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,V Shankar,V Shankar7,Kuldeep Yadav,Kuldeep Yadav8,YS Chahal,YS Chahal9,B Kumar,B Kumar*,Mohammed Shami,Mohammed Shami#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AT Rayudu,AT Rayudu4,KD Karthik,KD Karthik5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,Kuldeep Yadav,Kuldeep Yadav8,YS Chahal,YS Chahal9,B Kumar,B Kumar*,Mohammed Shami,Mohammed Shami#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,Shubman Gill,Shubman Gill3,AT Rayudu,AT Rayudu4,KD Karthik,KD Karthik5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,YS Chahal,YS Chahal*,KK Ahmed,KK Ahmed#
