,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
78,JB Little,HT Tector,GJ Delany,Simi Singh,53.0,47.28
79,HT Tector,GJ Delany,KJ O'Brien,A Balbirnie,89.33333333333331,85.42
80,HT Tector,GJ Delany,A Balbirnie,C Campher,116.33333333333331,105.97999999999999
81,HT Tector,GJ Delany,A Balbirnie,MR Adair,154.0,76.11
82,HT Tector,GJ Delany,Simi Singh,C Campher,101.0,88.11
83,LJ Tucker,GJ Delany,PR Stirling,CA Young,74.66666666666667,70.23
84,JB Little,GJ Delany,PR Stirling,CA Young,84.0,56.91
85,GJ Delany,KJ O'Brien,PR Stirling,CA Young,83.0,77.17999999999999
86,A Balbirnie,GJ Delany,PR Stirling,CA Young,111.33333333333331,86.66
87,GJ Delany,PR Stirling,CA Young,C Campher,110.0,97.74
88,GJ Delany,MR Adair,PR Stirling,CA Young,154.0,67.86999999999999
89,BJ McCarthy,GJ Delany,PR Stirling,WTS Porterfield,92.5,83.42
90,BJ McCarthy,GJ Delany,PR Stirling,MR Adair,91.5,71.32
91,LJ Tucker,GJ Delany,PR Stirling,JB Little,93.5,68.93
92,LJ Tucker,A Balbirnie,GJ Delany,PR Stirling,102.2,98.68
93,LJ Tucker,GJ Delany,PR Stirling,C Campher,112.66666666666669,109.76
94,LJ Tucker,GJ Delany,PR Stirling,WTS Porterfield,93.5,91.99000000000001
95,LJ Tucker,GJ Delany,PR Stirling,MR Adair,113.0,79.89000000000001
96,JB Little,GJ Delany,KJ O'Brien,PR Stirling,95.0,75.88
97,JB Little,A Balbirnie,GJ Delany,PR Stirling,147.0,85.36
98,JB Little,GJ Delany,PR Stirling,C Campher,117.0,96.44
99,JB Little,GJ Delany,PR Stirling,MR Adair,154.0,66.57
100,A Balbirnie,GJ Delany,KJ O'Brien,PR Stirling,107.8,105.63
101,GJ Delany,KJ O'Brien,PR Stirling,C Campher,121.0,116.71
102,GJ Delany,KJ O'Brien,PR Stirling,MR Adair,121.0,86.84
103,A Balbirnie,GJ Delany,PR Stirling,C Campher,149.33333333333334,126.19
104,A Balbirnie,GJ Delany,PR Stirling,MR Adair,148.66666666666666,96.32
105,GJ Delany,PR Stirling,MR Adair,C Campher,154.0,107.39999999999999
106,GJ Delany,Simi Singh,PR Stirling,WTS Porterfield,97.0,90.55000000000001
107,GJ Delany,PR Stirling,MR Adair,WTS Porterfield,98.5,89.63
108,GJ Delany,PR Stirling,MR Adair,Simi Singh,96.0,78.44999999999999
109,BJ McCarthy,GJ Delany,KJ O'Brien,CA Young,58.0,44.22
110,BJ McCarthy,GJ Delany,CA Young,C Campher,95.0,64.78
111,BJ McCarthy,GJ Delany,CA Young,Simi Singh,36.0,35.83
112,LJ Tucker,A Balbirnie,GJ Delany,CA Young,66.33333333333333,62.269999999999996
113,JB Little,A Balbirnie,GJ Delany,CA Young,71.0,48.949999999999996
114,A Balbirnie,GJ Delany,KJ O'Brien,CA Young,74.66666666666667,69.22
115,A Balbirnie,GJ Delany,CA Young,C Campher,101.66666666666669,89.78
116,A Balbirnie,GJ Delany,MR Adair,CA Young,125.0,59.91
117,GJ Delany,Simi Singh,CA Young,C Campher,93.5,71.91
118,BJ McCarthy,GJ Delany,KJ O'Brien,LJ Tucker,59.0,56.24
119,BJ McCarthy,GJ Delany,LJ Tucker,C Campher,84.0,76.8
120,BJ McCarthy,GJ Delany,LJ Tucker,WTS Porterfield,69.5,59.03
121,BJ McCarthy,GJ Delany,LJ Tucker,Simi Singh,53.0,47.85
122,BJ McCarthy,GJ Delany,MR Adair,LJ Tucker,68.5,46.93
123,BJ McCarthy,GJ Delany,KJ O'Brien,C Campher,106.0,83.75
124,BJ McCarthy,GJ Delany,KJ O'Brien,WTS Porterfield,71.0,65.98
125,BJ McCarthy,GJ Delany,KJ O'Brien,Simi Singh,61.33333333333334,54.800000000000004
126,BJ McCarthy,GJ Delany,KJ O'Brien,MR Adair,70.0,53.88
127,BJ McCarthy,A Balbirnie,GJ Delany,MR Adair,65.5,63.36
128,BJ McCarthy,GJ Delany,Simi Singh,C Campher,84.0,75.36
129,BJ McCarthy,GJ Delany,Simi Singh,WTS Porterfield,73.0,57.59
130,BJ McCarthy,GJ Delany,MR Adair,WTS Porterfield,74.5,56.67
131,BJ McCarthy,GJ Delany,MR Adair,Simi Singh,72.0,45.49
132,LJ Tucker,A Balbirnie,GJ Delany,JB Little,80.5,60.97
133,LJ Tucker,GJ Delany,JB Little,Simi Singh,46.0,43.1
134,LJ Tucker,A Balbirnie,GJ Delany,C Campher,104.33333333333331,101.8
135,LJ Tucker,A Balbirnie,GJ Delany,MR Adair,86.0,71.93
136,LJ Tucker,GJ Delany,Simi Singh,C Campher,97.5,83.93
137,LJ Tucker,GJ Delany,Simi Singh,WTS Porterfield,74.0,66.16
138,LJ Tucker,GJ Delany,MR Adair,WTS Porterfield,75.5,65.24
139,LJ Tucker,GJ Delany,MR Adair,Simi Singh,73.0,54.06
