,player-1,player-2,player-3,player-4,avg
93,LJ Tucker,J Anderson,GJ Delany,GH Dockrell,0.0
94,JB Little,J Anderson,GJ Delany,GH Dockrell,0.0
95,EC Joyce,J Anderson,GJ Delany,GH Dockrell,0.0
96,J Anderson,GJ Delany,JF Mooney,GH Dockrell,0.0
97,J Anderson,GJ Delany,JA McCollum,GH Dockrell,0.0
98,J Anderson,GJ Delany,TJ Murtagh,GH Dockrell,0.0
99,J Anderson,GJ Delany,KJ O'Brien,GH Dockrell,0.0
100,J Anderson,GJ Delany,A Balbirnie,GH Dockrell,0.0
101,J Anderson,GJ Delany,GH Dockrell,C Campher,0.0
102,J Anderson,GJ Delany,GH Dockrell,AR Cusack,0.0
103,J Anderson,GJ Delany,SW Poynter,GH Dockrell,0.0
104,J Anderson,GJ Delany,PKD Chase,GH Dockrell,0.0
105,J Anderson,GJ Delany,SP Terry,GH Dockrell,0.0
106,J Anderson,GJ Delany,GH Dockrell,WTS Porterfield,0.0
107,J Anderson,GJ Delany,GH Dockrell,Simi Singh,0.0
108,J Anderson,GJ Delany,J Cameron-Dow,GH Dockrell,0.0
109,J Anderson,GJ Delany,MR Adair,GH Dockrell,0.0
110,J Anderson,GJ Delany,AR McBrine,SC Getkate,0.0
111,J Anderson,GJ Delany,AR McBrine,HT Tector,0.0
112,J Anderson,GJ Delany,AR McBrine,J Mulder,0.0
113,J Anderson,GJ Delany,PR Stirling,AR McBrine,0.0
114,J Anderson,GJ Delany,AR McBrine,CA Young,0.0
115,BJ McCarthy,J Anderson,GJ Delany,AR McBrine,0.0
116,J Anderson,GJ Delany,MC Sorensen,AR McBrine,0.0
117,GC Wilson,J Anderson,GJ Delany,AR McBrine,0.0
118,LJ Tucker,J Anderson,GJ Delany,AR McBrine,0.0
119,JB Little,J Anderson,GJ Delany,AR McBrine,0.0
120,J Anderson,GJ Delany,AR McBrine,EC Joyce,0.0
121,J Anderson,GJ Delany,AR McBrine,JF Mooney,0.0
122,J Anderson,GJ Delany,JA McCollum,AR McBrine,0.0
123,J Anderson,GJ Delany,TJ Murtagh,AR McBrine,0.0
124,J Anderson,GJ Delany,KJ O'Brien,AR McBrine,0.0
125,J Anderson,GJ Delany,A Balbirnie,AR McBrine,0.0
126,J Anderson,GJ Delany,AR McBrine,C Campher,0.0
127,J Anderson,GJ Delany,AR McBrine,AR Cusack,0.0
128,J Anderson,GJ Delany,SW Poynter,AR McBrine,0.0
129,J Anderson,GJ Delany,PKD Chase,AR McBrine,0.0
130,J Anderson,GJ Delany,AR McBrine,SP Terry,0.0
131,J Anderson,GJ Delany,AR McBrine,WTS Porterfield,0.0
132,J Anderson,GJ Delany,AR McBrine,Simi Singh,0.0
133,J Anderson,GJ Delany,J Cameron-Dow,AR McBrine,0.0
134,J Anderson,GJ Delany,AR McBrine,MR Adair,0.0
135,J Anderson,GJ Delany,HT Tector,SC Getkate,0.0
136,J Anderson,GJ Delany,J Mulder,SC Getkate,0.0
137,J Anderson,GJ Delany,PR Stirling,SC Getkate,0.0
138,J Anderson,GJ Delany,CA Young,SC Getkate,0.0
139,BJ McCarthy,J Anderson,GJ Delany,SC Getkate,0.0
140,J Anderson,GJ Delany,MC Sorensen,SC Getkate,0.0
141,GC Wilson,J Anderson,GJ Delany,SC Getkate,0.0
142,LJ Tucker,J Anderson,GJ Delany,SC Getkate,0.0
143,JB Little,J Anderson,GJ Delany,SC Getkate,0.0
144,J Anderson,GJ Delany,EC Joyce,SC Getkate,0.0
145,J Anderson,GJ Delany,JF Mooney,SC Getkate,0.0
146,J Anderson,GJ Delany,JA McCollum,SC Getkate,0.0
147,J Anderson,GJ Delany,TJ Murtagh,SC Getkate,0.0
148,J Anderson,GJ Delany,KJ O'Brien,SC Getkate,0.0
149,J Anderson,GJ Delany,A Balbirnie,SC Getkate,0.0
150,J Anderson,GJ Delany,C Campher,SC Getkate,0.0
151,J Anderson,GJ Delany,AR Cusack,SC Getkate,0.0
152,J Anderson,GJ Delany,SW Poynter,SC Getkate,0.0
153,J Anderson,GJ Delany,PKD Chase,SC Getkate,0.0
154,J Anderson,GJ Delany,SP Terry,SC Getkate,0.0
155,J Anderson,GJ Delany,WTS Porterfield,SC Getkate,0.0
156,J Anderson,GJ Delany,Simi Singh,SC Getkate,0.0
157,J Anderson,GJ Delany,J Cameron-Dow,SC Getkate,0.0
158,J Anderson,GJ Delany,MR Adair,SC Getkate,0.0
159,J Anderson,GJ Delany,J Mulder,HT Tector,0.0
160,J Anderson,GJ Delany,PR Stirling,HT Tector,0.0
161,J Anderson,GJ Delany,CA Young,HT Tector,0.0
162,BJ McCarthy,J Anderson,GJ Delany,HT Tector,0.0
163,J Anderson,GJ Delany,MC Sorensen,HT Tector,0.0
164,GC Wilson,J Anderson,GJ Delany,HT Tector,0.0
165,LJ Tucker,J Anderson,GJ Delany,HT Tector,0.0
166,JB Little,J Anderson,GJ Delany,HT Tector,0.0
167,EC Joyce,J Anderson,GJ Delany,HT Tector,0.0
168,J Anderson,GJ Delany,JF Mooney,HT Tector,0.0
169,J Anderson,GJ Delany,JA McCollum,HT Tector,0.0
170,J Anderson,GJ Delany,TJ Murtagh,HT Tector,0.0
171,J Anderson,GJ Delany,KJ O'Brien,HT Tector,0.0
172,J Anderson,GJ Delany,A Balbirnie,HT Tector,0.0
173,J Anderson,GJ Delany,HT Tector,C Campher,0.0
174,J Anderson,GJ Delany,HT Tector,AR Cusack,0.0
175,J Anderson,GJ Delany,SW Poynter,HT Tector,0.0
176,J Anderson,GJ Delany,PKD Chase,HT Tector,0.0
177,J Anderson,GJ Delany,SP Terry,HT Tector,0.0
178,J Anderson,GJ Delany,HT Tector,WTS Porterfield,0.0
179,J Anderson,GJ Delany,HT Tector,Simi Singh,0.0
180,J Anderson,GJ Delany,J Cameron-Dow,HT Tector,0.0
181,J Anderson,GJ Delany,MR Adair,HT Tector,0.0
182,J Anderson,GJ Delany,PR Stirling,J Mulder,0.0
183,J Anderson,GJ Delany,J Mulder,CA Young,0.0
184,BJ McCarthy,J Anderson,GJ Delany,J Mulder,0.0
185,J Anderson,GJ Delany,MC Sorensen,J Mulder,0.0
186,GC Wilson,J Anderson,GJ Delany,J Mulder,0.0
187,LJ Tucker,J Anderson,GJ Delany,J Mulder,0.0
188,JB Little,J Anderson,GJ Delany,J Mulder,0.0
189,J Anderson,GJ Delany,J Mulder,EC Joyce,0.0
190,J Anderson,GJ Delany,J Mulder,JF Mooney,0.0
191,J Anderson,GJ Delany,JA McCollum,J Mulder,0.0
192,J Anderson,GJ Delany,TJ Murtagh,J Mulder,0.0
193,J Anderson,GJ Delany,KJ O'Brien,J Mulder,0.0
194,J Anderson,GJ Delany,A Balbirnie,J Mulder,0.0
195,J Anderson,GJ Delany,J Mulder,C Campher,0.0
196,J Anderson,GJ Delany,J Mulder,AR Cusack,0.0
197,J Anderson,GJ Delany,SW Poynter,J Mulder,0.0
198,J Anderson,GJ Delany,PKD Chase,J Mulder,0.0
199,J Anderson,GJ Delany,J Mulder,SP Terry,0.0
200,J Anderson,GJ Delany,J Mulder,WTS Porterfield,0.0
201,J Anderson,GJ Delany,J Mulder,Simi Singh,0.0
202,J Anderson,GJ Delany,J Cameron-Dow,J Mulder,0.0
203,J Anderson,GJ Delany,J Mulder,MR Adair,0.0
204,J Anderson,GJ Delany,PR Stirling,CA Young,0.0
205,BJ McCarthy,J Anderson,GJ Delany,PR Stirling,0.0
206,J Anderson,GJ Delany,MC Sorensen,PR Stirling,0.0
207,GC Wilson,J Anderson,GJ Delany,PR Stirling,0.0
208,LJ Tucker,J Anderson,GJ Delany,PR Stirling,0.0
209,JB Little,J Anderson,GJ Delany,PR Stirling,0.0
210,J Anderson,GJ Delany,PR Stirling,EC Joyce,0.0
211,J Anderson,GJ Delany,PR Stirling,JF Mooney,0.0
212,J Anderson,GJ Delany,PR Stirling,JA McCollum,0.0
213,J Anderson,GJ Delany,TJ Murtagh,PR Stirling,0.0
214,J Anderson,GJ Delany,KJ O'Brien,PR Stirling,0.0
215,J Anderson,GJ Delany,A Balbirnie,PR Stirling,0.0
216,J Anderson,GJ Delany,PR Stirling,C Campher,0.0
217,J Anderson,GJ Delany,PR Stirling,AR Cusack,0.0
218,J Anderson,GJ Delany,PR Stirling,SW Poynter,0.0
219,J Anderson,GJ Delany,PKD Chase,PR Stirling,0.0
220,J Anderson,GJ Delany,PR Stirling,SP Terry,0.0
221,J Anderson,GJ Delany,PR Stirling,WTS Porterfield,0.0
222,J Anderson,GJ Delany,PR Stirling,Simi Singh,0.0
223,J Anderson,GJ Delany,PR Stirling,J Cameron-Dow,0.0
224,J Anderson,GJ Delany,PR Stirling,MR Adair,0.0
225,BJ McCarthy,J Anderson,GJ Delany,CA Young,0.0
226,J Anderson,GJ Delany,MC Sorensen,CA Young,0.0
227,GC Wilson,J Anderson,GJ Delany,CA Young,0.0
228,LJ Tucker,J Anderson,GJ Delany,CA Young,0.0
229,JB Little,J Anderson,GJ Delany,CA Young,0.0
230,EC Joyce,J Anderson,GJ Delany,CA Young,0.0
231,J Anderson,GJ Delany,JF Mooney,CA Young,0.0
232,J Anderson,GJ Delany,JA McCollum,CA Young,0.0
233,J Anderson,GJ Delany,TJ Murtagh,CA Young,0.0
234,J Anderson,GJ Delany,KJ O'Brien,CA Young,0.0
235,J Anderson,GJ Delany,A Balbirnie,CA Young,0.0
236,J Anderson,GJ Delany,CA Young,C Campher,0.0
237,J Anderson,GJ Delany,CA Young,AR Cusack,0.0
238,J Anderson,GJ Delany,SW Poynter,CA Young,0.0
239,J Anderson,GJ Delany,PKD Chase,CA Young,0.0
240,J Anderson,GJ Delany,SP Terry,CA Young,0.0
241,J Anderson,GJ Delany,CA Young,WTS Porterfield,0.0
242,J Anderson,GJ Delany,CA Young,Simi Singh,0.0
