,player-1,player-2,avg
152,MC Sorensen,WTS Porterfield,45.333333333333336
153,PKD Chase,WTS Porterfield,29.333333333333332
154,A Balbirnie,WTS Porterfield,54.17777777777778
155,BJ McCarthy,WTS Porterfield,31.82608695652174
156,SW Poynter,WTS Porterfield,30.8125
157,LJ Tucker,WTS Porterfield,37.5
158,EC Joyce,WTS Porterfield,64.82758620689656
159,GJ Delany,WTS Porterfield,38.5
160,CA Young,WTS Porterfield,16.0
161,PR Stirling,WTS Porterfield,63.07272727272727
162,AR Cusack,WTS Porterfield,52.4
163,AR McBrine,WTS Porterfield,26.647058823529413
164,J Mulder,WTS Porterfield,58.0
165,J Cameron-Dow,WTS Porterfield,16.0
166,NJ O'Brien,WTS Porterfield,54.035714285714285
167,JA McCollum,WTS Porterfield,48.888888888888886
168,JF Mooney,WTS Porterfield,35.6
169,SR Thompson,WTS Porterfield,49.8
170,Simi Singh,WTS Porterfield,30.714285714285715
171,WB Rankin,GC Wilson,16.5
172,GH Dockrell,WB Rankin,16.818181818181817
173,SC Getkate,WB Rankin,8.0
174,WB Rankin,TJ Murtagh,4.2727272727272725
175,C Campher,WB Rankin,0.0
176,HT Tector,WB Rankin,0.0
177,MC Sorensen,WB Rankin,6.0
178,PKD Chase,WB Rankin,3.0
179,A Balbirnie,WB Rankin,36.13636363636363
180,BJ McCarthy,WB Rankin,10.636363636363637
181,SW Poynter,WB Rankin,20.555555555555557
182,LJ Tucker,WB Rankin,24.333333333333332
183,EC Joyce,WB Rankin,25.4
184,GJ Delany,WB Rankin,23.5
185,CA Young,WB Rankin,0.0
186,PR Stirling,WB Rankin,47.6
187,WB Rankin,AR Cusack,0.0
188,AR McBrine,WB Rankin,17.27777777777778
189,J Mulder,WB Rankin,0.0
190,J Cameron-Dow,WB Rankin,5.333333333333333
191,NJ O'Brien,WB Rankin,14.5
192,JA McCollum,WB Rankin,21.5
193,JF Mooney,WB Rankin,0.0
194,SR Thompson,WB Rankin,0.0
195,Simi Singh,WB Rankin,18.454545454545453
196,GH Dockrell,GC Wilson,28.06451612903226
197,SC Getkate,GC Wilson,0.0
198,TJ Murtagh,GC Wilson,20.714285714285715
199,C Campher,GC Wilson,0.0
200,HT Tector,GC Wilson,0.0
201,MC Sorensen,GC Wilson,10.0
202,PKD Chase,GC Wilson,17.764705882352942
203,A Balbirnie,GC Wilson,45.02857142857143
204,BJ McCarthy,GC Wilson,22.166666666666668
205,SW Poynter,GC Wilson,27.727272727272727
206,LJ Tucker,GC Wilson,22.5
207,EC Joyce,GC Wilson,53.964285714285715
208,GJ Delany,GC Wilson,0.0
209,CA Young,GC Wilson,14.666666666666666
210,PR Stirling,GC Wilson,55.13636363636363
211,AR Cusack,GC Wilson,26.6
212,AR McBrine,GC Wilson,33.125
213,J Mulder,GC Wilson,20.333333333333332
214,J Cameron-Dow,GC Wilson,0.0
215,NJ O'Brien,GC Wilson,40.5
216,JA McCollum,GC Wilson,19.25
217,JF Mooney,GC Wilson,30.8
218,SR Thompson,GC Wilson,28.8
219,Simi Singh,GC Wilson,33.857142857142854
220,GH Dockrell,SC Getkate,0.0
221,GH Dockrell,TJ Murtagh,18.22222222222222
222,GH Dockrell,C Campher,0.0
223,GH Dockrell,HT Tector,0.0
224,GH Dockrell,MC Sorensen,23.5
225,GH Dockrell,PKD Chase,17.916666666666668
226,GH Dockrell,A Balbirnie,43.375
227,GH Dockrell,BJ McCarthy,23.454545454545453
228,GH Dockrell,SW Poynter,28.1
229,GH Dockrell,LJ Tucker,16.5
230,GH Dockrell,EC Joyce,44.38095238095238
231,GH Dockrell,GJ Delany,0.0
232,GH Dockrell,CA Young,10.6
233,GH Dockrell,PR Stirling,55.666666666666664
234,GH Dockrell,AR Cusack,13.6
235,GH Dockrell,AR McBrine,17.4375
236,GH Dockrell,J Mulder,17.666666666666668
237,GH Dockrell,J Cameron-Dow,23.0
238,GH Dockrell,NJ O'Brien,39.5
239,GH Dockrell,JA McCollum,17.25
240,GH Dockrell,JF Mooney,15.777777777777779
241,GH Dockrell,SR Thompson,15.0
242,GH Dockrell,Simi Singh,26.0
243,SC Getkate,TJ Murtagh,8.333333333333334
244,SC Getkate,C Campher,0.0
245,SC Getkate,HT Tector,0.0
246,SC Getkate,MC Sorensen,0.0
247,SC Getkate,PKD Chase,0.0
248,A Balbirnie,SC Getkate,46.0
249,BJ McCarthy,SC Getkate,0.0
250,SC Getkate,SW Poynter,0.0
251,LJ Tucker,SC Getkate,36.666666666666664
252,SC Getkate,EC Joyce,0.0
253,SC Getkate,GJ Delany,0.0
254,CA Young,SC Getkate,0.0
255,SC Getkate,PR Stirling,54.666666666666664
256,SC Getkate,AR Cusack,0.0
257,SC Getkate,AR McBrine,9.0
258,SC Getkate,J Mulder,0.0
259,SC Getkate,J Cameron-Dow,0.0
260,NJ O'Brien,SC Getkate,0.0
261,JA McCollum,SC Getkate,57.0
262,SC Getkate,JF Mooney,0.0
263,SC Getkate,SR Thompson,0.0
264,SC Getkate,Simi Singh,0.0
265,C Campher,TJ Murtagh,0.0
266,HT Tector,TJ Murtagh,0.0
267,MC Sorensen,TJ Murtagh,6.0
268,PKD Chase,TJ Murtagh,5.588235294117647
269,A Balbirnie,TJ Murtagh,32.96969696969697
270,BJ McCarthy,TJ Murtagh,7.833333333333333
271,SW Poynter,TJ Murtagh,15.0625
272,LJ Tucker,TJ Murtagh,23.6
273,EC Joyce,TJ Murtagh,39.61904761904762
274,GJ Delany,TJ Murtagh,0.0
275,CA Young,TJ Murtagh,11.333333333333334
276,PR Stirling,TJ Murtagh,42.81395348837209
277,AR Cusack,TJ Murtagh,0.0
278,AR McBrine,TJ Murtagh,13.0
279,J Mulder,TJ Murtagh,6.0
280,J Cameron-Dow,TJ Murtagh,2.3333333333333335
281,NJ O'Brien,TJ Murtagh,26.6
282,JA McCollum,TJ Murtagh,23.571428571428573
283,JF Mooney,TJ Murtagh,4.666666666666667
284,SR Thompson,TJ Murtagh,12.5
285,Simi Singh,TJ Murtagh,15.0
286,C Campher,HT Tector,61.333333333333336
287,C Campher,MC Sorensen,0.0
288,C Campher,PKD Chase,0.0
289,A Balbirnie,C Campher,86.0
290,BJ McCarthy,C Campher,62.0
291,C Campher,SW Poynter,0.0
292,LJ Tucker,C Campher,49.333333333333336
293,C Campher,EC Joyce,0.0
294,C Campher,GJ Delany,53.666666666666664
295,CA Young,C Campher,46.666666666666664
296,PR Stirling,C Campher,94.33333333333333
297,C Campher,AR Cusack,0.0
298,C Campher,AR McBrine,63.666666666666664
299,C Campher,J Mulder,0.0
300,C Campher,J Cameron-Dow,0.0
301,NJ O'Brien,C Campher,0.0
302,JA McCollum,C Campher,0.0
303,C Campher,JF Mooney,0.0
304,SR Thompson,C Campher,0.0
305,Simi Singh,C Campher,76.0
306,HT Tector,MC Sorensen,0.0
307,PKD Chase,HT Tector,0.0
308,A Balbirnie,HT Tector,62.666666666666664
309,BJ McCarthy,HT Tector,3.0
310,HT Tector,SW Poynter,0.0
311,LJ Tucker,HT Tector,26.0
312,EC Joyce,HT Tector,0.0
313,GJ Delany,HT Tector,30.333333333333332
314,CA Young,HT Tector,23.333333333333332
315,PR Stirling,HT Tector,71.0
316,HT Tector,AR Cusack,0.0
317,AR McBrine,HT Tector,40.333333333333336
318,J Mulder,HT Tector,0.0
319,HT Tector,J Cameron-Dow,0.0
320,NJ O'Brien,HT Tector,0.0
321,JA McCollum,HT Tector,0.0
322,JF Mooney,HT Tector,0.0
323,SR Thompson,HT Tector,0.0
324,Simi Singh,HT Tector,26.5
325,PKD Chase,MC Sorensen,0.0
326,A Balbirnie,MC Sorensen,44.5
327,BJ McCarthy,MC Sorensen,6.0
328,SW Poynter,MC Sorensen,26.0
329,LJ Tucker,MC Sorensen,0.0
330,EC Joyce,MC Sorensen,40.333333333333336
331,GJ Delany,MC Sorensen,0.0
332,CA Young,MC Sorensen,0.0
333,PR Stirling,MC Sorensen,52.0
334,MC Sorensen,AR Cusack,0.0
335,AR McBrine,MC Sorensen,12.0
336,J Mulder,MC Sorensen,0.0
337,J Cameron-Dow,MC Sorensen,0.0
338,NJ O'Brien,MC Sorensen,57.5
339,JA McCollum,MC Sorensen,0.0
340,JF Mooney,MC Sorensen,26.5
341,SR Thompson,MC Sorensen,0.0
342,Simi Singh,MC Sorensen,0.0
343,A Balbirnie,PKD Chase,30.727272727272727
344,BJ McCarthy,PKD Chase,9.1
345,PKD Chase,SW Poynter,9.714285714285714
346,LJ Tucker,PKD Chase,0.0
347,EC Joyce,PKD Chase,49.27272727272727
348,GJ Delany,PKD Chase,0.0
349,CA Young,PKD Chase,7.5
350,PR Stirling,PKD Chase,37.22222222222222
351,PKD Chase,AR Cusack,0.0
352,AR McBrine,PKD Chase,5.888888888888889
353,J Mulder,PKD Chase,23.0
354,PKD Chase,J Cameron-Dow,0.0
355,NJ O'Brien,PKD Chase,24.083333333333332
356,JA McCollum,PKD Chase,0.0
357,JF Mooney,PKD Chase,0.0
358,SR Thompson,PKD Chase,13.0
359,Simi Singh,PKD Chase,19.4
360,BJ McCarthy,A Balbirnie,24.1875
361,A Balbirnie,SW Poynter,45.0
362,LJ Tucker,A Balbirnie,51.27272727272727
363,A Balbirnie,EC Joyce,56.523809523809526
364,A Balbirnie,GJ Delany,44.8
365,CA Young,A Balbirnie,34.888888888888886
366,A Balbirnie,PR Stirling,72.4375
367,A Balbirnie,AR Cusack,46.2
368,A Balbirnie,AR McBrine,42.54838709677419
369,A Balbirnie,J Mulder,14.5
370,A Balbirnie,J Cameron-Dow,73.33333333333333
371,NJ O'Brien,A Balbirnie,51.0
372,JA McCollum,A Balbirnie,61.333333333333336
373,A Balbirnie,JF Mooney,36.5
374,A Balbirnie,SR Thompson,33.888888888888886
375,A Balbirnie,Simi Singh,45.1875
376,BJ McCarthy,SW Poynter,18.363636363636363
377,LJ Tucker,BJ McCarthy,19.6
378,BJ McCarthy,EC Joyce,45.45454545454545
379,BJ McCarthy,GJ Delany,29.333333333333332
380,CA Young,BJ McCarthy,16.0
381,BJ McCarthy,PR Stirling,43.083333333333336
382,BJ McCarthy,AR Cusack,0.0
383,BJ McCarthy,AR McBrine,27.153846153846153
384,BJ McCarthy,J Mulder,0.0
385,BJ McCarthy,J Cameron-Dow,0.0
386,NJ O'Brien,BJ McCarthy,33.25
387,JA McCollum,BJ McCarthy,13.75
388,BJ McCarthy,JF Mooney,0.0
389,BJ McCarthy,SR Thompson,0.0
390,BJ McCarthy,Simi Singh,18.0
391,LJ Tucker,SW Poynter,0.0
392,EC Joyce,SW Poynter,69.71428571428571
393,GJ Delany,SW Poynter,0.0
394,CA Young,SW Poynter,8.0
395,PR Stirling,SW Poynter,50.5625
396,SW Poynter,AR Cusack,0.0
397,AR McBrine,SW Poynter,32.333333333333336
398,J Mulder,SW Poynter,0.0
399,SW Poynter,J Cameron-Dow,5.0
400,NJ O'Brien,SW Poynter,22.666666666666668
401,JA McCollum,SW Poynter,7.0
402,JF Mooney,SW Poynter,0.0
403,SR Thompson,SW Poynter,0.0
404,Simi Singh,SW Poynter,17.8
405,LJ Tucker,EC Joyce,0.0
406,LJ Tucker,GJ Delany,24.0
407,LJ Tucker,CA Young,14.75
408,LJ Tucker,PR Stirling,52.36363636363637
409,LJ Tucker,AR Cusack,0.0
410,LJ Tucker,AR McBrine,29.0
411,LJ Tucker,J Mulder,0.0
412,LJ Tucker,J Cameron-Dow,0.0
413,LJ Tucker,NJ O'Brien,0.0
414,JA McCollum,LJ Tucker,67.75
415,LJ Tucker,JF Mooney,0.0
416,LJ Tucker,SR Thompson,0.0
417,LJ Tucker,Simi Singh,28.6
418,EC Joyce,GJ Delany,0.0
419,CA Young,EC Joyce,29.2
420,PR Stirling,EC Joyce,70.17241379310344
421,EC Joyce,AR Cusack,48.2
422,AR McBrine,EC Joyce,59.21052631578947
423,EC Joyce,J Mulder,28.333333333333332
424,EC Joyce,J Cameron-Dow,0.0
425,NJ O'Brien,EC Joyce,57.35
426,JA McCollum,EC Joyce,0.0
427,JF Mooney,EC Joyce,47.7
428,SR Thompson,EC Joyce,36.3
429,Simi Singh,EC Joyce,17.0
430,CA Young,GJ Delany,15.666666666666666
431,PR Stirling,GJ Delany,60.2
432,GJ Delany,AR Cusack,0.0
433,AR McBrine,GJ Delany,28.6
434,GJ Delany,J Mulder,0.0
435,GJ Delany,J Cameron-Dow,0.0
