,player-1,player-2,player-3,avg
114,AR McBrine,SW Poynter,J Mulder,0.0
115,GJ Delany,SW Poynter,J Mulder,0.0
116,SW Poynter,J Mulder,SP Terry,0.0
117,SW Poynter,J Mulder,A Balbirnie,0.0
118,SW Poynter,J Mulder,HT Tector,0.0
119,SW Poynter,J Mulder,MC Sorensen,0.0
120,JF Mooney,SW Poynter,J Mulder,0.0
121,SW Poynter,J Mulder,KJ O'Brien,0.0
122,SW Poynter,J Mulder,J Anderson,0.0
123,SW Poynter,J Mulder,TJ Murtagh,0.0
124,SW Poynter,J Mulder,JB Little,0.0
125,BJ McCarthy,SW Poynter,J Mulder,0.0
126,CA Young,SW Poynter,J Mulder,0.0
127,SW Poynter,J Mulder,GH Dockrell,0.0
128,SW Poynter,J Mulder,SC Getkate,0.0
129,Simi Singh,SW Poynter,J Mulder,0.0
130,PR Stirling,SW Poynter,J Mulder,0.0
131,SW Poynter,J Mulder,WB Rankin,0.0
132,J Cameron-Dow,SW Poynter,J Mulder,0.0
133,SW Poynter,J Mulder,WTS Porterfield,0.0
134,SW Poynter,J Mulder,NJ O'Brien,0.0
135,PKD Chase,SW Poynter,J Mulder,0.0
136,MR Adair,SW Poynter,J Mulder,0.0
137,C Campher,SW Poynter,J Mulder,0.0
138,SR Thompson,SW Poynter,J Mulder,0.0
139,SW Poynter,J Mulder,AR Cusack,0.0
140,AR McBrine,SW Poynter,GJ Delany,0.0
141,AR McBrine,SW Poynter,SP Terry,15.666666666666666
142,AR McBrine,SW Poynter,A Balbirnie,77.0
143,AR McBrine,SW Poynter,HT Tector,0.0
144,AR McBrine,SW Poynter,MC Sorensen,0.0
145,AR McBrine,SW Poynter,JF Mooney,0.0
146,AR McBrine,SW Poynter,KJ O'Brien,60.0
147,AR McBrine,SW Poynter,J Anderson,112.0
148,AR McBrine,SW Poynter,TJ Murtagh,33.22222222222222
149,AR McBrine,SW Poynter,JB Little,0.0
150,AR McBrine,BJ McCarthy,SW Poynter,49.333333333333336
151,AR McBrine,CA Young,SW Poynter,0.0
152,AR McBrine,SW Poynter,GH Dockrell,24.5
153,AR McBrine,SW Poynter,SC Getkate,0.0
154,AR McBrine,SW Poynter,Simi Singh,17.333333333333332
155,AR McBrine,PR Stirling,SW Poynter,58.22222222222222
156,AR McBrine,SW Poynter,WB Rankin,58.6
157,AR McBrine,SW Poynter,J Cameron-Dow,8.333333333333334
158,AR McBrine,SW Poynter,WTS Porterfield,44.22222222222222
159,AR McBrine,SW Poynter,NJ O'Brien,0.0
160,AR McBrine,SW Poynter,PKD Chase,11.0
161,AR McBrine,MR Adair,SW Poynter,0.0
162,AR McBrine,SW Poynter,C Campher,0.0
163,AR McBrine,SW Poynter,SR Thompson,0.0
164,AR McBrine,SW Poynter,AR Cusack,0.0
165,GJ Delany,SW Poynter,SP Terry,0.0
166,GJ Delany,SW Poynter,A Balbirnie,0.0
167,GJ Delany,SW Poynter,HT Tector,0.0
168,GJ Delany,SW Poynter,MC Sorensen,0.0
169,GJ Delany,SW Poynter,JF Mooney,0.0
170,GJ Delany,SW Poynter,KJ O'Brien,0.0
171,GJ Delany,SW Poynter,J Anderson,0.0
172,GJ Delany,SW Poynter,TJ Murtagh,0.0
173,GJ Delany,SW Poynter,JB Little,0.0
174,GJ Delany,BJ McCarthy,SW Poynter,0.0
175,GJ Delany,CA Young,SW Poynter,0.0
176,GJ Delany,SW Poynter,GH Dockrell,0.0
177,GJ Delany,SW Poynter,SC Getkate,0.0
178,GJ Delany,SW Poynter,Simi Singh,0.0
179,GJ Delany,PR Stirling,SW Poynter,0.0
180,GJ Delany,SW Poynter,WB Rankin,0.0
181,GJ Delany,SW Poynter,J Cameron-Dow,0.0
182,GJ Delany,SW Poynter,WTS Porterfield,0.0
183,GJ Delany,SW Poynter,NJ O'Brien,0.0
184,GJ Delany,SW Poynter,PKD Chase,0.0
185,GJ Delany,MR Adair,SW Poynter,0.0
186,GJ Delany,SW Poynter,C Campher,0.0
187,GJ Delany,SW Poynter,SR Thompson,0.0
188,GJ Delany,SW Poynter,AR Cusack,0.0
189,SW Poynter,A Balbirnie,SP Terry,0.0
190,HT Tector,SW Poynter,SP Terry,0.0
191,SW Poynter,SP Terry,MC Sorensen,0.0
192,JF Mooney,SW Poynter,SP Terry,0.0
193,SW Poynter,SP Terry,KJ O'Brien,51.0
194,SW Poynter,SP Terry,J Anderson,39.5
195,SW Poynter,SP Terry,TJ Murtagh,22.0
196,SW Poynter,SP Terry,JB Little,0.0
197,BJ McCarthy,SW Poynter,SP Terry,20.0
198,CA Young,SW Poynter,SP Terry,24.0
199,SW Poynter,SP Terry,GH Dockrell,29.5
200,SW Poynter,SP Terry,SC Getkate,0.0
201,Simi Singh,SW Poynter,SP Terry,0.0
202,PR Stirling,SW Poynter,SP Terry,44.6
203,SW Poynter,SP Terry,WB Rankin,0.0
204,J Cameron-Dow,SW Poynter,SP Terry,0.0
205,SW Poynter,SP Terry,WTS Porterfield,26.0
206,SW Poynter,SP Terry,NJ O'Brien,0.0
207,PKD Chase,SW Poynter,SP Terry,16.2
208,MR Adair,SW Poynter,SP Terry,0.0
209,C Campher,SW Poynter,SP Terry,0.0
210,SW Poynter,SR Thompson,SP Terry,0.0
211,SW Poynter,SP Terry,AR Cusack,0.0
212,SW Poynter,A Balbirnie,HT Tector,0.0
213,SW Poynter,A Balbirnie,MC Sorensen,0.0
214,JF Mooney,SW Poynter,A Balbirnie,0.0
215,SW Poynter,A Balbirnie,KJ O'Brien,61.285714285714285
216,SW Poynter,A Balbirnie,J Anderson,0.0
217,SW Poynter,A Balbirnie,TJ Murtagh,45.42857142857143
218,SW Poynter,A Balbirnie,JB Little,0.0
219,BJ McCarthy,SW Poynter,A Balbirnie,24.666666666666668
220,CA Young,SW Poynter,A Balbirnie,0.0
221,SW Poynter,A Balbirnie,GH Dockrell,69.42857142857143
222,SW Poynter,A Balbirnie,SC Getkate,0.0
223,Simi Singh,SW Poynter,A Balbirnie,60.8
224,PR Stirling,SW Poynter,A Balbirnie,99.0
225,SW Poynter,A Balbirnie,WB Rankin,51.166666666666664
226,J Cameron-Dow,SW Poynter,A Balbirnie,76.0
227,SW Poynter,A Balbirnie,WTS Porterfield,63.285714285714285
228,SW Poynter,A Balbirnie,NJ O'Brien,35.666666666666664
229,PKD Chase,SW Poynter,A Balbirnie,22.0
230,MR Adair,SW Poynter,A Balbirnie,0.0
231,C Campher,SW Poynter,A Balbirnie,0.0
232,SR Thompson,SW Poynter,A Balbirnie,0.0
233,SW Poynter,A Balbirnie,AR Cusack,0.0
234,SW Poynter,HT Tector,MC Sorensen,0.0
235,JF Mooney,SW Poynter,HT Tector,0.0
236,SW Poynter,HT Tector,KJ O'Brien,0.0
237,SW Poynter,HT Tector,J Anderson,0.0
238,SW Poynter,HT Tector,TJ Murtagh,0.0
239,SW Poynter,HT Tector,JB Little,0.0
240,BJ McCarthy,SW Poynter,HT Tector,0.0
241,CA Young,SW Poynter,HT Tector,0.0
242,SW Poynter,HT Tector,GH Dockrell,0.0
243,SW Poynter,HT Tector,SC Getkate,0.0
244,Simi Singh,SW Poynter,HT Tector,0.0
245,PR Stirling,SW Poynter,HT Tector,0.0
246,SW Poynter,HT Tector,WB Rankin,0.0
247,J Cameron-Dow,SW Poynter,HT Tector,0.0
248,SW Poynter,HT Tector,WTS Porterfield,0.0
249,SW Poynter,HT Tector,NJ O'Brien,0.0
250,PKD Chase,SW Poynter,HT Tector,0.0
251,MR Adair,SW Poynter,HT Tector,0.0
252,C Campher,SW Poynter,HT Tector,0.0
253,SW Poynter,SR Thompson,HT Tector,0.0
254,SW Poynter,HT Tector,AR Cusack,0.0
255,JF Mooney,SW Poynter,MC Sorensen,0.0
256,SW Poynter,MC Sorensen,KJ O'Brien,90.0
257,SW Poynter,MC Sorensen,J Anderson,33.0
258,SW Poynter,MC Sorensen,TJ Murtagh,26.0
259,SW Poynter,MC Sorensen,JB Little,0.0
260,BJ McCarthy,SW Poynter,MC Sorensen,26.0
261,CA Young,SW Poynter,MC Sorensen,0.0
262,SW Poynter,MC Sorensen,GH Dockrell,0.0
263,SW Poynter,MC Sorensen,SC Getkate,0.0
264,Simi Singh,SW Poynter,MC Sorensen,0.0
265,PR Stirling,SW Poynter,MC Sorensen,53.0
266,SW Poynter,MC Sorensen,WB Rankin,26.0
267,J Cameron-Dow,SW Poynter,MC Sorensen,0.0
268,SW Poynter,MC Sorensen,WTS Porterfield,99.0
269,SW Poynter,MC Sorensen,NJ O'Brien,0.0
270,PKD Chase,SW Poynter,MC Sorensen,0.0
271,MR Adair,SW Poynter,MC Sorensen,0.0
272,C Campher,SW Poynter,MC Sorensen,0.0
273,SW Poynter,SR Thompson,MC Sorensen,0.0
274,SW Poynter,MC Sorensen,AR Cusack,0.0
275,JF Mooney,SW Poynter,KJ O'Brien,0.0
276,JF Mooney,SW Poynter,J Anderson,0.0
277,JF Mooney,SW Poynter,TJ Murtagh,0.0
278,JF Mooney,SW Poynter,JB Little,0.0
279,JF Mooney,BJ McCarthy,SW Poynter,0.0
280,JF Mooney,CA Young,SW Poynter,0.0
281,JF Mooney,SW Poynter,GH Dockrell,0.0
282,JF Mooney,SW Poynter,SC Getkate,0.0
283,JF Mooney,SW Poynter,Simi Singh,0.0
284,JF Mooney,PR Stirling,SW Poynter,0.0
285,JF Mooney,SW Poynter,WB Rankin,0.0
286,JF Mooney,SW Poynter,J Cameron-Dow,0.0
287,JF Mooney,SW Poynter,WTS Porterfield,0.0
288,JF Mooney,SW Poynter,NJ O'Brien,0.0
