,player-1,player-2,player-3,combined_avg,sum_of_individual
206,J Mulder,PKD Chase,NJ O'Brien,33.0,32.26
207,GH Dockrell,J Mulder,NJ O'Brien,46.0,42.82
208,PR Stirling,NJ O'Brien,JF Mooney,74.77777777777777,72.73
209,CA Young,NJ O'Brien,JF Mooney,36.333333333333336,36.32
210,AR McBrine,NJ O'Brien,JF Mooney,49.4,44.709999999999994
211,GC Wilson,NJ O'Brien,JF Mooney,62.77777777777778,50.290000000000006
212,MC Sorensen,NJ O'Brien,JF Mooney,73.0,42.849999999999994
213,KJ O'Brien,NJ O'Brien,JF Mooney,62.625,55.290000000000006
214,AR Cusack,NJ O'Brien,JF Mooney,45.4,42.32000000000001
215,GH Dockrell,NJ O'Brien,JF Mooney,52.875,46.019999999999996
216,WTS Porterfield,NJ O'Brien,JF Mooney,74.88888888888889,58.08
217,SR Thompson,NJ O'Brien,JF Mooney,65.0,42.82000000000001
218,SW Poynter,PR Stirling,NJ O'Brien,85.33333333333333,77.15
219,PR Stirling,MC Sorensen,NJ O'Brien,108.0,73.86
220,PR Stirling,BJ McCarthy,NJ O'Brien,75.875,70.78
221,GH Dockrell,PR Stirling,NJ O'Brien,81.0909090909091,77.03
222,PR Stirling,WTS Porterfield,NJ O'Brien,91.96428571428571,89.09
223,TJ Murtagh,PR Stirling,NJ O'Brien,70.1,67.50999999999999
224,PR Stirling,SR Thompson,NJ O'Brien,86.125,73.83000000000001
225,AR Cusack,NJ O'Brien,CA Young,45.0,36.92
226,TJ Murtagh,NJ O'Brien,CA Young,33.5,31.1
227,AR McBrine,MC Sorensen,NJ O'Brien,58.5,45.84
228,AR McBrine,SR Thompson,NJ O'Brien,50.75,45.81
229,GC Wilson,NJ O'Brien,MC Sorensen,58.0,51.42
230,AR Cusack,GC Wilson,NJ O'Brien,55.4,50.89
231,GH Dockrell,GC Wilson,NJ O'Brien,54.63636363636363,54.59
232,GC Wilson,NJ O'Brien,WTS Porterfield,69.21428571428571,66.65
233,GC Wilson,Simi Singh,NJ O'Brien,59.0,55.47
234,MC Sorensen,NJ O'Brien,KJ O'Brien,81.5,56.42
235,GH Dockrell,MC Sorensen,NJ O'Brien,70.0,47.15
236,MC Sorensen,NJ O'Brien,WTS Porterfield,75.0,59.209999999999994
237,AR Cusack,WTS Porterfield,NJ O'Brien,81.2,58.68
238,AR Cusack,SR Thompson,NJ O'Brien,56.5,43.42
239,BJ McCarthy,PKD Chase,NJ O'Brien,47.2,33.51
240,GH Dockrell,PKD Chase,NJ O'Brien,46.333333333333336,39.76
241,PKD Chase,NJ O'Brien,WTS Porterfield,59.0,51.82
242,PKD Chase,Simi Singh,NJ O'Brien,46.6,40.64
