Result,p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
won,UT Khawaja,14,AJ Finch,47,SPD Smith,46,GJ Bailey,22,MR Marsh,32,GJ Maxwell,4,MS Wade,57,MA Starc,17,NM Coulter-Nile,15,A Zampa,5,JR Hazlewood,0
won,DA Warner,8,AJ Finch,56,SPD Smith,58,MS Wade,26,GJ Bailey,39,MC Henriques,6,TM Head,10,JP Faulkner,5,MA Starc,5,A Zampa,0,JR Hazlewood,0
lost,DA Warner,1,AJ Finch,4,SPD Smith,30,GJ Bailey,27,MS Wade,76,MC Henriques,4,TM Head,31,JP Faulkner,13,MA Starc,0,A Zampa,5,NM Lyon,4
won,DA Warner,10,AJ Finch,30,SE Marsh,1,GJ Bailey,70,TM Head,36,MS Wade,42,JP Faulkner,4,JW Hastings,5,MA Starc,12,A Zampa,5,JR Hazlewood,0
won,DA Warner,19,AJ Finch,55,UT Khawaja,0,GJ Bailey,90,TM Head,40,MS Wade,8,JP Faulkner,0,JW Hastings,0,MA Starc,0,A Zampa,0,SM Boland,0
won,DA Warner,106,MS Wade,3,UT Khawaja,6,GJ Bailey,44,TM Head,13,JP Faulkner,8,JW Hastings,8,AJ Finch,0,MA Starc,0,A Zampa,0,SM Boland,0
won,UT Khawaja,82,DA Warner,48,SPD Smith,59,MR Marsh,0,GJ Bailey,0,TM Head,0,MS Wade,0,JW Hastings,0,DJ Worrall,0,A Zampa,0,SM Boland,0
lost,DA Warner,40,AJ Finch,33,SPD Smith,8,GJ Bailey,74,MR Marsh,31,TM Head,18,MS Wade,5,JW Hastings,51,A Zampa,12,DJ Worrall,6,SM Boland,3
lost,AJ Finch,1,DA Warner,50,SPD Smith,14,GJ Bailey,9,MR Marsh,19,TM Head,51,MS Wade,33,JW Hastings,23,JM Mennie,1,A Zampa,8,CP Tremain,0
lost,DA Warner,117,AJ Finch,53,SPD Smith,108,GJ Bailey,28,MR Marsh,2,TM Head,35,MS Wade,17,JW Hastings,0,A Zampa,0,CP Tremain,0,DJ Worrall,0
lost,AJ Finch,2,DA Warner,6,SPD Smith,21,GJ Bailey,1,MR Marsh,50,TM Head,0,MS Wade,52,JW Hastings,4,A Zampa,5,CP Tremain,23,SM Boland,0
lost,DA Warner,173,AJ Finch,19,SPD Smith,0,GJ Bailey,2,MR Marsh,35,TM Head,35,MS Wade,7,JM Mennie,0,CP Tremain,0,A Zampa,6,SM Boland,4
won,DA Warner,24,AJ Finch,0,SPD Smith,164,GJ Bailey,17,MR Marsh,1,TM Head,52,MS Wade,38,PJ Cummins,0,MA Starc,11,A Zampa,2,JR Hazlewood,0
won,DA Warner,119,AJ Finch,19,SPD Smith,72,TM Head,57,MR Marsh,76,MS Wade,11,GJ Bailey,0,PJ Cummins,0,MA Starc,0,JP Faulkner,0,JR Hazlewood,0
won,DA Warner,156,AJ Finch,3,SPD Smith,0,GJ Bailey,23,MR Marsh,0,TM Head,37,MS Wade,14,JP Faulkner,13,MA Starc,0,PJ Cummins,0,JR Hazlewood,0
won,DA Warner,7,TM Head,39,SPD Smith,0,CA Lynn,16,MR Marsh,4,GJ Maxwell,60,MS Wade,100,JP Faulkner,5,PJ Cummins,15,MA Starc,10,B Stanlake,1
lost,UT Khawaja,17,DA Warner,16,SPD Smith,60,MR Marsh,0,TM Head,29,GJ Maxwell,23,MS Wade,35,JP Faulkner,19,MA Starc,3,PJ Cummins,0,JR Hazlewood,0
won,DA Warner,35,UT Khawaja,9,SPD Smith,108,PSP Handscomb,82,TM Head,23,GJ Maxwell,0,MS Wade,0,JP Faulkner,0,PJ Cummins,0,JR Hazlewood,0,B Stanlake,0
won,UT Khawaja,30,DA Warner,130,SPD Smith,49,TM Head,51,GJ Maxwell,78,MS Wade,5,MA Starc,0,PSP Handscomb,0,PJ Cummins,0,A Zampa,0,JR Hazlewood,0
won,DA Warner,179,TM Head,128,SPD Smith,4,GJ Maxwell,13,MS Wade,8,PSP Handscomb,1,JP Faulkner,18,MA Starc,6,PJ Cummins,1,A Zampa,0,JR Hazlewood,0
lost,AJ Finch,4,TM Head,5,SE Marsh,16,PSP Handscomb,7,GJ Maxwell,20,SD Heazlett,4,MP Stoinis,146,JP Faulkner,25,PJ Cummins,36,MA Starc,3,JR Hazlewood,0
lost,AJ Finch,56,SE Marsh,22,PSP Handscomb,0,TM Head,53,GJ Maxwell,0,MP Stoinis,42,JP Faulkner,0,PJ Cummins,27,MA Starc,29,A Zampa,1,JR Hazlewood,4
lost,DA Warner,21,AJ Finch,68,SPD Smith,56,MC Henriques,17,TM Head,71,GJ Maxwell,20,MS Wade,2,MA Starc,0,PJ Cummins,4,A Zampa,0,JR Hazlewood,1
lost,DA Warner,25,HWR Cartwright,1,SPD Smith,1,TM Head,5,GJ Maxwell,39,MP Stoinis,3,MS Wade,9,JP Faulkner,32,PJ Cummins,9,NM Coulter-Nile,2,A Zampa,5
lost,HWR Cartwright,1,DA Warner,1,SPD Smith,59,TM Head,39,GJ Maxwell,14,MP Stoinis,62,MS Wade,2,AC Agar,0,PJ Cummins,0,NM Coulter-Nile,8,KW Richardson,0
lost,DA Warner,42,AJ Finch,124,SPD Smith,63,GJ Maxwell,5,TM Head,4,MP Stoinis,27,PSP Handscomb,3,AC Agar,9,PJ Cummins,0,NM Coulter-Nile,0,KW Richardson,0
won,AJ Finch,94,DA Warner,124,TM Head,29,SPD Smith,3,PSP Handscomb,43,MP Stoinis,15,MS Wade,3,PJ Cummins,0,NM Coulter-Nile,0,A Zampa,0,KW Richardson,0
lost,DA Warner,53,AJ Finch,32,SPD Smith,16,PSP Handscomb,13,TM Head,42,MP Stoinis,46,MS Wade,20,JP Faulkner,12,PJ Cummins,2,NM Coulter-Nile,0,A Zampa,0
lost,AJ Finch,107,DA Warner,2,SPD Smith,23,TM Head,5,MR Marsh,50,MP Stoinis,60,TD Paine,27,PJ Cummins,12,MA Starc,0,AJ Tye,4,A Zampa,0
lost,DA Warner,35,AJ Finch,106,SPD Smith,18,TM Head,7,MR Marsh,36,MP Stoinis,4,CL White,15,AT Carey,27,MA Starc,3,AJ Tye,8,JA Richardson,0
lost,AJ Finch,62,DA Warner,8,CL White,17,SPD Smith,45,MR Marsh,55,MP Stoinis,56,TD Paine,31,PJ Cummins,1,MA Starc,0,A Zampa,0,JR Hazlewood,0
won,DA Warner,13,TM Head,96,CL White,3,SPD Smith,4,MR Marsh,32,MP Stoinis,14,TD Paine,25,PJ Cummins,3,AJ Tye,3,A Zampa,0,JR Hazlewood,0
lost,DA Warner,15,TM Head,22,MP Stoinis,87,SPD Smith,12,MR Marsh,13,GJ Maxwell,34,TD Paine,34,MA Starc,0,AJ Tye,8,A Zampa,11,JR Hazlewood,0
lost,AJ Finch,19,TM Head,5,SE Marsh,24,MP Stoinis,22,TD Paine,12,GJ Maxwell,62,AC Agar,40,MG Neser,6,AJ Tye,19,KW Richardson,1,B Stanlake,0
lost,TM Head,19,DJM Short,21,SE Marsh,131,MP Stoinis,9,AJ Finch,0,GJ Maxwell,31,AC Agar,46,TD Paine,15,AJ Tye,10,JA Richardson,2,KW Richardson,0
lost,DJM Short,15,TM Head,51,SE Marsh,24,MP Stoinis,44,AJ Finch,20,GJ Maxwell,19,TD Paine,5,AC Agar,25,JA Richardson,14,AJ Tye,5,B Stanlake,1
lost,AJ Finch,100,TM Head,63,SE Marsh,101,MP Stoinis,1,AC Agar,19,AT Carey,6,TD Paine,3,MG Neser,2,JA Richardson,5,NM Lyon,3,B Stanlake,0
lost,AJ Finch,22,TM Head,56,MP Stoinis,0,SE Marsh,8,AT Carey,44,TD Paine,1,DJM Short,47,AC Agar,0,KW Richardson,14,NM Lyon,1,B Stanlake,2
lost,TM Head,1,AJ Finch,5,DJM Short,0,CA Lynn,15,AT Carey,33,GJ Maxwell,11,MP Stoinis,14,PJ Cummins,12,NM Coulter-Nile,34,MA Starc,12,JR Hazlewood,6
won,AJ Finch,41,TM Head,8,SE Marsh,22,CA Lynn,44,AT Carey,47,GJ Maxwell,15,MP Stoinis,2,PJ Cummins,3,MA Starc,6,A Zampa,22,JR Hazlewood,10
lost,CA Lynn,0,AJ Finch,11,SE Marsh,106,TM Head,6,MP Stoinis,63,AT Carey,42,GJ Maxwell,35,PJ Cummins,7,MA Starc,0,A Zampa,0,JR Hazlewood,0
won,AT Carey,24,AJ Finch,6,UT Khawaja,59,SE Marsh,54,PSP Handscomb,73,MP Stoinis,47,GJ Maxwell,11,JA Richardson,0,NM Lyon,0,PM Siddle,0,JP Behrendorff,0
lost,AT Carey,18,AJ Finch,6,UT Khawaja,21,SE Marsh,131,PSP Handscomb,20,MP Stoinis,29,GJ Maxwell,48,JA Richardson,2,NM Lyon,12,PM Siddle,0,JP Behrendorff,1
lost,AT Carey,5,AJ Finch,14,UT Khawaja,34,SE Marsh,39,PSP Handscomb,58,MP Stoinis,10,GJ Maxwell,26,JA Richardson,16,A Zampa,8,PM Siddle,10,B Stanlake,0
lost,UT Khawaja,50,AJ Finch,0,MP Stoinis,37,PSP Handscomb,19,GJ Maxwell,40,AJ Turner,21,AT Carey,36,NM Coulter-Nile,28,PJ Cummins,0,JP Behrendorff,0,A Zampa,0
lost,AJ Finch,37,UT Khawaja,38,SE Marsh,16,PSP Handscomb,48,GJ Maxwell,4,MP Stoinis,52,AT Carey,22,NM Coulter-Nile,4,PJ Cummins,0,NM Lyon,6,A Zampa,2
won,AJ Finch,93,UT Khawaja,104,GJ Maxwell,47,SE Marsh,7,MP Stoinis,31,PSP Handscomb,0,AT Carey,21,JA Richardson,0,PJ Cummins,0,NM Lyon,0,A Zampa,0
won,AJ Finch,0,UT Khawaja,91,SE Marsh,6,PSP Handscomb,117,SE Marsh,23,PSP Handscomb,84,AJ Turner,21,AT Carey,0,JA Richardson,0,JP Behrendorff,0,A Zampa,0
won,UT Khawaja,100,AJ Finch,27,PSP Handscomb,52,GJ Maxwell,1,MP Stoinis,20,AJ Turner,20,AT Carey,3,JA Richardson,29,PJ Cummins,15,NM Lyon,1,A Zampa,0
won,UT Khawaja,24,AJ Finch,116,SE Marsh,91,PSP Handscomb,30,MP Stoinis,0,GJ Maxwell,0,AT Carey,0,NM Coulter-Nile,0,JA Richardson,0,NM Lyon,0,A Zampa,0
won,UT Khawaja,88,AJ Finch,153,GJ Maxwell,19,SE Marsh,11,MP Stoinis,0,PSP Handscomb,0,AT Carey,0,NM Coulter-Nile,0,JA Richardson,0,NM Lyon,0,A Zampa,0
won,UT Khawaja,0,AJ Finch,90,SE Marsh,14,PSP Handscomb,47,MP Stoinis,10,GJ Maxwell,71,AT Carey,25,PJ Cummins,2,NM Lyon,0,A Zampa,0,JP Behrendorff,0
won,AJ Finch,39,UT Khawaja,62,SE Marsh,5,PSP Handscomb,7,MP Stoinis,2,GJ Maxwell,98,AT Carey,55,NM Coulter-Nile,2,KW Richardson,0,NM Lyon,0,A Zampa,0
won,UT Khawaja,98,AJ Finch,53,SE Marsh,61,GJ Maxwell,70,MP Stoinis,4,PSP Handscomb,8,AT Carey,0,JP Behrendorff,6,KW Richardson,5,NM Lyon,0,A Zampa,0
won,AJ Finch,66,DA Warner,89,UT Khawaja,15,SPD Smith,18,GJ Maxwell,4,MP Stoinis,0,AT Carey,0,NM Coulter-Nile,0,PJ Cummins,0,MA Starc,0,A Zampa,0
won,DA Warner,3,AJ Finch,6,UT Khawaja,13,SPD Smith,73,GJ Maxwell,0,MP Stoinis,19,AT Carey,45,NM Coulter-Nile,92,PJ Cummins,2,MA Starc,8,A Zampa,0
lost,DA Warner,56,AJ Finch,36,SPD Smith,69,UT Khawaja,42,GJ Maxwell,28,MP Stoinis,0,AT Carey,55,NM Coulter-Nile,4,PJ Cummins,8,MA Starc,3,A Zampa,1
won,AJ Finch,82,DA Warner,107,SPD Smith,10,GJ Maxwell,20,SE Marsh,23,UT Khawaja,18,AT Carey,20,NM Coulter-Nile,2,PJ Cummins,2,MA Starc,3,KW Richardson,1
won,AJ Finch,26,DA Warner,153,UT Khawaja,10,SPD Smith,73,GJ Maxwell,46,SE Marsh,3,AT Carey,4,PJ Cummins,0,MA Starc,5,JP Behrendorff,0,KW Richardson,0
won,DA Warner,166,AJ Finch,53,UT Khawaja,89,GJ Maxwell,32,MP Stoinis,17,SPD Smith,1,AT Carey,11,NM Coulter-Nile,0,PJ Cummins,0,MA Starc,0,A Zampa,0
won,AJ Finch,100,DA Warner,53,UT Khawaja,23,SPD Smith,38,GJ Maxwell,12,MP Stoinis,8,AT Carey,38,PJ Cummins,1,MA Starc,4,NM Lyon,0,JP Behrendorff,0
won,DA Warner,16,AJ Finch,8,UT Khawaja,88,SPD Smith,5,MP Stoinis,21,GJ Maxwell,1,AT Carey,71,PJ Cummins,23,MA Starc,0,JP Behrendorff,0,NM Lyon,0
lost,DA Warner,122,AJ Finch,3,UT Khawaja,18,SPD Smith,7,MP Stoinis,22,GJ Maxwell,12,AT Carey,85,PJ Cummins,9,MA Starc,16,JP Behrendorff,11,NM Lyon,3
lost,DA Warner,9,AJ Finch,0,SPD Smith,85,PSP Handscomb,4,AT Carey,46,MP Stoinis,0,GJ Maxwell,22,PJ Cummins,6,MA Starc,29,JP Behrendorff,1,NM Lyon,5
won,DA Warner,128,AJ Finch,110,M Labuschagne,0,SPD Smith,0,AT Carey,0,AJ Turner,0,AC Agar,0,PJ Cummins,0,MA Starc,0,KW Richardson,0,A Zampa,0
lost,DA Warner,15,AJ Finch,33,SPD Smith,98,M Labuschagne,46,AT Carey,18,AJ Turner,13,AC Agar,25,PJ Cummins,0,MA Starc,6,KW Richardson,24,A Zampa,6
lost,DA Warner,3,AJ Finch,19,SPD Smith,131,M Labuschagne,54,MA Starc,0,AT Carey,35,AJ Turner,4,AC Agar,11,PJ Cummins,0,A Zampa,1,JR Hazlewood,1
lost,DA Warner,25,AJ Finch,10,SPD Smith,76,M Labuschagne,41,MR Marsh,16,AT Carey,5,DJM Short,18,MA Starc,5,PJ Cummins,6,A Zampa,7,JR Hazlewood,1
lost,DA Warner,35,AJ Finch,69,SPD Smith,13,M Labuschagne,0,DJM Short,69,MR Marsh,36,AT Carey,21,AC Agar,9,PJ Cummins,6,MA Starc,3,A Zampa,3
lost,DA Warner,4,AJ Finch,22,SPD Smith,20,M Labuschagne,108,DJM Short,36,MR Marsh,32,AT Carey,0,JA Richardson,24,KW Richardson,0,A Zampa,0,JR Hazlewood,0
won,DA Warner,67,AJ Finch,60,SPD Smith,14,DJM Short,5,M Labuschagne,56,MR Marsh,27,AT Carey,1,PJ Cummins,14,MA Starc,9,A Zampa,0,JR Hazlewood,0
won,DA Warner,6,AJ Finch,16,MP Stoinis,43,M Labuschagne,21,MR Marsh,73,AT Carey,10,GJ Maxwell,77,PJ Cummins,9,MA Starc,19,A Zampa,5,JR Hazlewood,0
lost,DA Warner,6,AJ Finch,73,MP Stoinis,9,M Labuschagne,48,MR Marsh,1,AT Carey,36,GJ Maxwell,1,PJ Cummins,11,MA Starc,0,A Zampa,2,JR Hazlewood,7
won,DA Warner,24,AJ Finch,12,MP Stoinis,4,M Labuschagne,20,MR Marsh,2,AT Carey,106,GJ Maxwell,108,PJ Cummins,4,MA Starc,11,A Zampa,0,JR Hazlewood,0
