player-1,player-2,player-3,avg
TS Chisoro,T Panyangara,B Mavuta,0
TS Chisoro,B Mavuta,CK Tshuma,0
TS Chisoro,B Mavuta,R Murray,0
TS Chisoro,SC Williams,B Mavuta,0
TS Chisoro,RW Chakabva,B Mavuta,0
TS Chisoro,B Mavuta,P Utseya,0
TS Chisoro,B Mavuta,Liton Das,0
TS Chisoro,B Mavuta,ehidy Hasan Miraz,0
TS Chisoro,B Mavuta,TS Kamunhukamwe,0
TS Chisoro,B Mavuta,J Nyumbu,0
TS Chisoro,R Mutumbami,B Mavuta,0
TS Chisoro,B Mavuta,T Muzarabani,0
TS Chisoro,Mushfiqur Rahim,B Mavuta,0
TS Chisoro,C Zhuwao,B Mavuta,0
TS Chisoro,B Mavuta,CB Mpofu,0
TS Chisoro,KM Jarvis,B Mavuta,0
TS Chisoro,B Mavuta,T Mupariwa,0
Mahmudullah,TS Chisoro,B Mavuta,0
H Masakadza,TS Chisoro,B Mavuta,0
TS Chisoro,B Mavuta,SF Mire,0
LN Roche,TS Chisoro,B Mavuta,0
TS Chisoro,B Mavuta,RP Burl,0
TS Chisoro,B Mavuta,E Chigumbura,0
TS Chisoro,B Mavuta,PS Masvaure,0
TS Chisoro,B Mavuta,PJ Moor,0
TS Chisoro,B Mavuta,Mohammad Mithun,0
TS Chisoro,B Mavuta,LM Jongwe,0
TS Chisoro,CT Mutombodzi,B Mavuta,0
TS Chisoro,Mohammad Saifuddin,B Mavuta,0
TS Chisoro,Taijul Islam,B Mavuta,0
Mustafizur Rahman,TS Chisoro,B Mavuta,0
TS Chisoro,AG Cremer,B Mavuta,0
TL Chatara,TS Chisoro,B Mavuta,0
TS Chisoro,B Mavuta,BV Vitori,0
TS Chisoro,B Mavuta,TK Musakanda,0
TS Chisoro,WP Masakadza,B Mavuta,0
TS Chisoro,B Mavuta,CR Ervine,0
TS Chisoro,Najmul Hossain Shanto,B Mavuta,0
TS Chisoro,B Mavuta,W Madhevere,0
TS Chisoro,B Mavuta,B Muzarabani,0
TS Chisoro,T Maruma,Tamim Iqbal,0
TS Chisoro,S Matsikenyeri,T Maruma,0
TS Chisoro,TP Kamungozi,T Maruma,0
TS Chisoro,T Maruma,BB Chari,0
TS Chisoro,CJ Chibhabha,T Maruma,0
R Ngarava,TS Chisoro,T Maruma,0
TS Chisoro,T Maruma,N Madziva,0
TS Chisoro,T Maruma,BRM Taylor,0
V Sibanda,TS Chisoro,T Maruma,0
TS Chisoro,T Maruma,CK Coventry,0
Mashrafe Mortaza,TS Chisoro,T Maruma,0
TS Chisoro,Sikandar Raza,T Maruma,0
TS Chisoro,CT Mumba,T Maruma,0
TS Chisoro,T Panyangara,T Maruma,0
TS Chisoro,T Maruma,CK Tshuma,0
TS Chisoro,T Maruma,R Murray,0
TS Chisoro,SC Williams,T Maruma,0
TS Chisoro,RW Chakabva,T Maruma,0
TS Chisoro,T Maruma,P Utseya,0
TS Chisoro,T Maruma,Liton Das,0
TS Chisoro,T Maruma,ehidy Hasan Miraz,0
TS Chisoro,TS Kamunhukamwe,T Maruma,0
TS Chisoro,J Nyumbu,T Maruma,0
TS Chisoro,R Mutumbami,T Maruma,0
TS Chisoro,T Maruma,T Muzarabani,0
TS Chisoro,Mushfiqur Rahim,T Maruma,0
TS Chisoro,C Zhuwao,T Maruma,0
TS Chisoro,CB Mpofu,T Maruma,0
TS Chisoro,KM Jarvis,T Maruma,0
TS Chisoro,T Maruma,T Mupariwa,0
Mahmudullah,TS Chisoro,T Maruma,0
H Masakadza,TS Chisoro,T Maruma,0
TS Chisoro,T Maruma,SF Mire,0
LN Roche,TS Chisoro,T Maruma,0
TS Chisoro,RP Burl,T Maruma,0
E Chigumbura,TS Chisoro,T Maruma,0
TS Chisoro,T Maruma,PS Masvaure,0
TS Chisoro,T Maruma,PJ Moor,0
TS Chisoro,T Maruma,Mohammad Mithun,0
TS Chisoro,T Maruma,LM Jongwe,0
TS Chisoro,CT Mutombodzi,T Maruma,0
TS Chisoro,Mohammad Saifuddin,T Maruma,0
TS Chisoro,Taijul Islam,T Maruma,0
Mustafizur Rahman,TS Chisoro,T Maruma,0
TS Chisoro,AG Cremer,T Maruma,0
TS Chisoro,TL Chatara,T Maruma,0
TS Chisoro,T Maruma,BV Vitori,0
TS Chisoro,TK Musakanda,T Maruma,0
TS Chisoro,WP Masakadza,T Maruma,0
TS Chisoro,T Maruma,CR Ervine,0
TS Chisoro,Najmul Hossain Shanto,T Maruma,0
TS Chisoro,W Madhevere,T Maruma,0
TS Chisoro,T Maruma,B Muzarabani,0
TS Chisoro,S Matsikenyeri,Tamim Iqbal,0
TS Chisoro,TP Kamungozi,Tamim Iqbal,0
TS Chisoro,BB Chari,Tamim Iqbal,0
TS Chisoro,CJ Chibhabha,Tamim Iqbal,0
R Ngarava,TS Chisoro,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,N Madziva,0
TS Chisoro,BRM Taylor,Tamim Iqbal,0
V Sibanda,TS Chisoro,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,CK Coventry,0
Mashrafe Mortaza,TS Chisoro,Tamim Iqbal,0
TS Chisoro,Sikandar Raza,Tamim Iqbal,0
TS Chisoro,CT Mumba,Tamim Iqbal,0
TS Chisoro,T Panyangara,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,CK Tshuma,0
TS Chisoro,R Murray,Tamim Iqbal,0
TS Chisoro,SC Williams,Tamim Iqbal,0
TS Chisoro,RW Chakabva,Tamim Iqbal,0
TS Chisoro,P Utseya,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,Liton Das,0
TS Chisoro,Tamim Iqbal,ehidy Hasan Miraz,0
TS Chisoro,TS Kamunhukamwe,Tamim Iqbal,0
TS Chisoro,J Nyumbu,Tamim Iqbal,0
TS Chisoro,R Mutumbami,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,T Muzarabani,0
TS Chisoro,Mushfiqur Rahim,Tamim Iqbal,0
TS Chisoro,C Zhuwao,Tamim Iqbal,0
TS Chisoro,CB Mpofu,Tamim Iqbal,0
TS Chisoro,KM Jarvis,Tamim Iqbal,0
TS Chisoro,T Mupariwa,Tamim Iqbal,0
Mahmudullah,TS Chisoro,Tamim Iqbal,0
H Masakadza,TS Chisoro,Tamim Iqbal,0
TS Chisoro,SF Mire,Tamim Iqbal,0
LN Roche,TS Chisoro,Tamim Iqbal,0
TS Chisoro,RP Burl,Tamim Iqbal,0
TS Chisoro,E Chigumbura,Tamim Iqbal,0
PS Masvaure,TS Chisoro,Tamim Iqbal,0
PJ Moor,TS Chisoro,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,Mohammad Mithun,0
TS Chisoro,Tamim Iqbal,LM Jongwe,0
TS Chisoro,CT Mutombodzi,Tamim Iqbal,0
TS Chisoro,Mohammad Saifuddin,Tamim Iqbal,0
TS Chisoro,Taijul Islam,Tamim Iqbal,0
Mustafizur Rahman,TS Chisoro,Tamim Iqbal,0
TS Chisoro,AG Cremer,Tamim Iqbal,0
TS Chisoro,TL Chatara,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,BV Vitori,0
TS Chisoro,TK Musakanda,Tamim Iqbal,0
TS Chisoro,WP Masakadza,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,CR Ervine,0
TS Chisoro,Najmul Hossain Shanto,Tamim Iqbal,0
TS Chisoro,W Madhevere,Tamim Iqbal,0
TS Chisoro,B Muzarabani,Tamim Iqbal,0
TS Chisoro,TP Kamungozi,S Matsikenyeri,0
TS Chisoro,S Matsikenyeri,BB Chari,0
TS Chisoro,CJ Chibhabha,S Matsikenyeri,0
R Ngarava,TS Chisoro,S Matsikenyeri,0
TS Chisoro,S Matsikenyeri,N Madziva,0
TS Chisoro,S Matsikenyeri,BRM Taylor,0
V Sibanda,TS Chisoro,S Matsikenyeri,0
TS Chisoro,S Matsikenyeri,CK Coventry,0
Mashrafe Mortaza,TS Chisoro,S Matsikenyeri,0
TS Chisoro,Sikandar Raza,S Matsikenyeri,0
TS Chisoro,CT Mumba,S Matsikenyeri,0
TS Chisoro,T Panyangara,S Matsikenyeri,0
TS Chisoro,S Matsikenyeri,CK Tshuma,0
TS Chisoro,S Matsikenyeri,R Murray,0
TS Chisoro,SC Williams,S Matsikenyeri,0
TS Chisoro,RW Chakabva,S Matsikenyeri,0
TS Chisoro,S Matsikenyeri,P Utseya,0
TS Chisoro,S Matsikenyeri,Liton Das,0
TS Chisoro,S Matsikenyeri,ehidy Hasan Miraz,0
TS Chisoro,TS Kamunhukamwe,S Matsikenyeri,0
TS Chisoro,J Nyumbu,S Matsikenyeri,0
TS Chisoro,R Mutumbami,S Matsikenyeri,0
TS Chisoro,S Matsikenyeri,T Muzarabani,0
TS Chisoro,Mushfiqur Rahim,S Matsikenyeri,0
TS Chisoro,C Zhuwao,S Matsikenyeri,0
TS Chisoro,CB Mpofu,S Matsikenyeri,0
TS Chisoro,KM Jarvis,S Matsikenyeri,0
TS Chisoro,S Matsikenyeri,T Mupariwa,0
Mahmudullah,TS Chisoro,S Matsikenyeri,0
H Masakadza,TS Chisoro,S Matsikenyeri,0
TS Chisoro,S Matsikenyeri,SF Mire,0
LN Roche,TS Chisoro,S Matsikenyeri,0
TS Chisoro,RP Burl,S Matsikenyeri,0
E Chigumbura,TS Chisoro,S Matsikenyeri,0
TS Chisoro,S Matsikenyeri,PS Masvaure,0
TS Chisoro,S Matsikenyeri,PJ Moor,0
TS Chisoro,S Matsikenyeri,Mohammad Mithun,0
TS Chisoro,S Matsikenyeri,LM Jongwe,0
TS Chisoro,CT Mutombodzi,S Matsikenyeri,0
TS Chisoro,Mohammad Saifuddin,S Matsikenyeri,0
TS Chisoro,Taijul Islam,S Matsikenyeri,0
Mustafizur Rahman,TS Chisoro,S Matsikenyeri,0
TS Chisoro,AG Cremer,S Matsikenyeri,0
TS Chisoro,TL Chatara,S Matsikenyeri,0
TS Chisoro,S Matsikenyeri,BV Vitori,0
TS Chisoro,TK Musakanda,S Matsikenyeri,0
TS Chisoro,WP Masakadza,S Matsikenyeri,0
TS Chisoro,S Matsikenyeri,CR Ervine,0
TS Chisoro,Najmul Hossain Shanto,S Matsikenyeri,0
TS Chisoro,W Madhevere,S Matsikenyeri,0
TS Chisoro,S Matsikenyeri,B Muzarabani,0
TS Chisoro,TP Kamungozi,BB Chari,0
TS Chisoro,TP Kamungozi,CJ Chibhabha,0
R Ngarava,TS Chisoro,TP Kamungozi,0
TS Chisoro,TP Kamungozi,N Madziva,0
TS Chisoro,TP Kamungozi,BRM Taylor,0
V Sibanda,TS Chisoro,TP Kamungozi,0
TS Chisoro,TP Kamungozi,CK Coventry,0
Mashrafe Mortaza,TS Chisoro,TP Kamungozi,0
TS Chisoro,TP Kamungozi,Sikandar Raza,0
CT Mumba,TS Chisoro,TP Kamungozi,0
TS Chisoro,TP Kamungozi,T Panyangara,0
TS Chisoro,TP Kamungozi,CK Tshuma,0
TS Chisoro,TP Kamungozi,R Murray,0
TS Chisoro,TP Kamungozi,SC Williams,0
TS Chisoro,TP Kamungozi,RW Chakabva,0
TS Chisoro,TP Kamungozi,P Utseya,0
TS Chisoro,TP Kamungozi,Liton Das,0
TS Chisoro,TP Kamungozi,ehidy Hasan Miraz,0
TS Chisoro,TP Kamungozi,TS Kamunhukamwe,0
TS Chisoro,TP Kamungozi,J Nyumbu,0
TS Chisoro,TP Kamungozi,R Mutumbami,0
TS Chisoro,TP Kamungozi,T Muzarabani,0
TS Chisoro,TP Kamungozi,Mushfiqur Rahim,0
TS Chisoro,TP Kamungozi,C Zhuwao,0
TS Chisoro,TP Kamungozi,CB Mpofu,0
TS Chisoro,TP Kamungozi,KM Jarvis,0
TS Chisoro,TP Kamungozi,T Mupariwa,0
Mahmudullah,TS Chisoro,TP Kamungozi,0
H Masakadza,TS Chisoro,TP Kamungozi,0
TS Chisoro,TP Kamungozi,SF Mire,0
LN Roche,TS Chisoro,TP Kamungozi,0
TS Chisoro,TP Kamungozi,RP Burl,0
TS Chisoro,TP Kamungozi,E Chigumbura,0
TS Chisoro,TP Kamungozi,PS Masvaure,0
TS Chisoro,TP Kamungozi,PJ Moor,0
TS Chisoro,TP Kamungozi,Mohammad Mithun,0
TS Chisoro,TP Kamungozi,LM Jongwe,0
TS Chisoro,TP Kamungozi,CT Mutombodzi,0
TS Chisoro,TP Kamungozi,Mohammad Saifuddin,0
TS Chisoro,TP Kamungozi,Taijul Islam,0
Mustafizur Rahman,TS Chisoro,TP Kamungozi,0
TS Chisoro,TP Kamungozi,AG Cremer,0
TS Chisoro,TP Kamungozi,TL Chatara,0
TS Chisoro,TP Kamungozi,BV Vitori,0
TS Chisoro,TP Kamungozi,TK Musakanda,0
WP Masakadza,TS Chisoro,TP Kamungozi,0
TS Chisoro,TP Kamungozi,CR Ervine,0
TS Chisoro,TP Kamungozi,Najmul Hossain Shanto,0
TS Chisoro,TP Kamungozi,W Madhevere,0
TS Chisoro,TP Kamungozi,B Muzarabani,0
TS Chisoro,CJ Chibhabha,BB Chari,70
R Ngarava,TS Chisoro,BB Chari,0
TS Chisoro,BB Chari,N Madziva,0
TS Chisoro,BRM Taylor,BB Chari,0
V Sibanda,TS Chisoro,BB Chari,0
TS Chisoro,BB Chari,CK Coventry,0
Mashrafe Mortaza,TS Chisoro,BB Chari,0
TS Chisoro,Sikandar Raza,BB Chari,137
TS Chisoro,CT Mumba,BB Chari,0
TS Chisoro,T Panyangara,BB Chari,0
TS Chisoro,BB Chari,CK Tshuma,0
TS Chisoro,R Murray,BB Chari,0
TS Chisoro,SC Williams,BB Chari,61
TS Chisoro,RW Chakabva,BB Chari,0
TS Chisoro,P Utseya,BB Chari,0
TS Chisoro,BB Chari,Liton Das,0
TS Chisoro,BB Chari,ehidy Hasan Miraz,0
TS Chisoro,TS Kamunhukamwe,BB Chari,0
TS Chisoro,J Nyumbu,BB Chari,0
TS Chisoro,R Mutumbami,BB Chari,0
TS Chisoro,BB Chari,T Muzarabani,0
TS Chisoro,Mushfiqur Rahim,BB Chari,0
TS Chisoro,C Zhuwao,BB Chari,0
TS Chisoro,CB Mpofu,BB Chari,61
TS Chisoro,KM Jarvis,BB Chari,0
TS Chisoro,T Mupariwa,BB Chari,0
Mahmudullah,TS Chisoro,BB Chari,0
H Masakadza,TS Chisoro,BB Chari,81
TS Chisoro,SF Mire,BB Chari,0
LN Roche,TS Chisoro,BB Chari,0
TS Chisoro,RP Burl,BB Chari,0
TS Chisoro,E Chigumbura,BB Chari,0
PS Masvaure,TS Chisoro,BB Chari,0
PJ Moor,TS Chisoro,BB Chari,74
TS Chisoro,BB Chari,Mohammad Mithun,0
TS Chisoro,BB Chari,LM Jongwe,0
TS Chisoro,CT Mutombodzi,BB Chari,0
TS Chisoro,Mohammad Saifuddin,BB Chari,0
TS Chisoro,Taijul Islam,BB Chari,0
Mustafizur Rahman,TS Chisoro,BB Chari,0
TS Chisoro,AG Cremer,BB Chari,62
TS Chisoro,TL Chatara,BB Chari,0
TS Chisoro,BB Chari,BV Vitori,0
TS Chisoro,TK Musakanda,BB Chari,0
TS Chisoro,WP Masakadza,BB Chari,0
TS Chisoro,BB Chari,CR Ervine,68
TS Chisoro,Najmul Hossain Shanto,BB Chari,0
TS Chisoro,W Madhevere,BB Chari,0
TS Chisoro,B Muzarabani,BB Chari,0
R Ngarava,TS Chisoro,CJ Chibhabha,17
TS Chisoro,CJ Chibhabha,N Madziva,23
TS Chisoro,CJ Chibhabha,BRM Taylor,0
V Sibanda,TS Chisoro,CJ Chibhabha,0
TS Chisoro,CJ Chibhabha,CK Coventry,0
Mashrafe Mortaza,TS Chisoro,CJ Chibhabha,0
TS Chisoro,CJ Chibhabha,Sikandar Raza,54.88888889
CT Mumba,TS Chisoro,CJ Chibhabha,0
TS Chisoro,CJ Chibhabha,T Panyangara,29.6
TS Chisoro,CJ Chibhabha,CK Tshuma,0
TS Chisoro,CJ Chibhabha,R Murray,24
TS Chisoro,CJ Chibhabha,SC Williams,68
TS Chisoro,CJ Chibhabha,RW Chakabva,0
TS Chisoro,CJ Chibhabha,P Utseya,0
TS Chisoro,CJ Chibhabha,Liton Das,0
TS Chisoro,CJ Chibhabha,ehidy Hasan Miraz,0
TS Chisoro,CJ Chibhabha,TS Kamunhukamwe,0
TS Chisoro,CJ Chibhabha,J Nyumbu,39.5
TS Chisoro,CJ Chibhabha,R Mutumbami,52.75
TS Chisoro,CJ Chibhabha,T Muzarabani,0
TS Chisoro,CJ Chibhabha,Mushfiqur Rahim,0
TS Chisoro,CJ Chibhabha,C Zhuwao,0
TS Chisoro,CJ Chibhabha,CB Mpofu,51
TS Chisoro,CJ Chibhabha,KM Jarvis,0
TS Chisoro,CJ Chibhabha,T Mupariwa,0
Mahmudullah,TS Chisoro,CJ Chibhabha,0
H Masakadza,TS Chisoro,CJ Chibhabha,75.4
TS Chisoro,CJ Chibhabha,SF Mire,0
LN Roche,TS Chisoro,CJ Chibhabha,0
TS Chisoro,CJ Chibhabha,RP Burl,0
TS Chisoro,CJ Chibhabha,E Chigumbura,39.22222222
TS Chisoro,CJ Chibhabha,PS Masvaure,17
TS Chisoro,CJ Chibhabha,PJ Moor,47.2
TS Chisoro,CJ Chibhabha,Mohammad Mithun,0
TS Chisoro,CJ Chibhabha,LM Jongwe,38.25
TS Chisoro,CJ Chibhabha,CT Mutombodzi,40.4
TS Chisoro,CJ Chibhabha,Mohammad Saifuddin,0
TS Chisoro,CJ Chibhabha,Taijul Islam,0
Mustafizur Rahman,TS Chisoro,CJ Chibhabha,0
TS Chisoro,CJ Chibhabha,AG Cremer,48.5
TS Chisoro,CJ Chibhabha,TL Chatara,0
TS Chisoro,CJ Chibhabha,BV Vitori,0
TS Chisoro,CJ Chibhabha,TK Musakanda,16
WP Masakadza,TS Chisoro,CJ Chibhabha,29.5
TS Chisoro,CJ Chibhabha,CR Ervine,46.83333333
TS Chisoro,CJ Chibhabha,Najmul Hossain Shanto,0
TS Chisoro,CJ Chibhabha,W Madhevere,0
TS Chisoro,CJ Chibhabha,B Muzarabani,20
R Ngarava,TS Chisoro,N Madziva,0
R Ngarava,TS Chisoro,BRM Taylor,0
R Ngarava,TS Chisoro,V Sibanda,0
R Ngarava,TS Chisoro,CK Coventry,0
R Ngarava,TS Chisoro,Mashrafe Mortaza,0
R Ngarava,TS Chisoro,Sikandar Raza,0
R Ngarava,TS Chisoro,CT Mumba,0
R Ngarava,TS Chisoro,T Panyangara,0
R Ngarava,TS Chisoro,CK Tshuma,0
R Ngarava,TS Chisoro,R Murray,8
R Ngarava,TS Chisoro,SC Williams,0
R Ngarava,TS Chisoro,RW Chakabva,0
R Ngarava,TS Chisoro,P Utseya,0
R Ngarava,TS Chisoro,Liton Das,0
R Ngarava,TS Chisoro,ehidy Hasan Miraz,0
R Ngarava,TS Chisoro,TS Kamunhukamwe,5
R Ngarava,TS Chisoro,J Nyumbu,0
R Ngarava,TS Chisoro,R Mutumbami,0
R Ngarava,TS Chisoro,T Muzarabani,0
R Ngarava,TS Chisoro,Mushfiqur Rahim,0
R Ngarava,TS Chisoro,C Zhuwao,0
R Ngarava,TS Chisoro,CB Mpofu,0
R Ngarava,TS Chisoro,KM Jarvis,0
R Ngarava,TS Chisoro,T Mupariwa,0
R Ngarava,TS Chisoro,Mahmudullah,0
R Ngarava,TS Chisoro,H Masakadza,17.5
R Ngarava,TS Chisoro,SF Mire,0
R Ngarava,TS Chisoro,LN Roche,0
R Ngarava,TS Chisoro,RP Burl,0
R Ngarava,TS Chisoro,E Chigumbura,24.5
R Ngarava,TS Chisoro,PS Masvaure,2
