,player-1,player-2,player-3,combined_avg,sum_of_individual
313,Shabir Noori,Rahmat Shah,Naveen-ul-Haq,80.0,45.13
314,Shabir Noori,Rahmat Shah,Dawlat Zadran,82.0,49.17
315,Shabir Noori,Rahmat Shah,Mohammad Nabi,110.0,63.5
316,Shabir Noori,Rahmat Shah,Mohammad Shahzad,111.0,73.92
317,Shabir Noori,Rahmat Shah,Hashmatullah Shahidi,152.0,71.91
318,Shabir Noori,Mohammad Nabi,Naveen-ul-Haq,39.0,31.87
319,Shabir Noori,Naveen-ul-Haq,Hashmatullah Shahidi,81.0,40.28
320,Shabir Noori,Dawlat Zadran,Mohammad Nabi,41.0,35.91
321,Shabir Noori,Dawlat Zadran,Hashmatullah Shahidi,83.0,44.32
322,Shabir Noori,Mohammad Nabi,Mohammad Shahzad,70.0,60.66
323,Shabir Noori,Mohammad Nabi,Hashmatullah Shahidi,111.0,58.650000000000006
324,Shabir Noori,Hashmatullah Shahidi,Mohammad Shahzad,112.0,69.07
325,Afsar Zazai,Hamid Hassan,Samiullah Shinwari,47.5,31.310000000000002
326,Afsar Zazai,Hamid Hassan,Usman Ghani,17.75,16.340000000000003
327,Afsar Zazai,Hamid Hassan,Shafiqullah,36.0,29.87
328,Afsar Zazai,Hamid Hassan,Nawroz Mangal,32.0,24.23
329,Afsar Zazai,Amir Hamza,Javed Ahmadi,56.0,34.01
330,Afsar Zazai,Javed Ahmadi,Samiullah Shinwari,57.125,52.379999999999995
331,Afsar Zazai,Javed Ahmadi,Usman Ghani,39.0,37.41
332,Afsar Zazai,Javed Ahmadi,Nasir Jamal,60.0,52.83
333,Afsar Zazai,Javed Ahmadi,Rashid Khan,59.5,46.79
334,Afsar Zazai,Javed Ahmadi,Dawlat Zadran,41.5,39.3
335,Afsar Zazai,Javed Ahmadi,Gulbadin Naib,102.0,50.87
336,Afsar Zazai,Javed Ahmadi,Aftab Alam,43.66666667,36.51
337,Afsar Zazai,Javed Ahmadi,Noor Ali Zadran,62.5,56.66
338,Afsar Zazai,Amir Hamza,Gulbadin Naib,57.0,27.42
339,Afsar Zazai,Amir Hamza,Mohammad Nabi,31.0,30.18
340,Afsar Zazai,Samiullah Shinwari,Asghar Afghan,60.0,50.51
341,Afsar Zazai,Usman Ghani,Samiullah Shinwari,55.66666667,32.33
342,Afsar Zazai,Dawlat Zadran,Samiullah Shinwari,40.14285714,34.22
343,Afsar Zazai,Samiullah Shinwari,Gulbadin Naib,69.0,45.79
344,Afsar Zazai,Mohammad Nabi,Samiullah Shinwari,55.75,48.55
345,Afsar Zazai,Samiullah Shinwari,Shapoor Zadran,39.8,29.1
346,Afsar Zazai,Aftab Alam,Samiullah Shinwari,63.5,31.43
347,Afsar Zazai,Samiullah Shinwari,Nawroz Mangal,59.0,40.22
348,Afsar Zazai,Gulbadin Naib,Asghar Afghan,63.5,49.0
349,Afsar Zazai,Nawroz Mangal,Asghar Afghan,48.75,43.43
350,Afsar Zazai,Usman Ghani,Nawroz Mangal,41.0,25.25
351,Afsar Zazai,Shafiqullah,Nasir Jamal,53.0,46.31
352,Afsar Zazai,Gulbadin Naib,Rashid Khan,60.5,40.2
353,Afsar Zazai,Rahmat Shah,Gulbadin Naib,66.0,60.300000000000004
354,Afsar Zazai,Dawlat Zadran,Gulbadin Naib,61.5,32.71
355,Afsar Zazai,Dawlat Zadran,Shafiqullah,36.0,32.78
356,Afsar Zazai,Dawlat Zadran,Nawroz Mangal,28.5,27.14
357,Afsar Zazai,Mohammad Nabi,Gulbadin Naib,77.0,47.04
358,Afsar Zazai,Noor Ali Zadran,Gulbadin Naib,63.5,50.07
359,Afsar Zazai,Mohammad Nabi,Shafiqullah,52.0,47.11
360,Afsar Zazai,Mohammad Nabi,Nawroz Mangal,45.2,41.47
361,Afsar Zazai,Aftab Alam,Shapoor Zadran,17.0,13.23
362,Afsar Zazai,Shapoor Zadran,Shafiqullah,36.0,27.66
363,Afsar Zazai,Shapoor Zadran,Nawroz Mangal,28.4,22.02
364,Afsar Zazai,Aftab Alam,Nawroz Mangal,42.0,24.35
365,Afsar Zazai,Shafiqullah,Nawroz Mangal,40.0,38.78
366,Usman Ghani,Hamid Hassan,Javed Ahmadi,37.5,32.23
367,Nasir Jamal,Hamid Hassan,Javed Ahmadi,56.5,47.65
368,Hamid Hassan,Javed Ahmadi,Aftab Alam,37.0,31.33
369,Hamid Hassan,Javed Ahmadi,Mohammad Shahzad,90.0,58.87
370,Hamid Hassan,Hazratullah Zazai,Rashid Khan,41.0,37.16
371,Hamid Hassan,Hazratullah Zazai,Aftab Alam,38.5,26.88
372,Hamid Hassan,Hazratullah Zazai,Noor Ali Zadran,63.0,47.03
373,Hamid Hassan,Hazratullah Zazai,Mujeeb Ur Rahman,25.5,25.32
374,Hamid Hassan,Samiullah Shinwari,Asghar Afghan,62.57142857,45.33
375,Ikram Alikhil,Hamid Hassan,Samiullah Shinwari,44.0,43.57
376,Usman Ghani,Hamid Hassan,Samiullah Shinwari,54.0,27.150000000000002
377,Hamid Hassan,Dawlat Zadran,Samiullah Shinwari,34.66666667,29.04
378,Hamid Hassan,Mohammad Nabi,Samiullah Shinwari,51.5,43.370000000000005
379,Hamid Hassan,Samiullah Shinwari,Shapoor Zadran,37.2,23.92
380,Hamid Hassan,Aftab Alam,Samiullah Shinwari,54.0,26.25
381,Hamid Hassan,Samiullah Shinwari,Mohammad Shahzad,88.0,53.79
382,Hamid Hassan,Samiullah Shinwari,Mujeeb Ur Rahman,27.0,24.69
383,Hamid Hassan,Samiullah Shinwari,Nawroz Mangal,56.4,35.04
384,Hamid Hassan,Rashid Khan,Asghar Afghan,49.66666667,39.739999999999995
385,Hamid Hassan,Dawlat Zadran,Asghar Afghan,34.0,32.25
386,Hamid Hassan,Mohammad Shahzad,Asghar Afghan,120.0,57.0
387,Hamid Hassan,Mujeeb Ur Rahman,Asghar Afghan,50.0,27.9
388,Hamid Hassan,Nawroz Mangal,Asghar Afghan,47.0,38.25
389,Ikram Alikhil,Hamid Hassan,Mujeeb Ur Rahman,32.0,26.14
390,Usman Ghani,Hamid Hassan,Shapoor Zadran,18.5,8.95
391,Usman Ghani,Hamid Hassan,Nawroz Mangal,47.5,20.07
392,Nasir Jamal,Hamid Hassan,Shafiqullah,47.0,41.129999999999995
393,Hamid Hassan,Dawlat Zadran,Rashid Khan,27.0,23.45
394,Hamid Hassan,Aftab Alam,Rashid Khan,28.0,20.66
395,Hamid Hassan,Mohammad Shahzad,Rashid Khan,51.33333333,48.2
396,Hamid Hassan,Noor Ali Zadran,Rashid Khan,52.5,40.809999999999995
397,Hamid Hassan,Mujeeb Ur Rahman,Rashid Khan,22.0,19.1
398,Hamid Hassan,Dawlat Zadran,Gulbadin Naib,35.5,27.53
399,Hamid Hassan,Dawlat Zadran,Shafiqullah,30.0,27.6
400,Hamid Hassan,Dawlat Zadran,Mujeeb Ur Rahman,15.5,11.61
401,Hamid Hassan,Dawlat Zadran,Nawroz Mangal,25.5,21.96
402,Hamid Hassan,Mujeeb Ur Rahman,Gulbadin Naib,32.66666667,23.18
403,Hamid Hassan,Mohammad Nabi,Shafiqullah,46.0,41.93
404,Hamid Hassan,Mohammad Nabi,Nawroz Mangal,42.6,36.29
405,Hamid Hassan,Aftab Alam,Shapoor Zadran,16.0,8.05
406,Hamid Hassan,Shapoor Zadran,Shafiqullah,30.0,22.48
407,Hamid Hassan,Shapoor Zadran,Nawroz Mangal,25.8,16.84
408,Hamid Hassan,Aftab Alam,Noor Ali Zadran,42.0,30.529999999999998
409,Hamid Hassan,Aftab Alam,Hashmatullah Shahidi,44.0,35.910000000000004
410,Hamid Hassan,Aftab Alam,Nawroz Mangal,41.0,19.169999999999998
411,Hamid Hassan,Shafiqullah,Nawroz Mangal,34.0,33.599999999999994
412,Hamid Hassan,Hashmatullah Shahidi,Noor Ali Zadran,68.5,56.06
413,Hazratullah Zazai,Javed Ahmadi,Ikram Alikhil,73.5,65.27000000000001
414,Hazratullah Zazai,Javed Ahmadi,Sharafuddin Ashraf,69.0,49.57
415,Amir Hamza,Javed Ahmadi,Samiullah Shinwari,57.0,44.82
416,Amir Hamza,Javed Ahmadi,Asghar Afghan,51.5,48.03
417,Amir Hamza,Javed Ahmadi,Rashid Khan,48.5,39.23
418,Amir Hamza,Javed Ahmadi,Dawlat Zadran,49.5,31.74
419,Amir Hamza,Javed Ahmadi,Gulbadin Naib,91.0,43.31
420,Amir Hamza,Javed Ahmadi,Mohammad Nabi,65.0,46.07
421,Amir Hamza,Javed Ahmadi,Noor Ali Zadran,51.5,49.099999999999994
422,Javed Ahmadi,Samiullah Shinwari,Asghar Afghan,70.09090909,66.4
423,Usman Ghani,Javed Ahmadi,Samiullah Shinwari,55.33333333,48.22
424,Javed Ahmadi,Samiullah Shinwari,Rashid Khan,63.42857143,57.6
425,Sharafuddin Ashraf,Javed Ahmadi,Samiullah Shinwari,68.5,48.94
426,Javed Ahmadi,Samiullah Shinwari,Gulbadin Naib,81.33333333,61.68
427,Javed Ahmadi,Samiullah Shinwari,Shapoor Zadran,46.125,44.99
428,Javed Ahmadi,Samiullah Shinwari,Aftab Alam,61.0,47.32
429,Javed Ahmadi,Samiullah Shinwari,Nawroz Mangal,61.0,56.11
430,Ikram Alikhil,Javed Ahmadi,Asghar Afghan,76.5,67.85
431,Nasir Jamal,Javed Ahmadi,Asghar Afghan,76.4,66.85
432,Javed Ahmadi,Rashid Khan,Asghar Afghan,70.33333333,60.809999999999995
433,Javed Ahmadi,Sharafuddin Ashraf,Asghar Afghan,74.0,52.15
434,Javed Ahmadi,Aftab Alam,Asghar Afghan,54.66666667,50.53
435,Javed Ahmadi,Mohammad Shahzad,Asghar Afghan,89.2,78.07
436,Javed Ahmadi,Mujeeb Ur Rahman,Asghar Afghan,52.71428571,48.97
437,Ikram Alikhil,Javed Ahmadi,Rahmat Shah,88.0,79.15
438,Ikram Alikhil,Javed Ahmadi,Naveen-ul-Haq,62.0,47.519999999999996
439,Ikram Alikhil,Javed Ahmadi,Sharafuddin Ashraf,65.0,50.38999999999999
440,Ikram Alikhil,Javed Ahmadi,Gulbadin Naib,80.0,63.129999999999995
441,Ikram Alikhil,Javed Ahmadi,Mohammad Nabi,74.0,65.89
442,Ikram Alikhil,Javed Ahmadi,Mujeeb Ur Rahman,57.5,47.209999999999994
443,Usman Ghani,Javed Ahmadi,Nasir Jamal,90.0,48.67
444,Usman Ghani,Javed Ahmadi,Dawlat Zadran,35.25,35.14
445,Usman Ghani,Javed Ahmadi,Aftab Alam,51.5,32.35
446,Usman Ghani,Javed Ahmadi,Nawroz Mangal,43.0,41.14
447,Nasir Jamal,Ihsanullah,Javed Ahmadi,83.0,64.77
448,Ihsanullah,Javed Ahmadi,Rashid Khan,76.0,58.730000000000004
449,Ihsanullah,Javed Ahmadi,Rahmat Shah,85.0,78.83000000000001
450,Nasir Jamal,Javed Ahmadi,Rashid Khan,103.75,58.05
451,Nasir Jamal,Javed Ahmadi,Rahmat Shah,112.25,78.15
452,Nasir Jamal,Javed Ahmadi,Sharafuddin Ashraf,104.0,49.38999999999999
453,Nasir Jamal,Javed Ahmadi,Dawlat Zadran,68.25,50.559999999999995
454,Nasir Jamal,Javed Ahmadi,Gulbadin Naib,72.0,62.129999999999995
455,Nasir Jamal,Javed Ahmadi,Mohammad Nabi,72.33333333,64.89
456,Nasir Jamal,Javed Ahmadi,Shapoor Zadran,50.66666667,45.44
457,Nasir Jamal,Javed Ahmadi,Aftab Alam,89.0,47.769999999999996
458,Nasir Jamal,Javed Ahmadi,Shafiqullah,67.75,62.199999999999996
459,Nasir Jamal,Javed Ahmadi,Mohammad Shahzad,85.0,75.31
460,Nasir Jamal,Javed Ahmadi,Mujeeb Ur Rahman,67.25,46.209999999999994
461,Javed Ahmadi,Rahmat Shah,Rashid Khan,80.61538462,72.11
462,Javed Ahmadi,Sharafuddin Ashraf,Rashid Khan,69.66666667,43.35
463,Javed Ahmadi,Yamin Ahmadzai,Rashid Khan,46.0,38.98
464,Javed Ahmadi,Dawlat Zadran,Rashid Khan,51.875,44.519999999999996
465,Javed Ahmadi,Gulbadin Naib,Rashid Khan,63.5,56.09
466,Mohammad Nabi,Javed Ahmadi,Rashid Khan,68.61538462,58.85
467,Javed Ahmadi,Shapoor Zadran,Rashid Khan,74.5,39.4
468,Javed Ahmadi,Shafiqullah,Rashid Khan,76.33333333,56.16
469,Javed Ahmadi,Mohammad Shahzad,Rashid Khan,79.83333333,69.27
470,Javed Ahmadi,Noor Ali Zadran,Rashid Khan,63.33333333,61.879999999999995
471,Javed Ahmadi,Mujeeb Ur Rahman,Rashid Khan,53.75,40.17
472,Javed Ahmadi,Sharafuddin Ashraf,Rahmat Shah,92.66666667,63.45
473,Gulbadin Naib,Javed Ahmadi,Rahmat Shah,80.375,76.19
474,Javed Ahmadi,Shapoor Zadran,Rahmat Shah,73.0,59.5
475,Javed Ahmadi,Shafiqullah,Rahmat Shah,82.33333333,76.25999999999999
476,Javed Ahmadi,Mujeeb Ur Rahman,Rahmat Shah,70.0,60.27
477,Sharafuddin Ashraf,Javed Ahmadi,Naveen-ul-Haq,54.0,31.82
478,Javed Ahmadi,Sharafuddin Ashraf,Mohammad Nabi,74.33333333,50.19
479,Javed Ahmadi,Sharafuddin Ashraf,Shapoor Zadran,97.0,30.740000000000002
