p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
Mohammad Shahzad,7,Javed Ahmadi,3,Rahmat Shah,30,Gulbadin Naib,2,Asghar Afghan,32,Mohammad Nabi,25,Najibullah Zadran,54,Rashid Khan,40,Mirwais Ashraf,0,Dawlat Zadran,31,Yamin Ahmadzai,3
Shabir Noori,9,Mohammad Shahzad,31,Rahmat Shah,71,Hashmatullah Shahidi,72,Mohammad Nabi,30,Najibullah Zadran,7,Asghar Afghan,10,Rashid Khan,7,Mirwais Ashraf,3,Dawlat Zadran,2,Naveen-ul-Haq,0
Mohammad Shahzad,35,Nawroz Mangal,10,Rahmat Shah,0,Hashmatullah Shahidi,14,Asghar Afghan,57,Mohammad Nabi,49,Najibullah Zadran,22,Rashid Khan,5,Mirwais Ashraf,9,Dawlat Zadran,4,Naveen-ul-Haq,0
Mohammad Shahzad,0,Nawroz Mangal,33,Rahmat Shah,36,Hashmatullah Shahidi,0,Asghar Afghan,1,Samiullah Shinwari,13,Mohammad Nabi,3,Najibullah Zadran,26,Rashid Khan,17,Mirwais Ashraf,4,Dawlat Zadran,0
Mohammad Shahzad,8,Noor Ali Zadran,39,Rahmat Shah,31,Asghar Afghan,50,Hashmatullah Shahidi,21,Mohammad Nabi,6,Najibullah Zadran,11,Gulbadin Naib,1,Rashid Khan,32,Dawlat Zadran,2,Amir Hamza,0
Mohammad Shahzad,64,Noor Ali Zadran,14,Rahmat Shah,53,Asghar Afghan,6,Mohammad Nabi,33,Najibullah Zadran,45,Gulbadin Naib,5,Rashid Khan,3,Dawlat Zadran,1,Hashmatullah Shahidi,2,Amir Hamza,0
Mohammad Shahzad,20,Noor Ali Zadran,0,Rahmat Shah,10,Asghar Afghan,31,Samiullah Shinwari,29,Gulbadin Naib,16,Mohammad Nabi,11,Najibullah Zadran,0,Rashid Khan,2,Amir Hamza,2,Fareed Ahmad,0
Mohammad Shahzad,9,Ihsanullah,0,Rahmat Shah,1,Asghar Afghan,19,Hashmatullah Shahidi,12,Karim Janat,9,Samiullah Shinwari,13,Mohammad Nabi,17,Gulbadin Naib,10,Rashid Khan,11,Fareed Ahmad,1
Mohammad Shahzad,20,Noor Ali Zadran,46,Gulbadin Naib,6,Rahmat Shah,50,Asghar Afghan,18,Samiullah Shinwari,18,Mohammad Nabi,48,Najibullah Zadran,3,Rashid Khan,18,Dawlat Zadran,14,Amir Hamza,0
Mohammad Shahzad,43,Noor Ali Zadran,51,Rahmat Shah,78,Asghar Afghan,10,Hashmatullah Shahidi,32,Samiullah Shinwari,30,Mohammad Nabi,34,Gulbadin Naib,7,Dawlat Zadran,0,Amir Hamza,0,Rashid Khan,0
Mohammad Shahzad,63,Noor Ali Zadran,25,Rahmat Shah,68,Asghar Afghan,101,Samiullah Shinwari,14,Mohammad Nabi,14,Shafiqullah,35,Gulbadin Naib,0,Rashid Khan,6,Dawlat Zadran,3,Amir Hamza,0
Mohammad Shahzad,11,Noor Ali Zadran,1,Rahmat Shah,8,Asghar Afghan,16,Samiullah Shinwari,20,Mohammad Nabi,13,Gulbadin Naib,51,Rashid Khan,56,Shafiqullah,50,Dawlat Zadran,15,Amir Hamza,0
Mohammad Shahzad,1,Usman Ghani,3,Rahmat Shah,0,Asghar Afghan,35,Hashmatullah Shahidi,23,Gulbadin Naib,2,Mohammad Nabi,41,Rashid Khan,0,Shafiqullah,42,Dawlat Zadran,41,Amir Hamza,7
