,player-1,player-2,combined_avg,sum_of_individual
102,Samiullah Shinwari,Nawroz Mangal,33.25,31.66
103,Ikram Alikhil,Asghar Afghan,55.9,43.4
104,Rashid Khan,Asghar Afghan,37.89655172,36.36
105,Rahmat Shah,Asghar Afghan,58.19607843,56.46
106,Naveen-ul-Haq,Asghar Afghan,28.5,24.83
107,Ibrahim Zadran,Asghar Afghan,88.0,24.58
108,Yamin Ahmadzai,Asghar Afghan,32.5,23.33
109,Gulbadin Naib,Asghar Afghan,40.75,40.44
110,Mohammad Nabi,Asghar Afghan,43.31818182,43.2
111,Shafiqullah,Asghar Afghan,41.07692308,40.51
112,Mohammad Shahzad,Asghar Afghan,55.24444444,53.62
113,Hashmatullah Shahidi,Asghar Afghan,52.2962963,51.61
114,Mujeeb Ur Rahman,Asghar Afghan,26.87096774,24.52
115,Sayed Shirzad,Asghar Afghan,65.0,47.58
116,Ikram Alikhil,Naveen-ul-Haq,43.0,23.07
117,Ikram Alikhil,Dawlat Zadran,33.66666667,27.11
118,Ikram Alikhil,Gulbadin Naib,39.88888889,38.68
119,Ikram Alikhil,Mohammad Nabi,42.27272727,41.44
120,Ikram Alikhil,Mujeeb Ur Rahman,25.88888889,22.76
121,Ikram Alikhil,Sayed Shirzad,111.0,45.82
122,Usman Ghani,Dawlat Zadran,15.4,10.690000000000001
123,Usman Ghani,Shapoor Zadran,7.0,5.57
124,Usman Ghani,Shafiqullah,45.0,22.33
125,Usman Ghani,Nawroz Mangal,36.0,16.689999999999998
126,Nasir Jamal,Ihsanullah,45.42857143,40.32
127,Ihsanullah,Rahmat Shah,59.5,54.38
128,Ihsanullah,Sharafuddin Ashraf,26.0,25.62
129,Ihsanullah,Dawlat Zadran,31.42857143,26.79
130,Ihsanullah,Aftab Alam,25.83333333,24.0
131,Ihsanullah,Hashmatullah Shahidi,71.42857143,49.53
132,Ihsanullah,Mujeeb Ur Rahman,23.76923077,22.44
133,Nasir Jamal,Rashid Khan,39.77777778,33.6
134,Nasir Jamal,Rahmat Shah,73.33333333,53.7
135,Nasir Jamal,Dawlat Zadran,30.44444444,26.11
136,Nasir Jamal,Shafiqullah,44.75,37.75
137,Nasir Jamal,Mujeeb Ur Rahman,24.0,21.76
138,Rahmat Shah,Rashid Khan,47.94642857,47.660000000000004
139,Yamin Ahmadzai,Rashid Khan,34.33333333,14.53
140,Mohammad Nabi,Rashid Khan,35.53225806,34.4
141,Shapoor Zadran,Rashid Khan,27.33333333,14.95
142,Aftab Alam,Rashid Khan,18.0,17.28
143,Shafiqullah,Rashid Khan,33.30769231,31.71
144,Noor Ali Zadran,Rashid Khan,39.782608700000004,37.43
145,Rahmat Shah,Dawlat Zadran,44.63888889,40.17
146,Rahmat Shah,Gulbadin Naib,52.55813953,51.74
147,Rahmat Shah,Shapoor Zadran,42.4,35.050000000000004
148,Rahmat Shah,Shafiqullah,64.125,51.81
149,Rahmat Shah,Mohammad Shahzad,65.05128205,64.92
150,Rahmat Shah,Mujeeb Ur Rahman,37.68571429,35.82
151,Rahmat Shah,Sayed Shirzad,87.0,58.88
152,Sharafuddin Ashraf,Naveen-ul-Haq,21.0,7.37
153,Mohammad Nabi,Naveen-ul-Haq,30.25,22.87
154,Naveen-ul-Haq,Hashmatullah Shahidi,43.0,31.28
155,Naveen-ul-Haq,Mujeeb Ur Rahman,4.5,4.1899999999999995
156,Ibrahim Zadran,Mohammad Nabi,52.0,22.62
157,Sharafuddin Ashraf,Gulbadin Naib,25.33333333,22.98
158,Mohammad Nabi,Sharafuddin Ashraf,31.625,25.740000000000002
159,Sharafuddin Ashraf,Shapoor Zadran,14.0,6.29
160,Sharafuddin Ashraf,Mohammad Shahzad,45.83333333,36.16
161,Dawlat Zadran,Yamin Ahmadzai,11.66666667,7.04
162,Mohammad Nabi,Yamin Ahmadzai,36.25,21.37
163,Yamin Ahmadzai,Noor Ali Zadran,36.5,24.4
164,Dawlat Zadran,Gulbadin Naib,26.32142857,24.15
165,Dawlat Zadran,Mohammad Nabi,27.26,26.91
166,Dawlat Zadran,Shapoor Zadran,8.428571429,7.46
167,Dawlat Zadran,Aftab Alam,9.857142857000001,9.79
168,Dawlat Zadran,Shafiqullah,33.36363636,24.22
169,Dawlat Zadran,Mohammad Shahzad,40.5,37.33
170,Dawlat Zadran,Noor Ali Zadran,32.05,29.939999999999998
171,Shafiqullah,Gulbadin Naib,40.75,35.79
172,Hashmatullah Shahidi,Gulbadin Naib,51.33333333,46.89
173,Mujeeb Ur Rahman,Gulbadin Naib,20.25,19.8
174,Nawroz Mangal,Gulbadin Naib,84.0,30.15
175,Mohammad Nabi,Aftab Alam,28.0,24.12
176,Mohammad Nabi,Mohammad Shahzad,52.04166667,51.66
177,Mohammad Nabi,Noor Ali Zadran,50.12,44.269999999999996
178,Mohammad Nabi,Nawroz Mangal,39.92857143,32.91
179,Aftab Alam,Shapoor Zadran,5.666666667,4.67
180,Shapoor Zadran,Mohammad Shahzad,35.0,32.21
181,Shapoor Zadran,Mujeeb Ur Rahman,3.75,3.11
182,Shapoor Zadran,Nawroz Mangal,16.85714286,13.459999999999999
183,Aftab Alam,Mohammad Shahzad,35.58333333,34.54
184,Aftab Alam,Noor Ali Zadran,30.0,27.15
185,Aftab Alam,Hashmatullah Shahidi,46.08333333,32.53
186,Shafiqullah,Mohammad Shahzad,52.66666667,48.97
187,Mohammad Shahzad,Noor Ali Zadran,67.68421053,54.69
188,Nawroz Mangal,Mohammad Shahzad,46.33333333,43.33
189,Nawroz Mangal,Noor Ali Zadran,42.85714286,35.94
190,Hashmatullah Shahidi,Mujeeb Ur Rahman,35.23529412,30.970000000000002
191,Mujeeb Ur Rahman,Sayed Shirzad,32.0,26.94
