Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,E Lewis,E Lewis1,KA Hope,KA Hope2,SD Hope,SD Hope3,SO Hetmyer,SO Hetmyer4,JN Mohammed,JN Mohammed5,JO Holder,JO Holder6,R Powell,R Powell7,AR Nurse,AR Nurse8,SS Cottrell,SS Cottrell9,RR Beaton,RR Beaton10,ST Gabriel,ST Gabriel11
lost,CH Gayle,CH Gayle1,CAK Walton,CAK Walton2,SD Hope,SD Hope3,KA Hope,KA Hope4,JN Mohammed,JN Mohammed5,JO Holder,JO Holder6,R Powell,R Powell7,AR Nurse,AR Nurse8,NO Miller,NO Miller9,SS Cottrell,SS Cottrell10,ST Gabriel,ST Gabriel11
won,CH Gayle,CH Gayle1,E Lewis,E Lewis2,SO Hetmyer,SO Hetmyer3,MN Samuels,MN Samuels4,SD Hope,SD Hope5,JO Holder,JO Holder6,R Powell,R Powell7,CR Brathwaite,CR Brathwaite8,AR Nurse,AR Nurse9,KAJ Roach,KAJ Roach10,KOK Williams,KOK Williams11
lost,CH Gayle,CH Gayle1,E Lewis,E Lewis2,SO Hetmyer,SO Hetmyer3,MN Samuels,MN Samuels4,SD Hope,SD Hope5,JO Holder,JO Holder6,R Powell,R Powell7,CR Brathwaite,CR Brathwaite8,AR Nurse,AR Nurse9,KMA Paul,KMA Paul10,NO Miller,NO Miller11
won,CH Gayle,CH Gayle1,E Lewis,E Lewis2,SD Hope,SD Hope3,MN Samuels,MN Samuels4,SO Hetmyer,SO Hetmyer5,JO Holder,JO Holder6,R Powell,R Powell7,AR Nurse,AR Nurse8,KMA Paul,KMA Paul9,D Bishoo,D Bishoo10,KAJ Roach,KAJ Roach11
lost,CH Gayle,CH Gayle1,E Lewis,E Lewis2,SD Hope,SD Hope3,MN Samuels,MN Samuels4,SO Hetmyer,SO Hetmyer5,JO Holder,JO Holder6,R Powell,R Powell7,CR Brathwaite,CR Brathwaite8,AR Nurse,AR Nurse9,KMA Paul,KMA Paul10,KAJ Roach,KAJ Roach11
lost,CH Gayle,CH Gayle1,E Lewis,E Lewis2,SD Hope,SD Hope3,SO Hetmyer,SO Hetmyer4,JN Mohammed,JN Mohammed5,JO Holder,JO Holder6,R Powell,R Powell7,AD Russell,AD Russell8,AR Nurse,AR Nurse9,D Bishoo,D Bishoo10,AS Joseph,AS Joseph11
won,CH Gayle,CH Gayle1,E Lewis,E Lewis2,SD Hope,SD Hope3,SO Hetmyer,SO Hetmyer4,JN Mohammed,JN Mohammed5,R Powell,R Powell6,JO Holder,JO Holder7,AR Nurse,AR Nurse8,KMA Paul,KMA Paul9,D Bishoo,D Bishoo10,AS Joseph,AS Joseph11
lost,CH Gayle,CH Gayle1,E Lewis,E Lewis2,SD Hope,SD Hope3,SO Hetmyer,SO Hetmyer4,KOA Powell,KOA Powell5,R Powell,R Powell6,JO Holder,JO Holder7,AR Nurse,AR Nurse8,KMA Paul,KMA Paul9,D Bishoo,D Bishoo10,SS Cottrell,SS Cottrell11
lost,KOA Powell,KOA Powell1,C Hemraj,C Hemraj2,SD Hope,SD Hope3,MN Samuels,MN Samuels4,SO Hetmyer,SO Hetmyer5,R Powell,R Powell6,JO Holder,JO Holder7,AR Nurse,AR Nurse8,D Bishoo,D Bishoo9,KAJ Roach,KAJ Roach10,O Thomas,O Thomas11
won,KOA Powell,KOA Powell1,C Hemraj,C Hemraj2,SD Hope,SD Hope3,MN Samuels,MN Samuels4,SO Hetmyer,SO Hetmyer5,R Powell,R Powell6,JO Holder,JO Holder7,FA Allen,FA Allen8,AR Nurse,AR Nurse9,KAJ Roach,KAJ Roach10,OC McCoy,OC McCoy11
lost,C Hemraj,C Hemraj1,KOA Powell,KOA Powell2,SD Hope,SD Hope3,MN Samuels,MN Samuels4,SO Hetmyer,SO Hetmyer5,R Powell,R Powell6,JO Holder,JO Holder7,FA Allen,FA Allen8,AR Nurse,AR Nurse9,KMA Paul,KMA Paul10,KAJ Roach,KAJ Roach11
lost,KOA Powell,KOA Powell1,R Powell,R Powell2,SD Hope,SD Hope3,MN Samuels,MN Samuels4,SO Hetmyer,SO Hetmyer5,JO Holder,JO Holder6,FA Allen,FA Allen7,KMA Paul,KMA Paul8,D Bishoo,D Bishoo9,KAJ Roach,KAJ Roach10,O Thomas,O Thomas11
lost,KOA Powell,KOA Powell1,SD Hope,SD Hope2,DM Bravo,DM Bravo3,MN Samuels,MN Samuels4,SO Hetmyer,SO Hetmyer5,R Powell,R Powell6,RL Chase,RL Chase7,KMA Paul,KMA Paul8,KAJ Roach,KAJ Roach9,D Bishoo,D Bishoo10,O Thomas,O Thomas11
won,C Hemraj,C Hemraj1,SD Hope,SD Hope2,DM Bravo,DM Bravo3,MN Samuels,MN Samuels4,SO Hetmyer,SO Hetmyer5,R Powell,R Powell6,RL Chase,RL Chase7,KMA Paul,KMA Paul8,KAJ Roach,KAJ Roach9,D Bishoo,D Bishoo10,O Thomas,O Thomas11
lost,C Hemraj,C Hemraj1,SD Hope,SD Hope2,DM Bravo,DM Bravo3,MN Samuels,MN Samuels4,SO Hetmyer,SO Hetmyer5,R Powell,R Powell6,RL Chase,RL Chase7,FA Allen,FA Allen8,KMA Paul,KMA Paul9,KAJ Roach,KAJ Roach10,D Bishoo,D Bishoo11
lost,CH Gayle,CH Gayle1,JD Campbell,JD Campbell2,SD Hope,SD Hope3,SO Hetmyer,SO Hetmyer4,N Pooran,N Pooran5,DM Bravo,DM Bravo6,JO Holder,JO Holder7,CR Brathwaite,CR Brathwaite8,AR Nurse,AR Nurse9,D Bishoo,D Bishoo10,O Thomas,O Thomas11
won,CH Gayle,CH Gayle1,JD Campbell,JD Campbell2,SD Hope,SD Hope3,DM Bravo,DM Bravo4,SO Hetmyer,SO Hetmyer5,JO Holder,JO Holder6,CR Brathwaite,CR Brathwaite7,AR Nurse,AR Nurse8,D Bishoo,D Bishoo9,SS Cottrell,SS Cottrell10,O Thomas,O Thomas11
lost,CH Gayle,CH Gayle1,JD Campbell,JD Campbell2,SD Hope,SD Hope3,DM Bravo,DM Bravo4,SO Hetmyer,SO Hetmyer5,JO Holder,JO Holder6,CR Brathwaite,CR Brathwaite7,AR Nurse,AR Nurse8,D Bishoo,D Bishoo9,SS Cottrell,SS Cottrell10,O Thomas,O Thomas11
won,CH Gayle,CH Gayle1,JD Campbell,JD Campbell2,SD Hope,SD Hope3,DM Bravo,DM Bravo4,SO Hetmyer,SO Hetmyer5,JO Holder,JO Holder6,CR Brathwaite,CR Brathwaite7,AR Nurse,AR Nurse8,D Bishoo,D Bishoo9,SS Cottrell,SS Cottrell10,O Thomas,O Thomas11
won,JD Campbell,JD Campbell1,SD Hope,SD Hope2,DM Bravo,DM Bravo3,JO Holder,JO Holder4,RL Chase,RL Chase5,JL Carter,JL Carter6,SW Ambris,SW Ambris7,AR Nurse,AR Nurse8,KAJ Roach,KAJ Roach9,SS Cottrell,SS Cottrell10,ST Gabriel,ST Gabriel11
lost,SD Hope,SD Hope1,SW Ambris,SW Ambris2,DM Bravo,DM Bravo3,RL Chase,RL Chase4,JL Carter,JL Carter5,JO Holder,JO Holder6,SO Dowrich,SO Dowrich7,AR Nurse,AR Nurse8,KAJ Roach,KAJ Roach9,SS Cottrell,SS Cottrell10,ST Gabriel,ST Gabriel11
won,SD Hope,SD Hope1,SW Ambris,SW Ambris2,DM Bravo,DM Bravo3,RL Chase,RL Chase4,JL Carter,JL Carter5,JO Holder,JO Holder6,FA Allen,FA Allen7,AR Nurse,AR Nurse8,KAJ Roach,KAJ Roach9,SS Cottrell,SS Cottrell10,ST Gabriel,ST Gabriel11
lost,SD Hope,SD Hope1,SW Ambris,SW Ambris2,DM Bravo,DM Bravo3,RL Chase,RL Chase4,JL Carter,JL Carter5,JO Holder,JO Holder6,FA Allen,FA Allen7,AR Nurse,AR Nurse8,RA Reifer,RA Reifer9,KAJ Roach,KAJ Roach10,SS Cottrell,SS Cottrell11
lost,SD Hope,SD Hope1,SW Ambris,SW Ambris2,DM Bravo,DM Bravo3,RL Chase,RL Chase4,JL Carter,JL Carter5,JO Holder,JO Holder6,FA Allen,FA Allen7,AR Nurse,AR Nurse8,KAJ Roach,KAJ Roach9,RA Reifer,RA Reifer10,ST Gabriel,ST Gabriel11
won,CH Gayle,CH Gayle1,SD Hope,SD Hope2,DM Bravo,DM Bravo3,N Pooran,N Pooran4,SO Hetmyer,SO Hetmyer5,AD Russell,AD Russell6,JO Holder,JO Holder7,CR Brathwaite,CR Brathwaite8,AR Nurse,AR Nurse9,SS Cottrell,SS Cottrell10,O Thomas,O Thomas11
lost,CH Gayle,CH Gayle1,E Lewis,E Lewis2,SD Hope,SD Hope3,N Pooran,N Pooran4,SO Hetmyer,SO Hetmyer5,JO Holder,JO Holder6,AD Russell,AD Russell7,CR Brathwaite,CR Brathwaite8,AR Nurse,AR Nurse9,SS Cottrell,SS Cottrell10,O Thomas,O Thomas11
lost,CH Gayle,CH Gayle1,E Lewis,E Lewis2,SD Hope,SD Hope3,N Pooran,N Pooran4,SO Hetmyer,SO Hetmyer5,JO Holder,JO Holder6,AD Russell,AD Russell7,CR Brathwaite,CR Brathwaite8,SS Cottrell,SS Cottrell9,O Thomas,O Thomas10,ST Gabriel,ST Gabriel11
lost,CH Gayle,CH Gayle1,E Lewis,E Lewis2,SD Hope,SD Hope3,N Pooran,N Pooran4,SO Hetmyer,SO Hetmyer5,AD Russell,AD Russell6,JO Holder,JO Holder7,DM Bravo,DM Bravo8,O Thomas,O Thomas9,SS Cottrell,SS Cottrell10,ST Gabriel,ST Gabriel11
lost,CH Gayle,CH Gayle1,SD Hope,SD Hope2,N Pooran,N Pooran3,SO Hetmyer,SO Hetmyer4,JO Holder,JO Holder5,CR Brathwaite,CR Brathwaite6,AR Nurse,AR Nurse7,E Lewis,E Lewis8,KAJ Roach,KAJ Roach9,SS Cottrell,SS Cottrell10,O Thomas,O Thomas11
