,player-1,player-2,player-3,avg
117,SW Billings,JE Root,JM Bairstow,119.44444444444444
118,SW Billings,BM Duckett,JM Bairstow,140.0
119,SW Billings,AU Rashid,JM Bairstow,94.53846153846153
120,SW Billings,CJ Jordan,JM Bairstow,0.0
121,SW Billings,ST Finn,JM Bairstow,124.0
122,SW Billings,IR Bell,JM Bairstow,0.0
123,SW Billings,CR Woakes,JM Bairstow,123.0
124,SW Billings,T Banton,JM Bairstow,101.33333333333333
125,SW Billings,RJW Topley,JM Bairstow,128.0
126,SW Billings,JM Vince,JM Bairstow,96.5
127,SW Billings,RS Bopara,JM Bairstow,0.0
128,SW Billings,GS Ballance,JM Bairstow,0.0
129,SW Billings,DJ Willey,JM Bairstow,86.75
130,SW Billings,JM Bairstow,TK Curran,100.8
131,SW Billings,MM Ali,JM Bairstow,99.0
132,SW Billings,JM Bairstow,LA Dawson,0.0
133,SW Billings,JM Bairstow,JC Buttler,120.5
134,SW Billings,MW Parkinson,JM Bairstow,0.0
135,SW Billings,OP Stone,JM Bairstow,0.0
136,SW Billings,JM Anderson,JM Bairstow,0.0
137,SW Billings,JM Bairstow,C Overton,0.0
138,SW Billings,DJ Malan,JM Bairstow,0.0
139,SW Billings,AD Hales,JM Bairstow,95.0
140,SW Billings,MA Wood,JM Bairstow,106.16666666666667
141,SW Billings,S Mahmood,JM Bairstow,77.33333333333333
142,SW Billings,BA Stokes,JM Bairstow,137.66666666666666
143,SW Billings,BT Foakes,JM Bairstow,0.0
144,SW Billings,EJG Morgan,JM Bairstow,121.91666666666667
145,SW Billings,JM Bairstow,JT Ball,73.16666666666667
146,SW Billings,JC Archer,JL Denly,0.0
147,SW Billings,SM Curran,JC Archer,15.0
148,SW Billings,JWA Taylor,JC Archer,0.0
149,SW Billings,TS Roland-Jones,JC Archer,0.0
150,SW Billings,JC Archer,JJ Roy,73.66666666666667
151,SW Billings,JC Archer,JE Root,79.0
152,SW Billings,JC Archer,BM Duckett,0.0
153,SW Billings,JC Archer,AU Rashid,82.66666666666667
154,SW Billings,JC Archer,CJ Jordan,0.0
155,SW Billings,ST Finn,JC Archer,0.0
156,SW Billings,IR Bell,JC Archer,0.0
157,SW Billings,CR Woakes,JC Archer,95.33333333333333
158,SW Billings,JC Archer,T Banton,0.0
159,SW Billings,RJW Topley,JC Archer,0.0
160,SW Billings,JC Archer,JM Vince,0.0
161,SW Billings,JC Archer,RS Bopara,0.0
162,SW Billings,JC Archer,GS Ballance,0.0
163,SW Billings,JC Archer,DJ Willey,0.0
164,SW Billings,JC Archer,TK Curran,63.5
165,SW Billings,JC Archer,MM Ali,132.0
166,SW Billings,JC Archer,LA Dawson,0.0
167,SW Billings,JC Archer,JC Buttler,69.66666666666667
168,SW Billings,MW Parkinson,JC Archer,0.0
169,SW Billings,JC Archer,OP Stone,0.0
170,SW Billings,JC Archer,JM Anderson,0.0
171,SW Billings,JC Archer,C Overton,0.0
172,SW Billings,JC Archer,DJ Malan,0.0
173,SW Billings,JC Archer,AD Hales,0.0
174,SW Billings,JC Archer,MA Wood,91.5
175,SW Billings,JC Archer,S Mahmood,0.0
176,SW Billings,JC Archer,BA Stokes,0.0
177,SW Billings,JC Archer,BT Foakes,0.0
178,SW Billings,JC Archer,EJG Morgan,95.0
179,SW Billings,JC Archer,JT Ball,0.0
180,SW Billings,SM Curran,JL Denly,0.0
181,SW Billings,JWA Taylor,JL Denly,0.0
182,SW Billings,TS Roland-Jones,JL Denly,0.0
183,SW Billings,JJ Roy,JL Denly,0.0
184,SW Billings,JE Root,JL Denly,0.0
185,SW Billings,BM Duckett,JL Denly,0.0
186,SW Billings,AU Rashid,JL Denly,0.0
187,SW Billings,CJ Jordan,JL Denly,0.0
188,SW Billings,ST Finn,JL Denly,0.0
189,SW Billings,IR Bell,JL Denly,0.0
190,SW Billings,CR Woakes,JL Denly,0.0
191,SW Billings,T Banton,JL Denly,0.0
192,SW Billings,RJW Topley,JL Denly,0.0
193,SW Billings,JM Vince,JL Denly,0.0
194,SW Billings,JL Denly,RS Bopara,0.0
195,SW Billings,JL Denly,GS Ballance,0.0
196,SW Billings,DJ Willey,JL Denly,0.0
