,player-1,player-2,player-3,avg
111,TWM Latham,TD Astle,CJ Anderson,0.0
112,SHA Rance,TWM Latham,TD Astle,0.0
113,TWM Latham,TD Astle,KD Mills,0.0
114,TWM Latham,TD Astle,JDS Neesham,30.333333333333332
115,TWM Latham,TD Astle,HM Nicholls,49.77777777777778
116,TWM Latham,TD Astle,KS Williamson,68.85714285714286
117,NT Broom,TWM Latham,TD Astle,57.0
118,TWM Latham,TD Astle,DAJ Bracewell,53.0
119,TWM Latham,TD Astle,MJ Henry,34.0
120,AW Mathieson,TWM Latham,TD Astle,0.0
121,TWM Latham,TD Astle,TA Boult,26.88888888888889
122,TWM Latham,TD Astle,DL Vettori,0.0
123,MJ Santner,TWM Latham,TD Astle,27.0
124,TWM Latham,AF Milne,TD Astle,0.0
125,TWM Latham,TD Astle,C Munro,59.714285714285715
126,TWM Latham,TD Astle,AP Devcich,0.0
127,TWM Latham,TD Astle,KA Jamieson,0.0
128,TWM Latham,TD Astle,TA Blundell,0.0
129,TWM Latham,TD Astle,C de Grandhomme,19.333333333333332
130,TWM Latham,TD Astle,IS Sodhi,0.0
131,TWM Latham,TD Astle,LH Ferguson,26.714285714285715
132,TWM Latham,TD Astle,HK Bennett,0.0
133,L Ronchi,TWM Latham,TD Astle,0.0
134,TWM Latham,MJ McClenaghan,TD Astle,0.0
135,TWM Latham,SC Kuggeleijn,TD Astle,0.0
136,LRPL Taylor,TWM Latham,TD Astle,61.0
137,JS Patel,TWM Latham,TD Astle,0.0
138,TWM Latham,MS Chapman,TD Astle,0.0
139,TWM Latham,TD Astle,BB McCullum,0.0
140,TWM Latham,TD Astle,NL McCullum,0.0
141,GD Elliott,TWM Latham,TD Astle,0.0
142,TWM Latham,TD Astle,BJ Watling,0.0
143,TWM Latham,BM Wheeler,TD Astle,0.0
144,TWM Latham,TD Astle,GH Worker,85.0
145,TWM Latham,TD Astle,TG Southee,23.25
146,SHA Rance,TWM Latham,CJ Anderson,0.0
147,TWM Latham,KD Mills,CJ Anderson,44.0
148,TWM Latham,JDS Neesham,CJ Anderson,88.25
149,TWM Latham,HM Nicholls,CJ Anderson,103.0
150,TWM Latham,CJ Anderson,KS Williamson,91.0
151,NT Broom,TWM Latham,CJ Anderson,166.5
152,TWM Latham,CJ Anderson,DAJ Bracewell,98.0
153,TWM Latham,MJ Henry,CJ Anderson,85.83333333333333
154,AW Mathieson,TWM Latham,CJ Anderson,0.0
155,TWM Latham,TA Boult,CJ Anderson,46.714285714285715
156,TWM Latham,DL Vettori,CJ Anderson,43.5
157,TWM Latham,MJ Santner,CJ Anderson,82.42857142857143
158,TWM Latham,AF Milne,CJ Anderson,72.25
159,TWM Latham,CJ Anderson,C Munro,138.5
160,TWM Latham,CJ Anderson,AP Devcich,74.0
161,TWM Latham,CJ Anderson,KA Jamieson,0.0
162,TWM Latham,TA Blundell,CJ Anderson,0.0
163,TWM Latham,C de Grandhomme,CJ Anderson,0.0
164,TWM Latham,IS Sodhi,CJ Anderson,75.66666666666667
165,TWM Latham,LH Ferguson,CJ Anderson,0.0
166,TWM Latham,HK Bennett,CJ Anderson,108.0
167,L Ronchi,TWM Latham,CJ Anderson,74.7
168,TWM Latham,MJ McClenaghan,CJ Anderson,62.666666666666664
169,TWM Latham,SC Kuggeleijn,CJ Anderson,124.0
170,LRPL Taylor,TWM Latham,CJ Anderson,93.44444444444444
171,JS Patel,TWM Latham,CJ Anderson,115.0
172,TWM Latham,MS Chapman,CJ Anderson,0.0
173,TWM Latham,CJ Anderson,BB McCullum,104.66666666666667
174,TWM Latham,NL McCullum,CJ Anderson,55.666666666666664
175,GD Elliott,TWM Latham,CJ Anderson,66.0
176,TWM Latham,BJ Watling,CJ Anderson,19.0
177,TWM Latham,BM Wheeler,CJ Anderson,0.0
178,TWM Latham,GH Worker,CJ Anderson,0.0
179,TWM Latham,TG Southee,CJ Anderson,68.0
180,SHA Rance,TWM Latham,KD Mills,0.0
181,SHA Rance,TWM Latham,JDS Neesham,75.5
182,SHA Rance,TWM Latham,HM Nicholls,0.0
183,SHA Rance,TWM Latham,KS Williamson,0.0
184,SHA Rance,TWM Latham,NT Broom,98.0
185,SHA Rance,TWM Latham,DAJ Bracewell,0.0
186,SHA Rance,TWM Latham,MJ Henry,0.0
187,SHA Rance,TWM Latham,AW Mathieson,0.0
188,SHA Rance,TWM Latham,TA Boult,0.0
189,SHA Rance,TWM Latham,DL Vettori,0.0
190,SHA Rance,TWM Latham,MJ Santner,37.5
191,SHA Rance,TWM Latham,AF Milne,0.0
192,SHA Rance,TWM Latham,C Munro,42.5
193,SHA Rance,TWM Latham,AP Devcich,0.0
194,SHA Rance,TWM Latham,KA Jamieson,0.0
195,SHA Rance,TWM Latham,TA Blundell,0.0
196,SHA Rance,TWM Latham,C de Grandhomme,0.0
197,SHA Rance,TWM Latham,IS Sodhi,34.5
198,SHA Rance,TWM Latham,LH Ferguson,0.0
199,SHA Rance,TWM Latham,HK Bennett,54.0
200,SHA Rance,TWM Latham,L Ronchi,66.5
201,SHA Rance,TWM Latham,MJ McClenaghan,0.0
202,SHA Rance,TWM Latham,SC Kuggeleijn,26.0
203,SHA Rance,TWM Latham,LRPL Taylor,73.0
204,SHA Rance,TWM Latham,JS Patel,0.0
205,SHA Rance,TWM Latham,MS Chapman,0.0
206,SHA Rance,TWM Latham,BB McCullum,0.0
207,SHA Rance,TWM Latham,NL McCullum,0.0
208,SHA Rance,TWM Latham,GD Elliott,0.0
209,SHA Rance,TWM Latham,BJ Watling,0.0
210,SHA Rance,TWM Latham,BM Wheeler,0.0
