,player-1,player-2,player-3,combined_avg,sum_of_individual
96,RR Hendricks,PWA Mulder,AL Phehlukwayo,41.5,41.05
97,JP Duminy,PWA Mulder,AL Phehlukwayo,56.833333333333336,39.849999999999994
98,PWA Mulder,T Shamsi,AL Phehlukwayo,22.0,17.450000000000003
99,L Ngidi,PWA Mulder,AL Phehlukwayo,19.833333333333332,19.26
100,KA Maharaj,PWA Mulder,AL Phehlukwayo,21.5,21.310000000000002
101,Q de Kock,AL Phehlukwayo,JT Smuts,94.75,94.63
102,Q de Kock,AL Phehlukwayo,BE Hendricks,64.8,54.879999999999995
103,Q de Kock,AB de Villiers,AL Phehlukwayo,106.35714285714286,98.35
104,Q de Kock,RR Hendricks,AL Phehlukwayo,92.5,77.48
105,Q de Kock,JP Duminy,AL Phehlukwayo,81.80645161290323,76.27999999999999
106,Q de Kock,D Pretorius,AL Phehlukwayo,75.875,60.019999999999996
107,Q de Kock,T Shamsi,AL Phehlukwayo,59.357142857142854,53.879999999999995
108,WD Parnell,Q de Kock,AL Phehlukwayo,76.0,61.69
109,F du Plessis,Q de Kock,AL Phehlukwayo,105.35,99.64
110,L Ngidi,Q de Kock,AL Phehlukwayo,58.705882352941174,55.69
111,HE van der Dussen,Q de Kock,AL Phehlukwayo,93.8125,91.08999999999999
112,Q de Kock,T Bavuma,AL Phehlukwayo,135.8,116.67999999999999
113,Q de Kock,AL Phehlukwayo,F Behardien,91.9,71.47
114,Q de Kock,DA Miller,AL Phehlukwayo,88.6,83.33999999999999
115,L Sipamla,Q de Kock,AL Phehlukwayo,75.33333333333333,57.209999999999994
116,Q de Kock,Imran Tahir,AL Phehlukwayo,63.59375,55.58
117,Q de Kock,DW Steyn,AL Phehlukwayo,64.33333333333333,58.03999999999999
118,K Zondo,AB de Villiers,AL Phehlukwayo,118.0,82.92
119,CH Morris,K Zondo,AL Phehlukwayo,63.0,51.42
120,L Ngidi,K Zondo,AL Phehlukwayo,55.666666666666664,40.26
121,AK Markram,K Zondo,AL Phehlukwayo,78.75,63.97
122,K Zondo,AL Phehlukwayo,F Behardien,89.0,56.040000000000006
123,K Zondo,Imran Tahir,AL Phehlukwayo,48.25,40.15
124,H Klaasen,K Zondo,AL Phehlukwayo,67.5,67.45
125,K Zondo,DW Steyn,AL Phehlukwayo,69.0,42.61
126,Imran Tahir,AL Phehlukwayo,BE Hendricks,17.5,12.75
127,AB de Villiers,D Pretorius,AL Phehlukwayo,76.0,60.66
128,AB de Villiers,AL Phehlukwayo,F Behardien,78.14285714285714,72.11
129,RR Hendricks,JP Duminy,AL Phehlukwayo,63.285714285714285,56.05
130,RR Hendricks,D Pretorius,AL Phehlukwayo,50.666666666666664,39.790000000000006
131,RR Hendricks,T Shamsi,AL Phehlukwayo,53.75,33.650000000000006
132,F du Plessis,RR Hendricks,AL Phehlukwayo,82.0909090909091,79.41
133,D Olivier,RR Hendricks,AL Phehlukwayo,59.5,33.650000000000006
134,HE van der Dussen,RR Hendricks,AL Phehlukwayo,76.55555555555556,70.86
135,RR Hendricks,DA Miller,AL Phehlukwayo,66.08333333333333,63.11
136,HM Amla,RR Hendricks,AL Phehlukwayo,87.75,75.64
137,RR Hendricks,DW Steyn,AL Phehlukwayo,48.714285714285715,37.81
138,JP Duminy,T Shamsi,AL Phehlukwayo,35.1,32.45
139,L Ngidi,JP Duminy,AL Phehlukwayo,40.69230769230769,34.26
140,JP Duminy,T Bavuma,AL Phehlukwayo,165.0,95.24999999999999
141,KA Maharaj,JP Duminy,AL Phehlukwayo,43.5,36.31
142,JP Duminy,DA Miller,AL Phehlukwayo,68.33333333333333,61.91
143,JP Duminy,DW Steyn,AL Phehlukwayo,55.0,36.61
144,WD Parnell,D Pretorius,AL Phehlukwayo,42.0,24.0
145,L Ngidi,D Pretorius,AL Phehlukwayo,33.333333333333336,18.0
146,HE van der Dussen,D Pretorius,AL Phehlukwayo,66.57142857142857,53.400000000000006
147,D Pretorius,T Bavuma,AL Phehlukwayo,113.0,78.99
148,D Pretorius,DA Miller,AL Phehlukwayo,61.44444444444444,45.650000000000006
149,D Pretorius,DW Steyn,AL Phehlukwayo,28.5,20.35
150,CH Morris,T Shamsi,AL Phehlukwayo,41.666666666666664,23.020000000000003
151,F du Plessis,T Shamsi,AL Phehlukwayo,57.083333333333336,55.81
152,HE van der Dussen,T Shamsi,AL Phehlukwayo,64.14285714285714,47.260000000000005
153,DA Miller,T Shamsi,AL Phehlukwayo,44.92307692307692,39.510000000000005
154,Imran Tahir,T Shamsi,AL Phehlukwayo,21.0,11.75
155,H Klaasen,T Shamsi,AL Phehlukwayo,68.2,39.05
156,WD Parnell,F du Plessis,AL Phehlukwayo,65.0,63.620000000000005
157,WD Parnell,T Bavuma,AL Phehlukwayo,113.0,80.66
158,WD Parnell,HM Amla,AL Phehlukwayo,67.83333333333333,59.85000000000001
159,CH Morris,F du Plessis,AL Phehlukwayo,73.94444444444444,68.78
160,CH Morris,L Ngidi,AL Phehlukwayo,28.5,24.830000000000002
161,CH Morris,HE van der Dussen,AL Phehlukwayo,63.42857142857143,60.230000000000004
162,CH Morris,KA Maharaj,AL Phehlukwayo,35.0,26.880000000000003
163,CH Morris,DA Miller,AL Phehlukwayo,58.46666666666667,52.480000000000004
164,AK Markram,F du Plessis,AL Phehlukwayo,85.6,81.33
165,HE van der Dussen,F du Plessis,AL Phehlukwayo,96.5,93.02
166,F du Plessis,T Bavuma,AL Phehlukwayo,139.0,118.61
167,HE van der Dussen,D Olivier,AL Phehlukwayo,121.0,47.260000000000005
168,D Olivier,DA Miller,AL Phehlukwayo,58.0,39.510000000000005
169,HM Amla,D Olivier,AL Phehlukwayo,92.5,52.040000000000006
170,L Ngidi,AK Markram,AL Phehlukwayo,40.13333333333333,37.379999999999995
171,L Ngidi,HE van der Dussen,AL Phehlukwayo,51.333333333333336,49.07000000000001
172,L Ngidi,AL Phehlukwayo,F Behardien,35.0,29.450000000000003
173,L Ngidi,DA Miller,AL Phehlukwayo,41.388888888888886,41.32
174,L Ngidi,Imran Tahir,AL Phehlukwayo,19.083333333333332,13.56
175,L Ngidi,H Klaasen,AL Phehlukwayo,46.0,40.86
176,L Ngidi,DW Steyn,AL Phehlukwayo,30.666666666666668,16.020000000000003
177,HE van der Dussen,AK Markram,AL Phehlukwayo,77.25,72.78
178,AK Markram,T Bavuma,AL Phehlukwayo,119.0,98.36999999999999
179,AK Markram,AL Phehlukwayo,F Behardien,81.5,53.16
180,AK Markram,Imran Tahir,AL Phehlukwayo,43.1875,37.269999999999996
181,AK Markram,DW Steyn,AL Phehlukwayo,58.5,39.730000000000004
182,HE van der Dussen,DA Miller,AL Phehlukwayo,77.92307692307692,76.72
183,HE van der Dussen,HM Amla,AL Phehlukwayo,93.45454545454545,89.25
184,HE van der Dussen,Imran Tahir,AL Phehlukwayo,53.785714285714285,48.96000000000001
185,HE van der Dussen,H Klaasen,AL Phehlukwayo,121.0,76.26
186,T Bavuma,AL Phehlukwayo,F Behardien,124.5,90.44
187,DA Miller,T Bavuma,AL Phehlukwayo,106.75,102.30999999999999
188,AM Phangiso,T Bavuma,AL Phehlukwayo,113.0,76.85
189,KA Maharaj,DA Miller,AL Phehlukwayo,44.8,43.370000000000005
190,H Klaasen,KA Maharaj,AL Phehlukwayo,60.2,42.91
191,H Klaasen,AL Phehlukwayo,F Behardien,57.0,56.64
192,H Klaasen,DA Miller,AL Phehlukwayo,72.7,68.51
193,HM Amla,Imran Tahir,AL Phehlukwayo,55.03846153846154,53.74000000000001
194,RR Rossouw,Imran Tahir,AL Phehlukwayo,86.0,52.17
195,Imran Tahir,DW Steyn,AL Phehlukwayo,20.11111111111111,15.91
196,RR Rossouw,KJ Abbott,AL Phehlukwayo,83.0,52.68000000000001
197,K Rabada,PWA Mulder,CJ Dala,19.0,14.82
198,K Rabada,Q de Kock,CJ Dala,71.0,51.25
199,K Rabada,AK Markram,CJ Dala,37.0,32.94
200,KA Maharaj,K Rabada,CJ Dala,25.0,11.28
