,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
4133,K Rabada,AL Phehlukwayo,D Pretorius,Q de Kock,76.5,63.44
4134,AL Phehlukwayo,D Pretorius,RR Hendricks,Q de Kock,155.5,83.62
4135,AL Phehlukwayo,D Pretorius,D Paterson,Q de Kock,107.0,60.019999999999996
4136,AL Phehlukwayo,D Pretorius,L Ngidi,Q de Kock,98.33333333333331,61.83
4137,AL Phehlukwayo,D Pretorius,HE van der Dussen,Q de Kock,119.66666666666669,97.23
4138,AL Phehlukwayo,D Pretorius,WD Parnell,Q de Kock,111.0,67.83
4139,AL Phehlukwayo,D Pretorius,DW Steyn,Q de Kock,105.0,64.18
4140,K Rabada,AL Phehlukwayo,RR Hendricks,Q de Kock,103.125,80.9
4141,K Rabada,AL Phehlukwayo,RR Rossouw,Q de Kock,156.5,97.72
4142,K Rabada,AL Phehlukwayo,D Paterson,Q de Kock,105.0,57.3
4143,K Rabada,AL Phehlukwayo,L Ngidi,Q de Kock,67.18181818181819,59.11
4144,K Rabada,AL Phehlukwayo,HE van der Dussen,Q de Kock,94.92857142857143,94.50999999999999
4145,K Rabada,AL Phehlukwayo,WD Parnell,Q de Kock,77.125,65.11
4146,K Rabada,AL Phehlukwayo,DW Steyn,Q de Kock,66.0,61.46
4147,BE Hendricks,AL Phehlukwayo,RR Hendricks,Q de Kock,85.25,78.48
4148,AL Phehlukwayo,JT Smuts,RR Hendricks,Q de Kock,122.5,118.23
4149,AL Phehlukwayo,L Ngidi,RR Hendricks,Q de Kock,101.75,79.28999999999999
4150,AL Phehlukwayo,HE van der Dussen,RR Hendricks,Q de Kock,129.14285714285714,114.69000000000001
4151,AL Phehlukwayo,RR Rossouw,WD Parnell,Q de Kock,179.5,102.11
4152,AL Phehlukwayo,RR Rossouw,DW Steyn,Q de Kock,158.0,98.46
