p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
Azhar Ali,44,Ahmed Shehzad,13,Mohammad Hafeez,37,Babar Azam,51,Shoaib Malik,52,Mohammad Rizwan,11,Sarfaraz Ahmed,24,Anwar Ali,24,Wahab Riaz,1,Yasir Shah,5,Mohammad Irfan,0
Azhar Ali,19,Ahmed Shehzad,13,Mohammad Hafeez,42,Babar Azam,62,Sohaib Maqsood,10,Sarfaraz Ahmed,30,Imad Wasim,1,Anwar Ali,16,Wahab Riaz,5,Mohammad Amir,0,Mohammad Irfan,0
Azhar Ali,3,Ahmed Shehzad,12,Mohammad Hafeez,76,Babar Azam,83,Shoaib Malik,32,Sarfaraz Ahmed,41,Mohammad Rizwan,16,Wahab Riaz,11,Mohammad Amir,1,Rahat Ali,0,Mohammad Irfan,0
Azhar Ali,1,Sharjeel Khan,152,Mohammad Hafeez,37,Babar Azam,29,Sarfaraz Ahmed,2,Shoaib Malik,57,Mohammad Nawaz,53,Imad Wasim,0,Umar Gul,0,Mohammad Amir,0,Hasan Ali,0
Azhar Ali,82,Sharjeel Khan,16,Mohammad Hafeez,11,Babar Azam,40,Sarfaraz Ahmed,55,Shoaib Malik,17,Mohammad Nawaz,17,Imad Wasim,17,Umar Gul,0,Mohammad Amir,0,Wahab Riaz,0
Sami Aslam,1,Sharjeel Khan,0,Azhar Ali,0,Babar Azam,30,Sarfaraz Ahmed,105,Shoaib Malik,28,Imad Wasim,63,Hasan Ali,0,Wahab Riaz,6,Yasir Shah,0,Mohammad Amir,6
Sami Aslam,8,Sharjeel Khan,58,Azhar Ali,13,Babar Azam,9,Sarfaraz Ahmed,38,Shoaib Malik,1,Mohammad Nawaz,34,Hasan Ali,4,Wahab Riaz,14,Yasir Shah,26,Mohammad Amir,58
Sami Aslam,24,Sharjeel Khan,16,Azhar Ali,80,Babar Azam,12,Sarfaraz Ahmed,12,Mohammad Rizwan,6,Mohammad Nawaz,13,Imad Wasim,57,Hasan Ali,9,Umar Gul,6,Mohammad Irfan,0
Azhar Ali,33,Sharjeel Khan,10,Babar Azam,31,Shoaib Malik,77,Sarfaraz Ahmed,90,Mohammad Rizwan,34,Mohammad Nawaz,2,Imad Wasim,16,Umar Gul,0,Mohammad Amir,0,Hasan Ali,0
Azhar Ali,0,Sharjeel Khan,54,Babar Azam,120,Shoaib Malik,6,Sarfaraz Ahmed,35,Mohammad Rizwan,11,Imad Wasim,24,Mohammad Nawaz,19,Wahab Riaz,0,Mohammad Amir,3,Hasan Ali,2
Azhar Ali,9,Sharjeel Khan,24,Babar Azam,123,Shoaib Malik,90,Sarfaraz Ahmed,60,Imad Wasim,11,Mohammad Rizwan,6,Mohammad Nawaz,0,Wahab Riaz,0,Mohammad Amir,0,Hasan Ali,0
Azhar Ali,101,Sharjeel Khan,38,Babar Azam,117,Shoaib Malik,5,Sarfaraz Ahmed,24,Mohammad Rizwan,4,Imad Wasim,4,Mohammad Nawaz,4,Hasan Ali,0,Sohail Khan,0,Wahab Riaz,0
Azhar Ali,24,Sharjeel Khan,18,Mohammad Hafeez,4,Babar Azam,33,Umar Akmal,17,Mohammad Rizwan,21,Imad Wasim,29,Mohammad Nawaz,1,Mohammad Amir,8,Wahab Riaz,6,Hasan Ali,1
Mohammad Hafeez,72,Sharjeel Khan,29,Babar Azam,34,Asad Shafiq,13,Shoaib Malik,42,Umar Akmal,18,Mohammad Rizwan,0,Imad Wasim,0,Mohammad Amir,0,Hasan Ali,0,Junaid Khan,0
Mohammad Hafeez,4,Sharjeel Khan,50,Babar Azam,84,Asad Shafiq,5,Shoaib Malik,39,Umar Akmal,39,Imad Wasim,9,Mohammad Rizwan,14,Mohammad Amir,4,Hasan Ali,0,Junaid Khan,0
Azhar Ali,7,Sharjeel Khan,74,Babar Azam,31,Mohammad Hafeez,40,Shoaib Malik,47,Umar Akmal,11,Mohammad Rizwan,10,Imad Wasim,25,Mohammad Amir,5,Hasan Ali,8,Junaid Khan,0
Azhar Ali,6,Sharjeel Khan,79,Babar Azam,100,Mohammad Hafeez,3,Shoaib Malik,10,Umar Akmal,46,Mohammad Rizwan,6,Mohammad Amir,17,Wahab Riaz,17,Hasan Ali,13,Junaid Khan,0
Ahmed Shehzad,67,Kamran Akmal,47,Mohammad Hafeez,88,Babar Azam,13,Shoaib Malik,53,Sarfaraz Ahmed,20,Imad Wasim,6,Shadab Khan,0,Mohammad Amir,0,Hasan Ali,0,Wahab Riaz,0
Ahmed Shehzad,5,Kamran Akmal,21,Babar Azam,125,Mohammad Hafeez,32,Shoaib Malik,9,Sarfaraz Ahmed,26,Imad Wasim,43,Shadab Khan,0,Mohammad Amir,0,Hasan Ali,0,Junaid Khan,0
Kamran Akmal,0,Ahmed Shehzad,3,Babar Azam,16,Mohammad Hafeez,81,Shoaib Malik,101,Sarfaraz Ahmed,24,Imad Wasim,0,Shadab Khan,0,Mohammad Amir,0,Hasan Ali,0,Junaid Khan,0
Azhar Ali,50,Ahmed Shehzad,12,Babar Azam,8,Mohammad Hafeez,33,Shoaib Malik,15,Sarfaraz Ahmed,15,Imad Wasim,0,Shadab Khan,14,Mohammad Amir,9,Hasan Ali,0,Wahab Riaz,0
Azhar Ali,9,Fakhar Zaman,31,Babar Azam,31,Mohammad Hafeez,26,Shoaib Malik,16,Sarfaraz Ahmed,0,Imad Wasim,0,Mohammad Amir,0,Shadab Khan,0,Hasan Ali,0,Junaid Khan,0
Azhar Ali,34,Fakhar Zaman,50,Babar Azam,10,Mohammad Hafeez,1,Shoaib Malik,11,Sarfaraz Ahmed,61,Imad Wasim,4,Faheem Ashraf,15,Mohammad Amir,28,Hasan Ali,0,Junaid Khan,0
Azhar Ali,76,Fakhar Zaman,57,Babar Azam,38,Mohammad Hafeez,31,Shoaib Malik,0,Sarfaraz Ahmed,0,Imad Wasim,0,Rumman Raees,0,Shadab Khan,0,Hasan Ali,0,Junaid Khan,0
Azhar Ali,59,Fakhar Zaman,114,Babar Azam,46,Shoaib Malik,12,Mohammad Hafeez,57,Imad Wasim,25,Sarfaraz Ahmed,0,Mohammad Amir,0,Shadab Khan,0,Hasan Ali,0,Junaid Khan,0
Fakhar Zaman,43,Ahmed Shehzad,0,Babar Azam,103,Mohammad Hafeez,32,Shoaib Malik,81,Sarfaraz Ahmed,1,Imad Wasim,10,Hasan Ali,11,Rumman Raees,0,Shadab Khan,0,Junaid Khan,0
Fakhar Zaman,11,Ahmed Shehzad,8,Babar Azam,101,Mohammad Hafeez,8,Shoaib Malik,11,Sarfaraz Ahmed,5,Imad Wasim,10,Shadab Khan,52,Hasan Ali,7,Rumman Raees,0,Junaid Khan,0
Imam-ul-Haq,100,Fakhar Zaman,29,Babar Azam,30,Mohammad Hafeez,34,Shoaib Malik,0,Sarfaraz Ahmed,0,Faheem Ashraf,0,Shadab Khan,0,Hasan Ali,0,Rumman Raees,0,Junaid Khan,0
Imam-ul-Haq,2,Fakhar Zaman,17,Babar Azam,69,Mohammad Hafeez,9,Shoaib Malik,69,Sarfaraz Ahmed,0,Imad Wasim,0,Shadab Khan,0,Hasan Ali,0,Usman Shinwari,0,Junaid Khan,0
Imam-ul-Haq,45,Fakhar Zaman,48,Faheem Ashraf,5,Babar Azam,0,Mohammad Hafeez,0,Shoaib Malik,0,Sarfaraz Ahmed,0,Imad Wasim,0,Shadab Khan,0,Hasan Ali,0,Usman Shinwari,0
