player-1,player-2,player-3,avg
Iftikhar Ahmed,Anwar Ali,Yasir Shah,44
Iftikhar Ahmed,Asif Ali,Yasir Shah,0
Iftikhar Ahmed,Shah Afridi,Yasir Shah,0
Iftikhar Ahmed,Yasir Shah,Azhar Ali,43
Iftikhar Ahmed,Yasir Shah,Zulfiqar Babar,0
Iftikhar Ahmed,Yasir Shah,Ahmed Shehzad,0
Iftikhar Ahmed,Saeed Ajmal,Yasir Shah,0
Iftikhar Ahmed,Shaheen Shah Afridi,Yasir Shah,0
Iftikhar Ahmed,Yasir Shah,Hammad Azam,0
Iftikhar Ahmed,Yasir Shah,Mohammad Rizwan,38
Iftikhar Ahmed,Yasir Shah,Bilawal Bhatti,0
Iftikhar Ahmed,Umar Amin,Sarfaraz Ahmed,0
Iftikhar Ahmed,Shadab Khan,Sarfaraz Ahmed,45.5
Iftikhar Ahmed,Saad Ali,Sarfaraz Ahmed,0
Iftikhar Ahmed,Bilal Asif,Sarfaraz Ahmed,0
Iftikhar Ahmed,Aamer Yamin,Sarfaraz Ahmed,0
Iftikhar Ahmed,Umar Gul,Sarfaraz Ahmed,0
Iftikhar Ahmed,Umar Akmal,Sarfaraz Ahmed,0
Iftikhar Ahmed,Zafar Gohar,Sarfaraz Ahmed,44
Iftikhar Ahmed,Mohammad Sami,Sarfaraz Ahmed,0
Iftikhar Ahmed,Wahab Riaz,Sarfaraz Ahmed,58
Iftikhar Ahmed,Rahat Ali,Sarfaraz Ahmed,0
Iftikhar Ahmed,Imam-ul-Haq,Sarfaraz Ahmed,71
Iftikhar Ahmed,Haris Sohail,Sarfaraz Ahmed,93.5
Iftikhar Ahmed,Kamran Akmal,Sarfaraz Ahmed,0
Iftikhar Ahmed,Misbah-ul-Haq,Sarfaraz Ahmed,0
Iftikhar Ahmed,Ehsan Adil,Sarfaraz Ahmed,0
Iftikhar Ahmed,Imad Wasim,Sarfaraz Ahmed,52
Iftikhar Ahmed,Hussain Talat,Sarfaraz Ahmed,0
Iftikhar Ahmed,Junaid Khan,Sarfaraz Ahmed,0
Iftikhar Ahmed,Rumman Raees,Sarfaraz Ahmed,0
Iftikhar Ahmed,Hasan Ali,Sarfaraz Ahmed,0
Iftikhar Ahmed,Mohammad Abbas,Sarfaraz Ahmed,0
Iftikhar Ahmed,Abid Ali,Sarfaraz Ahmed,125
Iftikhar Ahmed,Mohammad Amir,Sarfaraz Ahmed,45.5
Iftikhar Ahmed,Mohammad Hasnain,Sarfaraz Ahmed,0
Iftikhar Ahmed,Fakhar Zaman,Sarfaraz Ahmed,110.5
Iftikhar Ahmed,Shan Masood,Sarfaraz Ahmed,0
Iftikhar Ahmed,Faheem Ashraf,Sarfaraz Ahmed,0
Iftikhar Ahmed,Sohail Khan,Sarfaraz Ahmed,0
Iftikhar Ahmed,Asad Shafiq,Sarfaraz Ahmed,0
Iftikhar Ahmed,Usman Shinwari,Sarfaraz Ahmed,45.5
Iftikhar Ahmed,Younis Khan,Sarfaraz Ahmed,0
Iftikhar Ahmed,Babar Azam,Sarfaraz Ahmed,90.25
Iftikhar Ahmed,Mohammad Hafeez,Sarfaraz Ahmed,71.5
Iftikhar Ahmed,Nasir Jamshed,Sarfaraz Ahmed,0
Iftikhar Ahmed,Fawad Alam,Sarfaraz Ahmed,0
Iftikhar Ahmed,Mohammad Nawaz,Sarfaraz Ahmed,51
Iftikhar Ahmed,Sohaib Maqsood,Sarfaraz Ahmed,0
Iftikhar Ahmed,Mohammad Irfan,Sarfaraz Ahmed,49
Iftikhar Ahmed,Shahid Afridi,Sarfaraz Ahmed,0
Iftikhar Ahmed,Saad Nasim,Sarfaraz Ahmed,0
Iftikhar Ahmed,Sami Aslam,Sarfaraz Ahmed,0
Iftikhar Ahmed,Sharjeel Khan,Sarfaraz Ahmed,0
Iftikhar Ahmed,Anwar Ali,Sarfaraz Ahmed,64
Iftikhar Ahmed,Asif Ali,Sarfaraz Ahmed,0
Iftikhar Ahmed,Shah Afridi,Sarfaraz Ahmed,0
Iftikhar Ahmed,Azhar Ali,Sarfaraz Ahmed,78
Iftikhar Ahmed,Zulfiqar Babar,Sarfaraz Ahmed,0
Iftikhar Ahmed,Ahmed Shehzad,Sarfaraz Ahmed,0
Iftikhar Ahmed,Saeed Ajmal,Sarfaraz Ahmed,0
