,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'D', 'DA Warner'})",frozenset({'won'}),0.20192307692307693,0.5576923076923077,0.11538461538461539,0.5714285714285714,1.024630541871921,0.0027736686390532617,1.032051282051282
1,"frozenset({'D', 'SPD Smith'})",frozenset({'won'}),0.22115384615384615,0.5576923076923077,0.125,0.5652173913043479,1.0134932533733134,0.0016642011834319542,1.0173076923076925
2,"frozenset({'D', 'SPD Smith', 'DA Warner'})",frozenset({'won'}),0.20192307692307693,0.5576923076923077,0.11538461538461539,0.5714285714285714,1.024630541871921,0.0027736686390532617,1.032051282051282
3,"frozenset({'D', 'SPD Smith', 'GJ Maxwell'})",frozenset({'won'}),0.15384615384615385,0.5576923076923077,0.10576923076923077,0.6875,1.232758620689655,0.019970414201183423,1.4153846153846152
4,"frozenset({'D', 'MA Starc', 'SPD Smith'})",frozenset({'won'}),0.16346153846153846,0.5576923076923077,0.10576923076923077,0.6470588235294118,1.1602434077079107,0.014607988165680472,1.2532051282051282
