,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'DN'}),frozenset({'won'}),0.7307692307692307,0.5576923076923077,0.4326923076923077,0.5921052631578948,1.061705989110708,0.025147928994082858,1.0843672456575684
1,"frozenset({'A Zampa', 'DN'})",frozenset({'won'}),0.4230769230769231,0.5576923076923077,0.25,0.5909090909090909,1.0595611285266457,0.014053254437869811,1.0811965811965811
2,"frozenset({'AJ Finch', 'DN'})",frozenset({'won'}),0.6153846153846154,0.5576923076923077,0.36538461538461536,0.5937499999999999,1.064655172413793,0.022189349112425982,1.0887573964497037
3,"frozenset({'AT Carey', 'DN'})",frozenset({'won'}),0.25,0.5576923076923077,0.14423076923076922,0.5769230769230769,1.0344827586206895,0.004807692307692291,1.0454545454545452
4,"frozenset({'DA Warner', 'DN'})",frozenset({'won'}),0.49038461538461536,0.5576923076923077,0.28846153846153844,0.5882352941176471,1.054766734279919,0.014977810650887546,1.0741758241758241
5,"frozenset({'GJ Bailey', 'DN'})",frozenset({'won'}),0.25,0.5576923076923077,0.16346153846153846,0.6538461538461539,1.1724137931034482,0.024038461538461536,1.2777777777777777
6,"frozenset({'DN', 'GJ Maxwell'})",frozenset({'won'}),0.49038461538461536,0.5576923076923077,0.3173076923076923,0.6470588235294118,1.1602434077079107,0.0438239644970414,1.2532051282051282
7,"frozenset({'DN', 'JP Faulkner'})",frozenset({'won'}),0.27884615384615385,0.5576923076923077,0.21153846153846154,0.7586206896551724,1.3602853745541021,0.05602810650887574,1.8324175824175821
8,"frozenset({'JR Hazlewood', 'DN'})",frozenset({'won'}),0.2980769230769231,0.5576923076923077,0.21153846153846154,0.7096774193548387,1.2725250278086764,0.04530325443786981,1.5235042735042736
9,"frozenset({'MA Starc', 'DN'})",frozenset({'won'}),0.3942307692307692,0.5576923076923077,0.27884615384615385,0.7073170731707318,1.2682926829268293,0.05898668639053256,1.5112179487179491
10,"frozenset({'MS Wade', 'DN'})",frozenset({'won'}),0.33653846153846156,0.5576923076923077,0.20192307692307693,0.6,1.0758620689655172,0.01423816568047337,1.1057692307692306
11,"frozenset({'NM Lyon', 'DN'})",frozenset({'won'}),0.17307692307692307,0.5576923076923077,0.10576923076923077,0.6111111111111112,1.095785440613027,0.009245562130177506,1.1373626373626375
12,"frozenset({'DN', 'PJ Cummins'})",frozenset({'won'}),0.36538461538461536,0.5576923076923077,0.21153846153846154,0.5789473684210527,1.0381125226860255,0.0077662721893491105,1.0504807692307692
13,"frozenset({'PSP Handscomb', 'DN'})",frozenset({'won'}),0.18269230769230768,0.5576923076923077,0.125,0.6842105263157895,1.2268602540834845,0.023113905325443787,1.4006410256410258
14,"frozenset({'SE Marsh', 'DN'})",frozenset({'won'}),0.21153846153846154,0.5576923076923077,0.125,0.5909090909090909,1.0595611285266457,0.0070266272189349055,1.0811965811965811
15,"frozenset({'SPD Smith', 'DN'})",frozenset({'won'}),0.5,0.5576923076923077,0.28846153846153844,0.5769230769230769,1.0344827586206895,0.009615384615384581,1.0454545454545452
16,"frozenset({'UT Khawaja', 'DN'})",frozenset({'won'}),0.27884615384615385,0.5576923076923077,0.19230769230769232,0.6896551724137931,1.2366230677764567,0.03679733727810652,1.4252136752136755
17,"frozenset({'AJ Finch', 'A Zampa', 'DN'})",frozenset({'won'}),0.36538461538461536,0.5576923076923077,0.21153846153846154,0.5789473684210527,1.0381125226860255,0.0077662721893491105,1.0504807692307692
18,"frozenset({'AT Carey', 'A Zampa', 'DN'})",frozenset({'won'}),0.19230769230769232,0.5576923076923077,0.125,0.6499999999999999,1.1655172413793102,0.017751479289940822,1.2637362637362635
19,"frozenset({'A Zampa', 'DN', 'GJ Maxwell'})",frozenset({'won'}),0.23076923076923078,0.5576923076923077,0.15384615384615385,0.6666666666666666,1.1954022988505746,0.02514792899408283,1.3269230769230766
20,"frozenset({'JR Hazlewood', 'A Zampa', 'DN'})",frozenset({'won'}),0.20192307692307693,0.5576923076923077,0.1346153846153846,0.6666666666666666,1.1954022988505746,0.02200443786982248,1.3269230769230766
21,"frozenset({'MA Starc', 'A Zampa', 'DN'})",frozenset({'won'}),0.21153846153846154,0.5576923076923077,0.14423076923076922,0.6818181818181818,1.2225705329153604,0.026257396449704123,1.3901098901098898
22,"frozenset({'MP Stoinis', 'A Zampa', 'DN'})",frozenset({'won'}),0.21153846153846154,0.5576923076923077,0.125,0.5909090909090909,1.0595611285266457,0.0070266272189349055,1.0811965811965811
23,"frozenset({'MS Wade', 'A Zampa', 'DN'})",frozenset({'won'}),0.20192307692307693,0.5576923076923077,0.11538461538461539,0.5714285714285714,1.024630541871921,0.0027736686390532617,1.032051282051282
24,"frozenset({'A Zampa', 'DN', 'PJ Cummins'})",frozenset({'won'}),0.22115384615384615,0.5576923076923077,0.125,0.5652173913043479,1.0134932533733134,0.0016642011834319542,1.0173076923076925
25,"frozenset({'PSP Handscomb', 'A Zampa', 'DN'})",frozenset({'won'}),0.14423076923076922,0.5576923076923077,0.10576923076923077,0.7333333333333334,1.3149425287356322,0.025332840236686388,1.6586538461538465
26,"frozenset({'A Zampa', 'UT Khawaja', 'DN'})",frozenset({'won'}),0.21153846153846154,0.5576923076923077,0.15384615384615385,0.7272727272727273,1.3040752351097178,0.03587278106508876,1.6217948717948718
27,"frozenset({'AT Carey', 'AJ Finch', 'DN'})",frozenset({'won'}),0.25,0.5576923076923077,0.14423076923076922,0.5769230769230769,1.0344827586206895,0.004807692307692291,1.0454545454545452
28,"frozenset({'AJ Finch', 'DA Warner', 'DN'})",frozenset({'won'}),0.375,0.5576923076923077,0.22115384615384615,0.5897435897435898,1.0574712643678161,0.012019230769230754,1.078125
29,"frozenset({'GJ Bailey', 'AJ Finch', 'DN'})",frozenset({'won'}),0.21153846153846154,0.5576923076923077,0.14423076923076922,0.6818181818181818,1.2225705329153604,0.026257396449704123,1.3901098901098898
30,"frozenset({'AJ Finch', 'DN', 'GJ Maxwell'})",frozenset({'won'}),0.38461538461538464,0.5576923076923077,0.25961538461538464,0.675,1.210344827586207,0.04511834319526628,1.3609467455621302
31,"frozenset({'AJ Finch', 'DN', 'JP Faulkner'})",frozenset({'won'}),0.22115384615384615,0.5576923076923077,0.18269230769230768,0.8260869565217391,1.4812593703148424,0.059356508875739636,2.543269230769231
32,"frozenset({'JR Hazlewood', 'AJ Finch', 'DN'})",frozenset({'won'}),0.22115384615384615,0.5576923076923077,0.16346153846153846,0.7391304347826088,1.3253373313343328,0.04012573964497042,1.695512820512821
33,"frozenset({'MA Starc', 'AJ Finch', 'DN'})",frozenset({'won'}),0.34615384615384615,0.5576923076923077,0.2403846153846154,0.6944444444444445,1.2452107279693487,0.04733727810650887,1.447552447552448
34,"frozenset({'MS Wade', 'AJ Finch', 'DN'})",frozenset({'won'}),0.23076923076923078,0.5576923076923077,0.14423076923076922,0.6249999999999999,1.1206896551724135,0.015532544378698193,1.179487179487179
35,"frozenset({'AJ Finch', 'NM Lyon', 'DN'})",frozenset({'won'}),0.17307692307692307,0.5576923076923077,0.10576923076923077,0.6111111111111112,1.095785440613027,0.009245562130177506,1.1373626373626375
36,"frozenset({'AJ Finch', 'SE Marsh', 'DN'})",frozenset({'won'}),0.20192307692307693,0.5576923076923077,0.125,0.6190476190476191,1.110016420361248,0.01238905325443787,1.1610576923076923
