Result,P1,P1_S,P2,P2_S,P3,P3_S,P4,P4_S,P5,P5_S,P6,P6_S,P7,P7_S,P8,P8_S,P9,P9_S,P10,P10_S,P11,P11_S
lost,RG Sharma,15,AM Rahane,28,V Kohli,9,MK Pandey,19,MS Dhoni,39,KM Jadhav,41,AR Patel,17,HH Pandya,36,A Mishra,1,UT Yadav,18,JJ Bumrah,0
won,RG Sharma,13,AM Rahane,5,V Kohli,154,MS Dhoni,80,MK Pandey,28,KM Jadhav,0,AR Patel,0,HH Pandya,0,A Mishra,0,UT Yadav,0,JJ Bumrah,0
lost,AM Rahane,57,RG Sharma,11,V Kohli,45,MS Dhoni,11,AR Patel,38,MK Pandey,12,KM Jadhav,0,HH Pandya,9,A Mishra,14,DS Kulkarni,25,UT Yadav,7
won,AM Rahane,20,RG Sharma,70,V Kohli,65,MS Dhoni,41,MK Pandey,0,KM Jadhav,39,AR Patel,24,J Yadav,1,A Mishra,0,UT Yadav,0,JJ Bumrah,0
won,KL Rahul,8,S Dhawan,1,V Kohli,122,Yuvraj Singh,15,MS Dhoni,6,KM Jadhav,120,HH Pandya,40,RA Jadeja,13,R Ashwin,15,JJ Bumrah,0,UT Yadav,0
won,KL Rahul,5,S Dhawan,11,V Kohli,8,Yuvraj Singh,150,MS Dhoni,134,KM Jadhav,22,HH Pandya,19,RA Jadeja,16,R Ashwin,0,JJ Bumrah,0,B Kumar,0
lost,AM Rahane,1,KL Rahul,11,V Kohli,55,Yuvraj Singh,45,MS Dhoni,25,KM Jadhav,90,HH Pandya,56,RA Jadeja,10,R Ashwin,1,B Kumar,0,JJ Bumrah,0
won,RG Sharma,91,S Dhawan,68,V Kohli,81,Yuvraj Singh,53,HH Pandya,20,MS Dhoni,0,KM Jadhav,0,RA Jadeja,0,B Kumar,0,UT Yadav,0,JJ Bumrah,0
lost,RG Sharma,78,S Dhawan,125,V Kohli,0,Yuvraj Singh,7,MS Dhoni,63,HH Pandya,9,KM Jadhav,25,RA Jadeja,0,B Kumar,0,UT Yadav,0,JJ Bumrah,0
won,RG Sharma,12,S Dhawan,78,V Kohli,76,Yuvraj Singh,23,MS Dhoni,0,HH Pandya,0,KM Jadhav,0,RA Jadeja,0,B Kumar,0,R Ashwin,0,JJ Bumrah,0
won,RG Sharma,123,S Dhawan,46,V Kohli,96,Yuvraj Singh,0,MS Dhoni,0,KM Jadhav,0,HH Pandya,0,RA Jadeja,0,R Ashwin,0,B Kumar,0,JJ Bumrah,0
lost,RG Sharma,0,S Dhawan,21,V Kohli,5,Yuvraj Singh,22,MS Dhoni,4,KM Jadhav,9,HH Pandya,76,RA Jadeja,15,R Ashwin,1,B Kumar,1,JJ Bumrah,1
won,AM Rahane,103,S Dhawan,63,V Kohli,87,HH Pandya,4,Yuvraj Singh,14,MS Dhoni,13,KM Jadhav,13,R Ashwin,0,Kuldeep Yadav,0,B Kumar,0,UT Yadav,0
won,AM Rahane,72,S Dhawan,2,V Kohli,11,Yuvraj Singh,39,MS Dhoni,78,KM Jadhav,40,HH Pandya,0,R Ashwin,0,Kuldeep Yadav,0,B Kumar,0,UT Yadav,0
lost,AM Rahane,60,S Dhawan,5,V Kohli,3,KD Karthik,2,MS Dhoni,54,KM Jadhav,10,HH Pandya,20,RA Jadeja,11,Kuldeep Yadav,2,UT Yadav,0,Mohammed Shami,1
won,AM Rahane,39,S Dhawan,4,V Kohli,111,KD Karthik,50,MS Dhoni,0,KM Jadhav,0,HH Pandya,0,RA Jadeja,0,Kuldeep Yadav,0,UT Yadav,0,Mohammed Shami,0
won,RG Sharma,4,S Dhawan,132,V Kohli,82,KL Rahul,0,MS Dhoni,0,KM Jadhav,0,HH Pandya,0,AR Patel,0,B Kumar,0,JJ Bumrah,0,YS Chahal,0
