,player-1,player-2,player-3,combined_avg,sum_of_individual
553,S Dhawan,Kuldeep Yadav,RR Pant,86.2,69.173
554,S Dhawan,Kuldeep Yadav,JJ Bumrah,47.74074074074074,43.97
555,S Dhawan,Kuldeep Yadav,V Kohli,108.52941176470588,99.694
556,S Dhawan,Kuldeep Yadav,B Kumar,54.37931034482759,48.982
557,S Dhawan,Kuldeep Yadav,V Shankar,65.71428571428571,62.256
558,S Dhawan,R Ashwin,AT Rayudu,88.0,74.172
559,S Dhawan,DS Kulkarni,AT Rayudu,87.0,74.547
560,S Dhawan,MS Dhoni,Gurkeerat Singh,114.0,73.088
561,S Dhawan,R Dhawan,Gurkeerat Singh,99.0,50.024
562,S Dhawan,JJ Bumrah,Gurkeerat Singh,78.0,46.321
563,S Dhawan,UT Yadav,Gurkeerat Singh,95.66666666666667,47.053
564,S Dhawan,RG Sharma,Gurkeerat Singh,143.66666666666666,102.184
565,S Dhawan,V Kohli,Gurkeerat Singh,172.0,102.045
566,S Dhawan,B Kumar,Gurkeerat Singh,133.0,51.333
567,S Dhawan,I Sharma,Gurkeerat Singh,95.0,46.024
568,S Dhawan,RA Jadeja,Gurkeerat Singh,105.0,57.142
569,YS Chahal,S Dhawan,KD Karthik,61.357142857142854,59.909
570,YS Chahal,S Dhawan,MS Dhoni,70.83333333333333,69.735
571,YS Chahal,S Dhawan,Washington Sundar,68.0,42.671
572,YS Chahal,S Dhawan,RR Pant,70.25,68.17099999999999
573,YS Chahal,S Dhawan,JJ Bumrah,56.30434782608695,42.967999999999996
574,YS Chahal,S Dhawan,AR Patel,54.8,47.707
575,YS Chahal,S Dhawan,RG Sharma,103.02941176470588,98.83099999999999
576,YS Chahal,S Dhawan,S Kaul,44.5,43.171
577,YS Chahal,S Dhawan,V Kohli,121.32,98.69200000000001
578,YS Chahal,S Dhawan,B Kumar,58.63333333333333,47.98
579,YS Chahal,S Dhawan,V Shankar,76.8,61.254
580,YS Chahal,S Dhawan,SS Iyer,91.42857142857143,86.67099999999999
581,S Dhawan,Mohammed Shami,KL Rahul,109.0,81.67
582,S Dhawan,NA Saini,KL Rahul,97.5,90.32300000000001
583,S Dhawan,RG Sharma,KL Rahul,152.75,135.88299999999998
584,S Dhawan,B Kumar,KL Rahul,86.85714285714286,85.032
585,S Dhawan,KD Karthik,MS Dhoni,86.875,85.993
586,S Dhawan,Washington Sundar,KD Karthik,68.0,58.929
587,S Dhawan,JJ Bumrah,KD Karthik,67.4,59.226
588,S Dhawan,KD Karthik,AR Patel,75.0,63.965
589,S Dhawan,KD Karthik,RG Sharma,115.6875,115.089
590,S Dhawan,KD Karthik,SS Iyer,118.66666666666667,102.929
591,S Dhawan,R Ashwin,DS Kulkarni,67.0,48.066
592,S Dhawan,R Ashwin,MS Dhoni,74.04761904761905,71.755
593,S Dhawan,R Ashwin,Mohammed Shami,56.75,46.638000000000005
594,S Dhawan,R Ashwin,AR Patel,52.666666666666664,49.727000000000004
595,S Dhawan,R Ashwin,RG Sharma,110.23529411764706,100.851
596,S Dhawan,R Ashwin,MM Sharma,58.625,45.977000000000004
597,S Dhawan,DS Kulkarni,MS Dhoni,123.0,72.13
598,S Dhawan,STR Binny,DS Kulkarni,92.0,72.209
599,S Dhawan,UT Yadav,DS Kulkarni,75.0,46.095
600,S Dhawan,AR Patel,DS Kulkarni,70.0,50.102000000000004
601,S Dhawan,DS Kulkarni,B Kumar,58.0,50.375
602,RA Jadeja,S Dhawan,DS Kulkarni,74.0,56.184000000000005
603,S Dhawan,R Dhawan,MS Dhoni,113.66666666666667,72.755
604,S Dhawan,Washington Sundar,MS Dhoni,75.0,68.755
605,S Dhawan,Harbhajan Singh,MS Dhoni,81.5,75.469
606,S Dhawan,JJ Bumrah,MS Dhoni,69.38888888888889,69.05199999999999
607,S Dhawan,UT Yadav,MS Dhoni,72.10714285714286,69.78399999999999
608,S Dhawan,AR Patel,MS Dhoni,77.93333333333334,73.791
609,S Dhawan,RG Sharma,MS Dhoni,128.5,124.91499999999999
610,S Dhawan,V Kohli,MS Dhoni,127.75,124.77600000000001
611,S Dhawan,B Kumar,MS Dhoni,78.08163265306122,74.064
612,S Dhawan,MM Sharma,MS Dhoni,79.0,70.041
613,S Dhawan,I Sharma,MS Dhoni,86.5,68.755
614,S Dhawan,MM Sharma,Mohammed Shami,59.5,44.92400000000001
615,S Dhawan,JJ Bumrah,R Dhawan,78.0,45.988
616,S Dhawan,UT Yadav,R Dhawan,95.33333333333333,46.72
617,S Dhawan,R Dhawan,RG Sharma,143.33333333333334,101.851
618,S Dhawan,V Kohli,R Dhawan,171.66666666666666,101.712
619,S Dhawan,R Dhawan,B Kumar,137.0,51.0
620,I Sharma,S Dhawan,R Dhawan,94.66666666666667,45.691
621,S Dhawan,R Dhawan,RA Jadeja,104.66666666666667,56.809000000000005
622,S Dhawan,JJ Bumrah,Washington Sundar,68.0,41.988
623,S Dhawan,Washington Sundar,RG Sharma,276.0,97.851
624,S Dhawan,Washington Sundar,B Kumar,68.0,47.0
625,S Dhawan,Washington Sundar,HH Pandya,76.0,59.748000000000005
626,S Dhawan,Washington Sundar,SS Iyer,156.0,85.691
627,S Dhawan,NA Saini,RG Sharma,128.5,108.451
628,S Dhawan,V Kohli,NA Saini,131.5,108.312
629,S Dhawan,STR Binny,RG Sharma,148.0,124.994
630,S Dhawan,V Kohli,RR Pant,136.28571428571428,123.212
631,S Dhawan,B Kumar,RR Pant,76.4,72.5
632,S Dhawan,V Shankar,RR Pant,124.5,85.774
633,S Dhawan,JJ Bumrah,UT Yadav,68.0,43.016999999999996
634,S Dhawan,JJ Bumrah,RG Sharma,110.02564102564102,98.148
635,S Dhawan,JJ Bumrah,V Kohli,111.08823529411765,98.009
636,S Dhawan,JJ Bumrah,B Kumar,60.61290322580645,47.297
637,S Dhawan,JJ Bumrah,HH Pandya,63.0,60.045
638,S Dhawan,JJ Bumrah,V Shankar,60.8,60.571
639,S Dhawan,JJ Bumrah,I Sharma,78.0,41.988
640,S Dhawan,UT Yadav,RG Sharma,122.22727272727273,98.88
641,S Dhawan,UT Yadav,MM Sharma,52.0,44.006
642,I Sharma,S Dhawan,UT Yadav,70.0,42.72
643,S Dhawan,UT Yadav,RA Jadeja,57.05263157894737,53.838
644,S Dhawan,KK Ahmed,SS Iyer,87.0,86.691
645,S Dhawan,AR Patel,RA Jadeja,58.0,57.845000000000006
646,S Dhawan,S Kaul,RG Sharma,114.5,98.351
647,S Dhawan,V Kohli,RG Sharma,161.203125,153.872
648,S Dhawan,B Kumar,RG Sharma,109.33333333333333,103.16
649,S Dhawan,I Sharma,RG Sharma,137.0,97.851
650,S Dhawan,RA Jadeja,RG Sharma,111.43243243243244,108.969
651,S Dhawan,V Kohli,S Kaul,98.5,98.212
652,S Dhawan,V Kohli,B Kumar,104.34782608695652,103.021
653,S Dhawan,V Kohli,HH Pandya,122.83333333333333,115.769
