InnigsID,dn,country,p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
1965,DN,New Zealand,MJ Guptill,0,C Munro,22,KS Williamson,79,LRPL Taylor,48,TWM Latham,13,JDS Neesham,0,C de Grandhomme,0,MJ Santner,0,MJ Henry,0,LH Ferguson,0,TA Boult,0
1983,D,New Zealand,MJ Guptill,35,C Munro,9,KS Williamson,106,LRPL Taylor,1,TWM Latham,1,JDS Neesham,23,C de Grandhomme,60,MJ Santner,2,MJ Henry,0,LH Ferguson,0,TA Boult,0
1991,DN,New Zealand,MJ Guptill,0,C Munro,0,KS Williamson,148,LRPL Taylor,69,TWM Latham,12,JDS Neesham,28,C de Grandhomme,16,MJ Santner,10,MJ Henry,0,LH Ferguson,0,TA Boult,0
2000,D,New Zealand,MJ Guptill,5,C Munro,12,KS Williamson,41,LRPL Taylor,3,TWM Latham,1,JDS Neesham,97,C de Grandhomme,64,MJ Santner,5,MJ Henry,0,LH Ferguson,0,TA Boult,0
2008,DN,New Zealand,MJ Guptill,20,HM Nicholls,8,KS Williamson,40,LRPL Taylor,30,TWM Latham,14,C de Grandhomme,0,JDS Neesham,9,MJ Santner,12,IS Sodhi,5,LH Ferguson,0,TA Boult,2
2018,D,New Zealand,MJ Guptill,8,HM Nicholls,0,KS Williamson,27,LRPL Taylor,28,TWM Latham,57,JDS Neesham,19,C de Grandhomme,3,MJ Santner,12,TG Southee,7,MJ Henry,7,TA Boult,4
2031,D,New Zealand,MJ Guptill,1,HM Nicholls,28,KS Williamson,67,LRPL Taylor,74,JDS Neesham,12,C de Grandhomme,16,TWM Latham,10,MJ Santner,9,MJ Henry,1,TA Boult,3,LH Ferguson,0
2075,DN,New Zealand,MJ Guptill,32,HM Nicholls,78,TA Blundell,9,LRPL Taylor,109,TWM Latham,69,JDS Neesham,9,C de Grandhomme,1,MJ Santner,12,IS Sodhi,0,TG Southee,0,HK Bennett,0
2077,DN,New Zealand,MJ Guptill,79,HM Nicholls,41,TA Blundell,22,LRPL Taylor,73,TWM Latham,7,JDS Neesham,3,C de Grandhomme,5,MS Chapman,1,TG Southee,3,KA Jamieson,25,HK Bennett,0
2081,DN,New Zealand,MJ Guptill,66,HM Nicholls,80,KS Williamson,22,LRPL Taylor,12,TWM Latham,32,JDS Neesham,19,C de Grandhomme,58,MJ Santner,0,TG Southee,0,KA Jamieson,0,HK Bennett,0
2102,DN,New Zealand,MJ Guptill,40,HM Nicholls,10,KS Williamson,19,LRPL Taylor,4,TWM Latham,38,JDS Neesham,8,C de Grandhomme,25,MJ Santner,14,IS Sodhi,14,LH Ferguson,1,TA Boult,5
