,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
316,"frozenset({'Aftab Alam', 'Asghar Afghan'})",frozenset({'won'}),0.260273973,0.438356164,0.123287671,0.473684211,1.080592105,0.009194971,1.067123288
421,"frozenset({'Aftab Alam', 'Rashid Khan'})",frozenset({'won'}),0.219178082,0.438356164,0.109589041,0.5,1.140625,0.013510978,1.123287671
472,"frozenset({'Asghar Afghan', 'Amir Hamza'})",frozenset({'won'}),0.260273973,0.438356164,0.150684932,0.578947368,1.320723684,0.036592231,1.33390411
514,"frozenset({'Dawlat Zadran', 'Amir Hamza'})",frozenset({'won'}),0.246575342,0.438356164,0.150684932,0.611111111,1.394097222,0.04259711,1.444227006
563,"frozenset({'Mohammad Nabi', 'Amir Hamza'})",frozenset({'won'}),0.260273973,0.438356164,0.150684932,0.578947368,1.320723684,0.036592231,1.33390411
591,"frozenset({'Mohammad Shahzad', 'Amir Hamza'})",frozenset({'won'}),0.232876712,0.438356164,0.136986301,0.588235294,1.341911765,0.034903359,1.363992172
615,"frozenset({'Noor Ali Zadran', 'Amir Hamza'})",frozenset({'won'}),0.246575342,0.438356164,0.150684932,0.611111111,1.394097222,0.04259711,1.444227006
627,"frozenset({'Amir Hamza', 'Rashid Khan'})",frozenset({'won'}),0.219178082,0.438356164,0.123287671,0.5625,1.283203125,0.027209608,1.283757339
632,"frozenset({'Amir Hamza', 'Samiullah Shinwari'})",frozenset({'won'}),0.191780822,0.438356164,0.109589041,0.571428571,1.303571429,0.025520736,1.310502283
668,"frozenset({'Dawlat Zadran', 'Asghar Afghan'})",frozenset({'won'}),0.630136986,0.438356164,0.328767123,0.52173913,1.190217391,0.052542691,1.174346202
716,"frozenset({'Gulbadin Naib', 'Asghar Afghan'})",frozenset({'won'}),0.547945205,0.438356164,0.273972603,0.5,1.140625,0.033777444,1.123287671
800,"frozenset({'Ihsanullah', 'Asghar Afghan'})",frozenset({'won'}),0.178082192,0.438356164,0.109589041,0.615384615,1.403846154,0.031525615,1.460273973
894,"frozenset({'Mirwais Ashraf', 'Asghar Afghan'})",frozenset({'won'}),0.246575342,0.438356164,0.123287671,0.5,1.140625,0.01519985,1.123287671
932,"frozenset({'Mohammad Nabi', 'Asghar Afghan'})",frozenset({'won'}),0.904109589,0.438356164,0.410958904,0.454545455,1.036931818,0.014636892,1.029680365
968,"frozenset({'Mohammad Shahzad', 'Asghar Afghan'})",frozenset({'won'}),0.616438356,0.438356164,0.356164384,0.577777778,1.318055556,0.08594483,1.330209084
990,"frozenset({'Mujeeb Ur Rahman', 'Asghar Afghan'})",frozenset({'won'}),0.424657534,0.438356164,0.191780822,0.451612903,1.030241935,0.005629574,1.024174053
