,player-1,player-2,player-3,avg
124,N Pooran,JO Holder,JE Taylor,0.0
125,N Pooran,SS Cottrell,JO Holder,61.94117647058823
126,N Pooran,SW Ambris,JO Holder,74.5
127,N Pooran,JO Holder,D Ramdin,0.0
128,N Pooran,JO Holder,JL Carter,0.0
129,N Pooran,LR Johnson,JO Holder,0.0
130,N Pooran,JO Holder,ADS Fletcher,0.0
131,N Pooran,JO Holder,R Shepherd,45.0
132,N Pooran,JO Holder,DJG Sammy,0.0
133,N Pooran,JO Holder,SO Dowrich,0.0
134,N Pooran,JO Holder,ML Cummins,0.0
135,N Pooran,JO Holder,R Powell,0.0
136,N Pooran,JO Holder,SD Hope,105.73684210526316
137,N Pooran,J Blackwood,JO Holder,0.0
138,N Pooran,KMA Paul,JO Holder,68.5
139,N Pooran,JO Holder,BA King,0.0
140,N Pooran,JO Holder,DR Smith,0.0
141,N Pooran,JO Holder,SJ Benn,0.0
142,N Pooran,JO Holder,KC Brathwaite,0.0
143,N Pooran,JO Holder,AR Nurse,46.75
144,N Pooran,JO Holder,OC McCoy,0.0
145,N Pooran,D Bishoo,JO Holder,25.0
146,N Pooran,JO Holder,CAK Walton,0.0
147,N Pooran,JO Holder,K Pierre,101.5
148,N Pooran,JO Holder,HR Walsh,44.0
149,N Pooran,JO Holder,RR Beaton,0.0
150,N Pooran,JO Holder,FA Allen,88.0
151,N Pooran,JO Holder,ST Gabriel,92.33333333333333
152,N Pooran,JO Holder,AS Joseph,51.375
153,N Pooran,JO Holder,JD Campbell,46.0
154,N Pooran,R Rampaul,JO Holder,0.0
155,N Pooran,JO Holder,DM Bravo,57.5
156,N Pooran,JO Holder,KAJ Roach,53.0
157,N Pooran,JO Holder,KA Hope,0.0
158,N Pooran,JO Holder,E Lewis,94.63636363636364
159,N Pooran,JN Mohammed,O Thomas,0.0
160,N Pooran,MN Samuels,O Thomas,0.0
161,N Pooran,O Thomas,KA Pollard,43.0
162,N Pooran,O Thomas,SP Narine,0.0
163,N Pooran,NO Miller,O Thomas,0.0
164,N Pooran,KOK Williams,O Thomas,0.0
165,N Pooran,KOA Powell,O Thomas,0.0
166,N Pooran,CR Brathwaite,O Thomas,62.888888888888886
167,N Pooran,CH Gayle,O Thomas,82.8
168,N Pooran,AD Russell,O Thomas,51.0
169,N Pooran,LMP Simmons,O Thomas,0.0
170,N Pooran,SO Hetmyer,O Thomas,73.5
171,N Pooran,V Permaul,O Thomas,0.0
172,N Pooran,J Charles,O Thomas,0.0
173,N Pooran,N Deonarine,O Thomas,0.0
174,N Pooran,RA Reifer,O Thomas,0.0
175,N Pooran,JE Taylor,O Thomas,0.0
176,N Pooran,SS Cottrell,O Thomas,52.44444444444444
177,N Pooran,SW Ambris,O Thomas,79.33333333333333
178,N Pooran,D Ramdin,O Thomas,0.0
179,N Pooran,JL Carter,O Thomas,0.0
180,N Pooran,LR Johnson,O Thomas,0.0
181,N Pooran,ADS Fletcher,O Thomas,0.0
182,N Pooran,R Shepherd,O Thomas,44.0
183,N Pooran,DJG Sammy,O Thomas,0.0
184,N Pooran,SO Dowrich,O Thomas,0.0
185,N Pooran,ML Cummins,O Thomas,0.0
186,N Pooran,R Powell,O Thomas,0.0
187,N Pooran,SD Hope,O Thomas,75.63636363636364
188,N Pooran,J Blackwood,O Thomas,0.0
189,N Pooran,KMA Paul,O Thomas,0.0
190,N Pooran,BA King,O Thomas,81.0
191,N Pooran,O Thomas,DR Smith,0.0
192,N Pooran,SJ Benn,O Thomas,0.0
193,N Pooran,KC Brathwaite,O Thomas,0.0
194,N Pooran,AR Nurse,O Thomas,34.5
195,N Pooran,OC McCoy,O Thomas,0.0
196,N Pooran,D Bishoo,O Thomas,27.0
197,N Pooran,CAK Walton,O Thomas,0.0
198,N Pooran,K Pierre,O Thomas,0.0
199,N Pooran,HR Walsh,O Thomas,43.0
200,N Pooran,O Thomas,RR Beaton,0.0
201,N Pooran,O Thomas,FA Allen,87.33333333333333
202,N Pooran,ST Gabriel,O Thomas,72.0
203,N Pooran,O Thomas,AS Joseph,43.0
204,N Pooran,JD Campbell,O Thomas,48.0
205,N Pooran,R Rampaul,O Thomas,0.0
206,N Pooran,DM Bravo,O Thomas,47.333333333333336
207,N Pooran,KAJ Roach,O Thomas,40.75
208,N Pooran,O Thomas,KA Hope,0.0
209,N Pooran,E Lewis,O Thomas,82.28571428571429
210,N Pooran,JN Mohammed,MN Samuels,0.0
211,N Pooran,JN Mohammed,KA Pollard,0.0
212,N Pooran,JN Mohammed,SP Narine,0.0
213,N Pooran,JN Mohammed,NO Miller,0.0
214,N Pooran,JN Mohammed,KOK Williams,0.0
215,N Pooran,KOA Powell,JN Mohammed,0.0
216,N Pooran,CR Brathwaite,JN Mohammed,0.0
217,N Pooran,JN Mohammed,CH Gayle,0.0
218,N Pooran,AD Russell,JN Mohammed,0.0
219,N Pooran,LMP Simmons,JN Mohammed,0.0
220,N Pooran,SO Hetmyer,JN Mohammed,0.0
221,N Pooran,JN Mohammed,V Permaul,0.0
222,N Pooran,J Charles,JN Mohammed,0.0
223,N Pooran,N Deonarine,JN Mohammed,0.0
224,N Pooran,JN Mohammed,RA Reifer,0.0
225,N Pooran,JE Taylor,JN Mohammed,0.0
226,N Pooran,SS Cottrell,JN Mohammed,0.0
227,N Pooran,SW Ambris,JN Mohammed,0.0
228,N Pooran,D Ramdin,JN Mohammed,0.0
229,N Pooran,JN Mohammed,JL Carter,0.0
230,N Pooran,LR Johnson,JN Mohammed,0.0
231,N Pooran,ADS Fletcher,JN Mohammed,0.0
232,N Pooran,R Shepherd,JN Mohammed,0.0
233,N Pooran,JN Mohammed,DJG Sammy,0.0
234,N Pooran,JN Mohammed,SO Dowrich,0.0
235,N Pooran,JN Mohammed,ML Cummins,0.0
236,N Pooran,JN Mohammed,R Powell,0.0
237,N Pooran,SD Hope,JN Mohammed,0.0
238,N Pooran,J Blackwood,JN Mohammed,0.0
239,N Pooran,KMA Paul,JN Mohammed,0.0
240,N Pooran,JN Mohammed,BA King,0.0
241,N Pooran,JN Mohammed,DR Smith,0.0
242,N Pooran,SJ Benn,JN Mohammed,0.0
243,N Pooran,KC Brathwaite,JN Mohammed,0.0
244,N Pooran,AR Nurse,JN Mohammed,0.0
245,N Pooran,OC McCoy,JN Mohammed,0.0
246,N Pooran,D Bishoo,JN Mohammed,0.0
247,N Pooran,CAK Walton,JN Mohammed,0.0
248,N Pooran,K Pierre,JN Mohammed,0.0
249,N Pooran,JN Mohammed,HR Walsh,0.0
250,N Pooran,JN Mohammed,RR Beaton,0.0
251,N Pooran,JN Mohammed,FA Allen,0.0
252,N Pooran,ST Gabriel,JN Mohammed,0.0
253,N Pooran,JN Mohammed,AS Joseph,0.0
254,N Pooran,JN Mohammed,JD Campbell,0.0
255,N Pooran,R Rampaul,JN Mohammed,0.0
256,N Pooran,DM Bravo,JN Mohammed,0.0
257,N Pooran,JN Mohammed,KAJ Roach,0.0
258,N Pooran,JN Mohammed,KA Hope,0.0
259,N Pooran,JN Mohammed,E Lewis,0.0
260,N Pooran,MN Samuels,KA Pollard,0.0
261,N Pooran,MN Samuels,SP Narine,0.0
262,N Pooran,NO Miller,MN Samuels,0.0
263,N Pooran,KOK Williams,MN Samuels,0.0
264,N Pooran,KOA Powell,MN Samuels,0.0
265,N Pooran,CR Brathwaite,MN Samuels,0.0
266,N Pooran,CH Gayle,MN Samuels,0.0
267,N Pooran,AD Russell,MN Samuels,0.0
268,N Pooran,LMP Simmons,MN Samuels,0.0
269,N Pooran,SO Hetmyer,MN Samuels,0.0
270,N Pooran,V Permaul,MN Samuels,0.0
271,N Pooran,J Charles,MN Samuels,0.0
272,N Pooran,N Deonarine,MN Samuels,0.0
273,N Pooran,RA Reifer,MN Samuels,0.0
274,N Pooran,JE Taylor,MN Samuels,0.0
275,N Pooran,SS Cottrell,MN Samuels,0.0
276,N Pooran,SW Ambris,MN Samuels,0.0
277,N Pooran,D Ramdin,MN Samuels,0.0
278,N Pooran,JL Carter,MN Samuels,0.0
279,N Pooran,LR Johnson,MN Samuels,0.0
280,N Pooran,ADS Fletcher,MN Samuels,0.0
