InnigsID,dn,country,p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
1507,D,England,JJ Roy,20,AD Hales,32,JE Root,73,EJG Morgan,76,JM Bairstow,72,SW Billings,7,AU Rashid,39,DJ Willey,1,LE Plunkett,0,JT Ball,0,MA Wood,0
1519,DN,England,JJ Roy,1,AD Hales,61,JE Root,37,EJG Morgan,107,BA Stokes,25,JC Buttler,7,MM Ali,77,CR Woakes,6,AU Rashid,0,LE Plunkett,0,MA Wood,0
1521,D,England,JJ Roy,8,AD Hales,24,JE Root,39,EJG Morgan,45,BA Stokes,101,JC Buttler,65,MM Ali,33,AU Rashid,0,LE Plunkett,0,MA Wood,0,JT Ball,0
1524,D,England,JJ Roy,4,AD Hales,1,JE Root,2,EJG Morgan,8,JM Bairstow,51,JC Buttler,4,AU Rashid,0,DJ Willey,26,TS Roland-Jones,37,JT Ball,7,ST Finn,3
1525,D,England,JJ Roy,1,AD Hales,95,JE Root,133,EJG Morgan,75,BA Stokes,0,JC Buttler,0,MM Ali,0,CR Woakes,0,LE Plunkett,0,MA Wood,0,JT Ball,0
1531,D,England,JJ Roy,13,AD Hales,56,JE Root,64,EJG Morgan,13,BA Stokes,48,JC Buttler,61,MM Ali,12,AU Rashid,12,LE Plunkett,15,MA Wood,0,JT Ball,0
1541,D,England,JJ Roy,4,AD Hales,0,JE Root,15,EJG Morgan,87,BA Stokes,102,JC Buttler,29,MM Ali,0,AU Rashid,0,LE Plunkett,0,MA Wood,0,JT Ball,0
1550,D,England,JM Bairstow,43,AD Hales,13,JE Root,46,EJG Morgan,33,BA Stokes,34,JC Buttler,4,MM Ali,11,AU Rashid,7,LE Plunkett,9,MA Wood,3,JT Ball,2
1585,DN,England,JM Bairstow,100,AD Hales,19,JE Root,54,EJG Morgan,10,BA Stokes,23,JC Buttler,0,MM Ali,0,AU Rashid,0,CR Woakes,0,DJ Willey,0,LE Plunkett,0
1591,D,England,JM Bairstow,13,AD Hales,36,JE Root,84,EJG Morgan,0,BA Stokes,73,JC Buttler,2,MM Ali,102,CR Woakes,34,LE Plunkett,9,DJ Willey,1,AU Rashid,9
