Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,JP Duminy,JP Duminy4,AB de Villiers,AB de Villiers5,DA Miller,DA Miller6,F Behardien,F Behardien7,DW Steyn,DW Steyn8,K Rabada,K Rabada9,Imran Tahir,Imran Tahir10,M Morkel,M Morkel11
won,Q de Kock,Q de Kock1,DA Miller,DA Miller2,HM Amla,HM Amla3,F du Plessis,F du Plessis4,AB de Villiers,AB de Villiers5,JP Duminy,JP Duminy6,F Behardien,F Behardien7,DW Steyn,DW Steyn8,K Rabada,K Rabada9,Imran Tahir,Imran Tahir10,M Morkel,M Morkel11
lost,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,F Behardien,F Behardien6,CH Morris,CH Morris7,AM Phangiso,AM Phangiso8,DW Steyn,DW Steyn9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,F Behardien,F Behardien6,D Elgar,D Elgar7,DW Steyn,DW Steyn8,K Rabada,K Rabada9,Imran Tahir,Imran Tahir10,KJ Abbott,KJ Abbott11
lost,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,RR Rossouw,RR Rossouw6,F Behardien,F Behardien7,CH Morris,CH Morris8,M Morkel,M Morkel9,M de Lange,M de Lange10,Imran Tahir,Imran Tahir11
lost,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,RR Rossouw,RR Rossouw6,F Behardien,F Behardien7,K Rabada,K Rabada8,KJ Abbott,KJ Abbott9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,D Wiese,D Wiese3,F du Plessis,F du Plessis4,AB de Villiers,AB de Villiers5,JP Duminy,JP Duminy6,F Behardien,F Behardien7,K Rabada,K Rabada8,KJ Abbott,KJ Abbott9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
won,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,F Behardien,F Behardien6,D Wiese,D Wiese7,CH Morris,CH Morris8,K Rabada,K Rabada9,KJ Abbott,KJ Abbott10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,RR Rossouw,RR Rossouw4,AB de Villiers,AB de Villiers5,F Behardien,F Behardien6,D Wiese,D Wiese7,CH Morris,CH Morris8,K Rabada,K Rabada9,KJ Abbott,KJ Abbott10,Imran Tahir,Imran Tahir11
lost,Q de Kock,Q de Kock1,HM Amla,HM Amla2,RR Rossouw,RR Rossouw3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,F Behardien,F Behardien6,CH Morris,CH Morris7,KJ Abbott,KJ Abbott8,AM Phangiso,AM Phangiso9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
