,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
898,CR Ervine,N Madziva,CJ Chibhabha,H Masakadza,123.0,82.52
899,CR Ervine,N Madziva,E Chigumbura,H Masakadza,94.0,77.99
900,CR Ervine,N Madziva,AG Cremer,H Masakadza,105.0,64.34
901,CR Ervine,C Zhuwao,PJ Moor,H Masakadza,106.0,82.6
902,CR Ervine,Sikandar Raza,SC Williams,H Masakadza,125.5,113.05
903,CR Ervine,TP Kamungozi,SC Williams,H Masakadza,120.0,86.89
904,CR Ervine,CJ Chibhabha,SC Williams,H Masakadza,128.625,111.05
905,CR Ervine,BV Vitori,SC Williams,H Masakadza,89.5,87.33
906,CR Ervine,TL Chatara,SC Williams,H Masakadza,98.05882353,85.92
907,CR Ervine,RP Burl,SC Williams,H Masakadza,125.4,98.46
908,CR Ervine,P Utseya,SC Williams,H Masakadza,129.6666667,89.14
909,CR Ervine,SC Williams,E Chigumbura,H Masakadza,125.3,106.52
910,CR Ervine,T Mupariwa,SC Williams,H Masakadza,95.33333333,87.89
911,CR Ervine,AG Cremer,SC Williams,H Masakadza,97.41666667,92.86999999999999
912,CR Ervine,SC Williams,H Masakadza,CB Mpofu,96.42857143,84.35
913,CR Ervine,Sikandar Raza,PJ Moor,H Masakadza,103.8,99.26
914,CR Ervine,PJ Moor,H Masakadza,WP Masakadza,115.0,73.22
915,CR Ervine,RP Burl,PJ Moor,H Masakadza,93.75,84.67
916,CR Ervine,PJ Moor,H Masakadza,T Muzarabani,104.5,71.6
917,CR Ervine,TP Kamungozi,Sikandar Raza,H Masakadza,93.5,84.23
918,CR Ervine,CJ Chibhabha,Sikandar Raza,H Masakadza,116.7777778,108.39
919,CR Ervine,BV Vitori,Sikandar Raza,H Masakadza,93.66666667,84.67
920,CR Ervine,Sikandar Raza,H Masakadza,WP Masakadza,133.0,84.35000000000001
921,CR Ervine,RP Burl,Sikandar Raza,H Masakadza,101.66666670000001,95.8
922,CR Ervine,P Utseya,Sikandar Raza,H Masakadza,152.0,86.48
923,CR Ervine,Sikandar Raza,E Chigumbura,H Masakadza,135.66666669999998,103.86
924,CR Ervine,Sikandar Raza,H Masakadza,T Muzarabani,96.0,82.73
925,CR Ervine,AG Cremer,Sikandar Raza,H Masakadza,99.79166667,90.21
926,CR Ervine,Sikandar Raza,H Masakadza,CB Mpofu,112.2857143,81.69
927,CR Ervine,CJ Chibhabha,TP Kamungozi,H Masakadza,157.0,82.23
928,CR Ervine,TL Chatara,TP Kamungozi,H Masakadza,89.0,57.1
929,CR Ervine,TP Kamungozi,E Chigumbura,H Masakadza,92.5,77.7
930,CR Ervine,P Utseya,CJ Chibhabha,H Masakadza,155.0,84.48
931,CR Ervine,CJ Chibhabha,E Chigumbura,H Masakadza,134.33333330000002,101.86
932,CR Ervine,AG Cremer,CJ Chibhabha,H Masakadza,108.6,88.21
933,CR Ervine,CJ Chibhabha,H Masakadza,CB Mpofu,115.33333329999999,79.69
934,CR Ervine,BV Vitori,P Utseya,H Masakadza,94.0,60.760000000000005
935,CR Ervine,BV Vitori,E Chigumbura,H Masakadza,190.0,78.14
936,CR Ervine,BV Vitori,KM Jarvis,H Masakadza,77.0,62.980000000000004
937,CR Ervine,BV Vitori,H Masakadza,CB Mpofu,73.0,55.970000000000006
938,CR Ervine,E Chigumbura,H Masakadza,WP Masakadza,103.5,77.82000000000001
939,CR Ervine,T Muzarabani,H Masakadza,WP Masakadza,120.0,56.69
940,CR Ervine,AG Cremer,H Masakadza,WP Masakadza,132.0,64.17
941,CR Ervine,RP Burl,TL Chatara,H Masakadza,72.9,68.67
942,CR Ervine,TL Chatara,H Masakadza,CB Mpofu,62.25,54.56
943,CR Ervine,RP Burl,KM Jarvis,H Masakadza,94.4,74.11
944,CR Ervine,P Utseya,E Chigumbura,H Masakadza,156.0,79.95
945,CR Ervine,P Utseya,AG Cremer,H Masakadza,115.5,66.3
946,CR Ervine,P Utseya,H Masakadza,CB Mpofu,106.66666670000001,57.78
947,CR Ervine,E Chigumbura,H Masakadza,T Muzarabani,105.0,76.2
948,CR Ervine,AG Cremer,E Chigumbura,H Masakadza,119.4,83.67999999999999
949,CR Ervine,E Chigumbura,H Masakadza,CB Mpofu,149.0,75.16
950,CR Ervine,AG Cremer,H Masakadza,T Muzarabani,88.0,62.55
951,CR Ervine,KM Jarvis,H Masakadza,CB Mpofu,61.0,60.00000000000001
952,CR Ervine,AG Cremer,H Masakadza,CB Mpofu,82.5,61.51
953,CR Ervine,TS Chisoro,H Masakadza,CB Mpofu,69.0,60.800000000000004
954,CK Coventry,T Panyangara,Sikandar Raza,H Masakadza,132.0,70.83
955,CK Coventry,T Panyangara,CJ Chibhabha,H Masakadza,131.0,68.83
956,CK Coventry,Sikandar Raza,V Sibanda,H Masakadza,141.0,88.42999999999999
957,CK Coventry,CJ Chibhabha,V Sibanda,H Masakadza,140.0,86.42999999999999
958,CK Coventry,Sikandar Raza,SC Williams,H Masakadza,133.0,98.24999999999999
959,CK Coventry,CJ Chibhabha,SC Williams,H Masakadza,132.0,96.24999999999999
960,CK Coventry,CJ Chibhabha,Sikandar Raza,H Masakadza,227.0,93.58999999999999
961,CK Coventry,BV Vitori,Sikandar Raza,H Masakadza,128.0,69.87
962,CK Coventry,T Mupariwa,Sikandar Raza,H Masakadza,128.0,70.42999999999999
963,CK Coventry,AG Cremer,Sikandar Raza,H Masakadza,130.0,75.41
964,CK Coventry,BV Vitori,CJ Chibhabha,H Masakadza,127.0,67.87
965,CK Coventry,T Mupariwa,CJ Chibhabha,H Masakadza,127.0,68.42999999999999
966,CK Coventry,AG Cremer,CJ Chibhabha,H Masakadza,129.0,73.41
967,T Panyangara,N Madziva,J Nyumbu,H Masakadza,67.0,36.629999999999995
968,T Panyangara,CJ Chibhabha,J Nyumbu,H Masakadza,75.66666667,60.5
969,T Panyangara,E Chigumbura,J Nyumbu,H Masakadza,61.66666667,55.97
970,N Madziva,SC Williams,J Nyumbu,H Masakadza,123.0,64.05
971,N Madziva,Sikandar Raza,J Nyumbu,H Masakadza,65.0,61.39
972,N Madziva,CJ Chibhabha,J Nyumbu,H Masakadza,92.0,59.39
973,N Madziva,E Chigumbura,J Nyumbu,H Masakadza,63.0,54.86
974,AG Cremer,N Madziva,J Nyumbu,H Masakadza,74.0,41.21
975,CJ Chibhabha,SC Williams,J Nyumbu,H Masakadza,105.0,87.92
976,E Chigumbura,SC Williams,J Nyumbu,H Masakadza,91.0,83.39
977,CJ Chibhabha,Sikandar Raza,J Nyumbu,H Masakadza,90.66666667,85.26
978,E Chigumbura,CJ Chibhabha,J Nyumbu,H Masakadza,102.66666670000001,78.73
979,AG Cremer,CJ Chibhabha,J Nyumbu,H Masakadza,77.33333333,65.08
