Result,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
won,KL Rahul,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,HH Pandya,RA Jadeja,R Ashwin,JJ Bumrah,UT Yadav
won,KL Rahul,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,HH Pandya,RA Jadeja,R Ashwin,JJ Bumrah,B Kumar
lost,AM Rahane,KL Rahul,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,HH Pandya,RA Jadeja,R Ashwin,B Kumar,JJ Bumrah
won,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,HH Pandya,MS Dhoni,KM Jadhav,RA Jadeja,B Kumar,UT Yadav,JJ Bumrah
lost,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,HH Pandya,KM Jadhav,RA Jadeja,B Kumar,UT Yadav,JJ Bumrah
won,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,HH Pandya,KM Jadhav,RA Jadeja,B Kumar,R Ashwin,JJ Bumrah
won,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,HH Pandya,RA Jadeja,R Ashwin,B Kumar,JJ Bumrah
lost,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,HH Pandya,RA Jadeja,R Ashwin,B Kumar,JJ Bumrah
won,AM Rahane,S Dhawan,V Kohli,HH Pandya,Yuvraj Singh,MS Dhoni,KM Jadhav,R Ashwin,Kuldeep Yadav,B Kumar,UT Yadav
won,AM Rahane,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,HH Pandya,R Ashwin,Kuldeep Yadav,B Kumar,UT Yadav
lost,AM Rahane,S Dhawan,V Kohli,KD Karthik,MS Dhoni,KM Jadhav,HH Pandya,RA Jadeja,Kuldeep Yadav,UT Yadav,Mohammed Shami
won,AM Rahane,S Dhawan,V Kohli,KD Karthik,MS Dhoni,KM Jadhav,HH Pandya,RA Jadeja,Kuldeep Yadav,UT Yadav,Mohammed Shami
won,RG Sharma,S Dhawan,V Kohli,KL Rahul,MS Dhoni,KM Jadhav,HH Pandya,AR Patel,B Kumar,JJ Bumrah,YS Chahal
won,RG Sharma,S Dhawan,KL Rahul,KM Jadhav,V Kohli,MS Dhoni,HH Pandya,AR Patel,B Kumar,JJ Bumrah,YS Chahal
won,RG Sharma,S Dhawan,V Kohli,KL Rahul,KM Jadhav,MS Dhoni,HH Pandya,AR Patel,B Kumar,JJ Bumrah,YS Chahal
won,RG Sharma,S Dhawan,V Kohli,HH Pandya,KL Rahul,MK Pandey,MS Dhoni,AR Patel,Kuldeep Yadav,JJ Bumrah,SN Thakur
won,RG Sharma,AM Rahane,V Kohli,MK Pandey,KM Jadhav,MS Dhoni,JJ Bumrah,YS Chahal,Kuldeep Yadav,B Kumar,SN Thakur
won,AM Rahane,RG Sharma,V Kohli,MK Pandey,KM Jadhav,MS Dhoni,HH Pandya,B Kumar,Kuldeep Yadav,YS Chahal,JJ Bumrah
won,AM Rahane,RG Sharma,V Kohli,MK Pandey,KM Jadhav,MS Dhoni,HH Pandya,B Kumar,Kuldeep Yadav,JJ Bumrah,YS Chahal
won,AM Rahane,RG Sharma,V Kohli,HH Pandya,KM Jadhav,MK Pandey,MS Dhoni,B Kumar,Kuldeep Yadav,JJ Bumrah,YS Chahal
lost,AM Rahane,RG Sharma,V Kohli,HH Pandya,KM Jadhav,MK Pandey,MS Dhoni,AR Patel,Mohammed Shami,UT Yadav,YS Chahal
won,AM Rahane,RG Sharma,V Kohli,KM Jadhav,MK Pandey,HH Pandya,MS Dhoni,B Kumar,AR Patel,JJ Bumrah,Kuldeep Yadav
lost,RG Sharma,S Dhawan,V Kohli,KM Jadhav,KD Karthik,MS Dhoni,HH Pandya,B Kumar,Kuldeep Yadav,JJ Bumrah,YS Chahal
won,RG Sharma,S Dhawan,V Kohli,KD Karthik,HH Pandya,MS Dhoni,KM Jadhav,AR Patel,B Kumar,JJ Bumrah,YS Chahal
won,RG Sharma,S Dhawan,V Kohli,HH Pandya,MS Dhoni,KM Jadhav,KD Karthik,AR Patel,B Kumar,JJ Bumrah,YS Chahal
lost,RG Sharma,S Dhawan,SS Iyer,KD Karthik,MK Pandey,MS Dhoni,HH Pandya,B Kumar,Kuldeep Yadav,JJ Bumrah,YS Chahal
won,RG Sharma,S Dhawan,SS Iyer,MS Dhoni,HH Pandya,KD Karthik,MK Pandey,B Kumar,Washington Sundar,JJ Bumrah,YS Chahal
won,RG Sharma,S Dhawan,SS Iyer,KD Karthik,MS Dhoni,HH Pandya,MK Pandey,B Kumar,Kuldeep Yadav,JJ Bumrah,YS Chahal
won,RG Sharma,S Dhawan,V Kohli,AM Rahane,HH Pandya,MS Dhoni,KM Jadhav,B Kumar,Kuldeep Yadav,JJ Bumrah,YS Chahal
