,player-1,player-2,player-3,avg
1739,MN van Wyk,AK Markram,Imran Tahir,0.0
1740,AK Markram,Imran Tahir,VD Philander,0.0
1741,AK Markram,Imran Tahir,A Nortje,67.0
1742,AK Markram,Imran Tahir,D Pretorius,32.0
1743,AK Markram,K Rabada,RR Rossouw,0.0
1744,AK Markram,K Rabada,AL Phehlukwayo,38.73684210526316
1745,MN van Wyk,AK Markram,K Rabada,0.0
1746,AK Markram,K Rabada,VD Philander,0.0
1747,AK Markram,K Rabada,A Nortje,67.0
1748,AK Markram,D Pretorius,K Rabada,33.5
1749,AK Markram,RR Rossouw,AL Phehlukwayo,0.0
1750,MN van Wyk,AK Markram,RR Rossouw,0.0
1751,VD Philander,AK Markram,RR Rossouw,0.0
1752,AK Markram,RR Rossouw,A Nortje,0.0
1753,AK Markram,D Pretorius,RR Rossouw,0.0
1754,MN van Wyk,AK Markram,AL Phehlukwayo,0.0
1755,AK Markram,VD Philander,AL Phehlukwayo,0.0
1756,AK Markram,A Nortje,AL Phehlukwayo,48.0
1757,AK Markram,D Pretorius,AL Phehlukwayo,35.75
1758,MN van Wyk,AK Markram,VD Philander,0.0
1759,MN van Wyk,AK Markram,A Nortje,0.0
1760,MN van Wyk,AK Markram,D Pretorius,0.0
1761,AK Markram,VD Philander,A Nortje,0.0
1762,AK Markram,D Pretorius,VD Philander,0.0
1763,AK Markram,D Pretorius,A Nortje,67.0
1764,WD Parnell,Q de Kock,D Wiese,0.0
1765,D Paterson,WD Parnell,D Wiese,0.0
1766,WD Parnell,L Sipamla,D Wiese,0.0
1767,WD Parnell,F du Plessis,D Wiese,0.0
1768,WD Parnell,DW Steyn,D Wiese,0.0
1769,M Morkel,WD Parnell,D Wiese,0.0
1770,D Olivier,WD Parnell,D Wiese,0.0
1771,WD Parnell,K Zondo,D Wiese,0.0
1772,HE van der Dussen,WD Parnell,D Wiese,0.0
1773,KJ Abbott,WD Parnell,D Wiese,0.0
1774,WD Parnell,JP Duminy,D Wiese,0.0
1775,WD Parnell,T Bavuma,D Wiese,0.0
1776,WD Parnell,K Verreynne,D Wiese,0.0
1777,WD Parnell,KA Maharaj,D Wiese,0.0
1778,WD Parnell,CJ Dala,D Wiese,0.0
1779,WD Parnell,HM Amla,D Wiese,0.0
1780,WD Parnell,F Behardien,D Wiese,0.0
1781,C Jonker,WD Parnell,D Wiese,0.0
1782,WD Parnell,D Elgar,D Wiese,0.0
1783,WD Parnell,H Klaasen,D Wiese,0.0
1784,WD Parnell,L Ngidi,D Wiese,0.0
1785,AM Phangiso,WD Parnell,D Wiese,0.0
1786,WD Parnell,RR Hendricks,D Wiese,0.0
1787,JT Smuts,WD Parnell,D Wiese,0.0
1788,PWA Mulder,WD Parnell,D Wiese,0.0
1789,WD Parnell,CH Morris,D Wiese,0.0
1790,DA Miller,WD Parnell,D Wiese,0.0
1791,DM Dupavillon,WD Parnell,D Wiese,0.0
1792,BE Hendricks,WD Parnell,D Wiese,0.0
1793,WD Parnell,AB de Villiers,D Wiese,0.0
1794,WD Parnell,T Shamsi,D Wiese,0.0
1795,M de Lange,WD Parnell,D Wiese,0.0
1796,WD Parnell,Imran Tahir,D Wiese,0.0
1797,WD Parnell,K Rabada,D Wiese,0.0
1798,WD Parnell,RR Rossouw,D Wiese,0.0
1799,AL Phehlukwayo,WD Parnell,D Wiese,0.0
1800,MN van Wyk,WD Parnell,D Wiese,0.0
1801,WD Parnell,VD Philander,D Wiese,0.0
1802,WD Parnell,A Nortje,D Wiese,0.0
1803,WD Parnell,D Pretorius,D Wiese,0.0
1804,D Paterson,Q de Kock,D Wiese,0.0
1805,L Sipamla,Q de Kock,D Wiese,0.0
1806,F du Plessis,Q de Kock,D Wiese,100.33333333333333
1807,Q de Kock,DW Steyn,D Wiese,0.0
1808,M Morkel,Q de Kock,D Wiese,142.0
1809,D Olivier,Q de Kock,D Wiese,0.0
1810,Q de Kock,K Zondo,D Wiese,0.0
1811,HE van der Dussen,Q de Kock,D Wiese,0.0
1812,KJ Abbott,Q de Kock,D Wiese,79.0
1813,Q de Kock,JP Duminy,D Wiese,110.0
1814,Q de Kock,T Bavuma,D Wiese,0.0
1815,Q de Kock,K Verreynne,D Wiese,0.0
1816,Q de Kock,KA Maharaj,D Wiese,0.0
1817,Q de Kock,CJ Dala,D Wiese,0.0
1818,Q de Kock,HM Amla,D Wiese,140.0
1819,Q de Kock,F Behardien,D Wiese,95.0
1820,C Jonker,Q de Kock,D Wiese,0.0
1821,D Elgar,Q de Kock,D Wiese,0.0
1822,Q de Kock,H Klaasen,D Wiese,0.0
1823,Q de Kock,L Ngidi,D Wiese,0.0
1824,AM Phangiso,Q de Kock,D Wiese,0.0
1825,Q de Kock,RR Hendricks,D Wiese,0.0
1826,JT Smuts,Q de Kock,D Wiese,0.0
1827,PWA Mulder,Q de Kock,D Wiese,0.0
1828,Q de Kock,CH Morris,D Wiese,77.0
1829,DA Miller,Q de Kock,D Wiese,0.0
